miliseconds,FeIII,FeII,FeII_O2,FeIII_star,FeII_star,FeII_star_O2,FeIII_NO,FeII_NO,FeIII_t
0,1.003470967889511,0.00012176794765392486,0.00021432756309586586,0.00021291340148933186,-6.613001855162774e-05,0.00016861597621412679,-0.0012288101756657546,-0.006679730844615678,1.000673843115053
100,0.7710528474849807,0.016280855034034928,0.07646579061152634,0.12377865112899693,0.0022957723696543763,0.0061020942538289585,0.0029834041061667853,0.007336253632055144,0.8970594147044433
200,0.6055150606463781,0.012591679779941288,0.06761143174656936,0.2645952139954312,0.005255347390353261,0.020500814158229602,0.027510194971096393,-0.0017542120181118733,0.8695956117327804
300,0.486932920038241,0.010221707853473963,0.053478086573435224,0.33539017062428733,0.006976345059011321,0.03066518185056026,0.06022320553341776,0.006062318791089783,0.8285977264860522
400,0.4057449179701394,0.008510231605536907,0.044682793263520655,0.3707980996725377,0.007581774968182974,0.03594327032078934,0.08903514886889301,0.03717504733144678,0.7715044066251744
500,0.3585735885310661,0.007433601751230762,0.03863841186418078,0.38355437905402184,0.007822282750005696,0.037716502270375506,0.10981004271924479,0.05173228467043756,0.7438072864664643
600,0.327124679945158,0.0068962755289342,0.034315710615625515,0.37286722222238744,0.007812642512503992,0.03744950701378075,0.12111063095301591,0.09113859073942628,0.6991393497849737
700,0.3154591118576536,0.006299348618321311,0.03195142947736846,0.3620714093271927,0.007560474964492084,0.03727089787858185,0.12526293283859483,0.12469467187879171,0.6690505874313817
800,0.2896192495095842,0.006128014101395206,0.030227025503922752,0.35101864006084277,0.007310553805338652,0.03568448394882041,0.12394073756197865,0.14381711020284543,0.6476718295240979
900,0.2856846162419428,0.005947482308389797,0.029369645489154085,0.3378632850522366,0.007074771844810889,0.03437641720172526,0.12332896705228175,0.18464066689398254,0.6176040165542206
1000,0.27903980245853166,0.005658714972525451,0.02820301245193971,0.326225420751844,0.0067361529241684965,0.03317308803040295,0.11929581979573335,0.20404288947462268,0.5965697076323776
1100,0.2604209106566497,0.0054784446917756375,0.026784059038720033,0.31322762844734087,0.006578091006238337,0.03213104867548002,0.11470125865326801,0.23184008367085113,0.5744587626761801
1200,0.2594013622479423,0.005393735692637336,0.026822235310782514,0.3064261014335657,0.006235617728952745,0.03121426143006149,0.11200326839129097,0.2582860743160466,0.563622210511933
1300,0.25607922732646604,0.005153747498139708,0.024933313296662304,0.29288733724578125,0.006020476566850289,0.030065629691713704,0.10673915665947986,0.271422658528153,0.5490205420197065
1400,0.24031789974334072,0.0051937045310550675,0.02547246155935347,0.2869796329182629,0.005876269637039349,0.028983968502396262,0.10374519648444472,0.30931089013412383,0.5362455923803776
1500,0.2389281090516929,0.004865384363460705,0.0240169126414827,0.27426690368076856,0.005642299266548137,0.02757938858072102,0.09922320507257226,0.31293898747136945,0.5102082557141085
1600,0.2338945789333994,0.004906402828098798,0.023962649582195544,0.2698403766284421,0.005449105446944245,0.026826360733481186,0.09785629982818204,0.3491287523929579,0.5004178714010028
1700,0.2243137879855904,0.004761926258721043,0.02242039417861002,0.25820677831287303,0.005388970955763259,0.026346752120756635,0.0926622364573902,0.36092593958443414,0.4811363791338302
1800,0.2287728024577934,0.004596338125454316,0.022844969332272813,0.2541871193586708,0.0051835182074617915,0.02577094398229437,0.0898292913368924,0.371609597886034,0.4654432258523055
1900,0.22279209650314777,0.0044816433589593896,0.021700634008099944,0.24489856223627726,0.005112834162413789,0.024601466559928405,0.08690705098564432,0.39695238851259534,0.4570084882062946
2000,0.2149887591806802,0.004375069851142988,0.02120445519723896,0.2402250860008918,0.004898202374097527,0.02408187896274539,0.08513183059137386,0.4063520199265073,0.45090029432045203
2100,0.2135624168085763,0.00429598848900633,0.020282264492109427,0.23551684497867179,0.004840070408779518,0.023874186690130153,0.08206915738905331,0.4158194915132509,0.4420024371168968
2200,0.20073093362631675,0.004273368789207365,0.02026594628948403,0.22531930487108548,0.004637904468747178,0.023099477073749385,0.08027989310418994,0.44696541723819777,0.4375665779962193
2300,0.19711951552215196,0.00419953362720832,0.019805738842295282,0.21936831349494026,0.004595500020484525,0.022504531104020894,0.07944147387518376,0.4471533319777506,0.42429926270647333
2400,0.20135606865888056,0.004015005733001174,0.02024713710474915,0.21222179374239095,0.004523392465871523,0.021607752060126204,0.07775099665700587,0.45295237567683183,0.4087603945137777
2500,0.1872046997946413,0.00390085848058331,0.018931015472221365,0.21290318635824312,0.0044224986765248235,0.02110394644085072,0.07519536987883338,0.47384290341599467,0.40179053850575697
2600,0.18927756888075592,0.0038619351413846236,0.018981883168616074,0.21025307899450393,0.004276377976868138,0.02103137515339037,0.07467262026465926,0.4933590441426826,0.39702302015116764
2700,0.17840763455655495,0.0037087159735534527,0.0182568922657157,0.2026944913701631,0.004166005856396009,0.020742922046674852,0.07237131952391918,0.49577571698980594,0.3940122395897705
2800,0.18102025988238502,0.0038743342159813007,0.018410411064016086,0.20196627740460354,0.004100148273496349,0.020314063031587865,0.06981749400622463,0.500304891931541,0.3808177720563754
2900,0.1755905185499823,0.0035845435072580758,0.017759951788359585,0.19760601816228834,0.003940818105871069,0.01997310300258165,0.06928819044529463,0.5215809187509841,0.3788843714316346
3000,0.1804888614747907,0.0036281726430177014,0.017138202547737486,0.18917991221834582,0.0038978520493609206,0.019451504630264415,0.06684925708771484,0.5206411315053756,0.3659800350425514
3100,0.16888253506318304,0.003674234029825314,0.01771178373929626,0.1872692804256099,0.003936212562254564,0.019211595855202775,0.06496856324010322,0.5340599085460561,0.35690747912176457
