milliseconds,FeIII,FeII,FeII_O2,FeIII_star,FeII_star,FeII_star_O2,FeIII_NO,FeII_NO,FeIII_t
0,0.9943264676696394,-0.00011140765574149454,0.0004926224567293054,-0.0009981445580735215,-6.300328477934784e-05,0.00029025480973969537,0.0004929685001918421,-0.0013230722201180362,1.007679031913815
100,0.7655179253466784,0.016244857019729074,0.07722202925471831,0.12317804955930078,0.0023448319833836166,0.006089377230821003,0.0035358245266185768,-0.0005175014373941399,0.8908768279468186
200,0.5962661521545847,0.01273760245927766,0.06662511976421721,0.26544472210057196,0.00524322089245418,0.01999220657790407,0.026381680996195808,0.0005926243948616307,0.866358371981076
300,0.4757592596901274,0.010149052156123108,0.054130712898736784,0.3387028307626994,0.006846983277581912,0.030608083383712646,0.06092666773442307,0.010104682583298507,0.8278837796027539
400,0.4019998513630817,0.008545768783537912,0.044444161789720715,0.3706517363076675,0.007670963955896792,0.03588565105948947,0.09118747613913263,0.03487389458877031,0.7861779936594245
500,0.3535274864618191,0.007599354250580809,0.03769056210997249,0.37818035636588476,0.007813557995159556,0.037501941045891024,0.1087011083315465,0.06985751624241482,0.7458120091104314
600,0.32840905591134706,0.0068828646844050516,0.03385738402582401,0.3748915323971651,0.0077068545693885935,0.03764858773243344,0.12163168070259264,0.08692575654605751,0.7094024570083206
700,0.3157219350194247,0.006449419298849458,0.031266983797038475,0.36175807509380714,0.0076216417273747795,0.037245911174589516,0.12464067206656657,0.12260041591870689,0.6790597083497925
800,0.2983881512572555,0.00607390990440763,0.030629487869171333,0.3499787537353239,0.007238901170055589,0.03571308656625961,0.12526819851944485,0.14318167896719255,0.6525634988232374
900,0.29019118212841327,0.005810463658391258,0.028518574914761806,0.3415470015107204,0.007026306609295338,0.034689500440196454,0.12336690550880142,0.1761102477345544,0.627891982279012
1000,0.27979131491982967,0.005753930774261947,0.028070728035534967,0.32288515418474023,0.0067081163496875125,0.03307652915545677,0.11824905620297083,0.2103108516138755,0.5965175025214708
1100,0.2735899603109351,0.005474687752170457,0.027114171511475972,0.31259116485462823,0.006438026586997793,0.03205714101712383,0.1152351171414644,0.226097071094925,0.5829645576191426
1200,0.25602862576521174,0.005459958402524279,0.026954908050492422,0.30310449678869894,0.006291230273177499,0.030809512196885196,0.1099891722848816,0.2498319604747778,0.5639248918310834
1300,0.24943908166894438,0.005227596856619274,0.0257834389438354,0.29210109189404065,0.006109456661249003,0.030051229959507715,0.10598612427262366,0.28807797183510087,0.5378525449040362
1400,0.24788830273175583,0.005163415459513245,0.02509653895719005,0.28364527284414764,0.005947459035766887,0.029015782394703392,0.10432143225080796,0.2983020093318056,0.5248407560711811
1500,0.23686790594321203,0.004934065959076458,0.02453444103488819,0.274865651500402,0.005618685893114356,0.027617187282458426,0.1013237061121293,0.31340850650052693,0.5055842729525242
1600,0.23473656081424082,0.004830307806161315,0.023978363955536763,0.2649020203151324,0.005468594783246006,0.02716488055933461,0.09646781351456571,0.34477573631125974,0.5059643869883758
1700,0.22654862024705874,0.0046882250629483035,0.022813238455451783,0.25762524028132233,0.005360876550808828,0.026228677803105543,0.09471240031236967,0.3606534042826986,0.4805285133417668
1800,0.21481815053606904,0.0045995798031249245,0.02204151971694647,0.2554035160974186,0.005257974697437352,0.025580787881568225,0.09212952760961453,0.37202377914068474,0.47736883939587155
1900,0.2147156206555621,0.0043648314964622095,0.02160945113496925,0.24429702429397165,0.0050019995379722,0.02498838424696198,0.0882419517033215,0.3991394594527191,0.4541309118204719
