milliseconds,D_1,E_1,RS_1,R_1,X_1,E2F_1,RP_1
0,0.1023120917289658,0.5928478476418398,1.0004664370026042,0.4948475577654669,0.6995454025002054,0.5015462030057641,0.9954693560908986
100,0.10416930753197591,0.6303296715806059,1.0087604850405876,0.5004061937499648,0.6483917826054622,0.491852200287603,0.9925554765004586
200,0.11282277362823451,0.6126964754417439,1.0182504935416592,0.4904332721577124,0.6116547974925631,0.48346602528776483,0.9899147579382821
300,0.12129065882272756,0.6436300922822006,1.0276332872936225,0.49805872535507567,0.5830370145961316,0.47540167100680564,0.9828366528770465
400,0.12491415633713579,0.6461208304703587,1.0324348312720275,0.49546977823902444,0.5412324855282377,0.46433007394142684,0.975447007380505
500,0.13421735902614979,0.6621878363213879,1.04305177689493,0.48703390789963563,0.5153765203696166,0.46081998713595224,0.9681812775786741
600,0.13780972937269448,0.6722232922846382,1.0472284400458693,0.48561120912356204,0.49433482055470346,0.45510220355420083,0.9669715160418584
700,0.147480706284638,0.6925914802917676,1.0514786489995596,0.48531486361626663,0.4781096222233913,0.4472798786894384,0.9683216300305232
800,0.1469982198662416,0.7394150778158839,1.0591982801590607,0.47560600712151707,0.43732208150709906,0.4391878009641477,0.965044109880147
900,0.15627067218104207,0.7385858713864939,1.0629967204389263,0.47976580254941403,0.4291940530679293,0.4357074630500926,0.9600636780644359
1000,0.15953148484393878,0.7502684280025611,1.0694663481191438,0.4670394201793754,0.3913763633147628,0.4312318532187648,0.9613216437098743
1100,0.16489614874535652,0.7787036196346625,1.0734839478589695,0.46812187157423574,0.3664628743245802,0.42547867243497833,0.9631769365685005
1200,0.171666099698878,0.7800875981978969,1.0746233552036129,0.469187458052078,0.35595593811608633,0.42486478995069327,0.955021103281606
1300,0.17165791433587194,0.826939595953269,1.0792571739886985,0.45981943090647603,0.34713049237257143,0.4171320578279773,0.9596909111477786
1400,0.1775075276164351,0.8358420275662823,1.084176522289547,0.45716393546303036,0.3257983768094842,0.4137776745814109,0.9622439924819687
1500,0.17848367888031966,0.8317495650613121,1.0863198144797928,0.44900607738641246,0.32195833909273314,0.4142095923988118,0.9652100152293612
1600,0.18163546606530395,0.8450678968651062,1.0917351325721594,0.4501601079143287,0.29141103478133,0.4109040349569919,0.9668363641189714
1700,0.1852379437371701,0.8643863635517272,1.0912102846560583,0.4450329500133355,0.2759786445358183,0.40613307657122305,0.9618631764113744
