milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,8.33e-05,0.000166,2.0300000000000003e-08,0.0,0.0,4.910000000000001e-08,7.99e-09,8.33e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,8.339696845872607e-05,0.00016452443888487857,1.73915103591677e-08,1.090004124679798e-10,1.4639651805291742e-17,4.630160502078019e-08,7.575626769208269e-09,1.6721498131170784e-06,7.025699669165182e-05,5.177460457241181e-08,1.2654693953648118e-06,2.1004074040682355e-07,1.9794876754182307e-07,7.024430429531918e-06,2.5165485261852807e-08,3.282683392194828e-08,4.297357075191894e-06,4.240453578526519e-09,1.720599298592079e-09,3.163970382315271e-11,2.4035615319391866e-16,1.004697202183225e-09,4.562618807856916e-11,4.0900965392542026e-17
200,8.350038103201398e-05,0.0001631851885094828,1.5050953283121684e-08,1.8764670086703816e-10,-1.0236395879161857e-16,4.3996310279997175e-08,7.262379088307823e-09,8.929959711987412e-07,6.200051554563014e-05,1.6342861234863368e-08,2.4118401209457815e-06,4.028434843325168e-07,2.808491105512131e-07,1.1328866223696502e-05,5.61618954682245e-08,4.676460428270821e-08,9.277482719276458e-06,9.488338845071623e-09,2.7381905811100447e-09,7.01571008821186e-11,5.957216196688818e-16,2.14708719615912e-09,1.1235444722200702e-10,1.0142958066038006e-16
300,8.360379360530188e-05,0.00016184593813408702,1.2710396207075668e-08,2.662929892660965e-10,-2.1936756938852881e-16,4.169101553921417e-08,6.949131407407377e-09,1.1384212928040397e-07,5.374403439960846e-05,-1.9088882102685058e-08,3.558210846526752e-06,5.956462282582101e-07,3.637494535606031e-07,1.5633302017861086e-05,8.715830567459619e-08,6.070237464346813e-08,1.425760836336102e-05,1.4736224111616728e-08,3.7557818636280105e-09,1.0867449794108451e-10,9.51087086143845e-16,3.289477190135014e-09,1.790827063654449e-10,1.6195819592821807e-16
400,8.369348077053853e-05,0.00016096797678512255,1.0264946870441847e-08,3.3565421024013075e-10,-5.976454396746278e-16,3.9106651846720655e-08,6.7304855577352064e-09,-4.87349414078848e-07,4.4839208038884814e-05,-5.312717580758142e-08,4.226250966220962e-06,8.0577313474948e-07,4.249834392117695e-07,1.917560407598599e-05,1.1612083582660971e-07,7.146765349586689e-08,2.026194772793022e-05,2.0332626933848577e-08,4.6183960096166455e-09,1.2360915724982697e-10,1.4713452386777981e-15,4.71395451368281e-09,2.696618894357712e-10,3.029925937657388e-16
500,8.373575041402429e-05,0.0001616836425518382,7.457123531567123e-09,3.729380689280693e-10,-1.878554244173874e-15,3.5558181437813604e-08,6.83866309817208e-09,-4.737300074647048e-07,3.369452671680656e-05,-8.235148307081383e-08,3.2417899854702795e-06,1.0757502731756883e-06,4.1136610040979687e-07,2.008494302869361e-05,1.3805686801542267e-07,7.127284398218705e-08,2.9804664690257182e-05,2.7133062358654564e-08,4.945606638651264e-09,5.7071923261044063e-11,2.561262413265398e-15,7.11296622161302e-09,4.4263947551596685e-10,7.221523982808159e-16
600,8.377802005751004e-05,0.0001623993083185539,4.6493001926923834e-09,4.1022192761600785e-10,-3.1594630486731124e-15,3.200971102890657e-08,6.946840638608955e-09,-4.601106008505616e-07,2.2549845394728302e-05,-1.1157579033404626e-07,2.257329004719597e-06,1.3457274116018966e-06,3.9774876160782426e-07,2.0994281981401227e-05,1.599929002042355e-07,7.107803446850722e-08,3.9347381652584205e-05,3.3933497783460524e-08,5.2728172676858824e-09,-9.465310727739301e-12,3.651179587852998e-15,9.51197792954323e-09,6.156170615961626e-10,1.141312202795893e-15
700,8.382028970099577e-05,0.00016311497408526957,1.8414768538176593e-09,4.4750578630394635e-10,-4.440371853172351e-15,2.846124061999952e-08,7.055018179045829e-09,-4.464911942364184e-07,1.1405164072650047e-05,-1.4080009759727866e-07,1.2728680239689145e-06,1.615704550028104e-06,3.8413142280585154e-07,2.1903620934108845e-05,1.8192893239304844e-07,7.088322495482741e-08,4.889009861491116e-05,4.073393320826651e-08,5.6000278967205e-09,-7.600254471652219e-11,4.741096762440605e-15,1.1910989637473422e-08,7.885946476763592e-10,1.5604720073109719e-15
800,8.386255934448152e-05,0.0001638306398519852,-9.663464850570494e-10,4.847896449918846e-10,-5.72128065767159e-15,2.4912770211092484e-08,7.163195719482702e-09,-4.3287178762227525e-07,2.6048275057185326e-07,-1.7002440486051096e-07,2.884070432182358e-07,1.8856816884543113e-06,3.70514084003879e-07,2.281295988681646e-05,2.0386496458186116e-07,7.068841544114757e-08,5.843281557723812e-05,4.753436863307247e-08,5.927238525755118e-09,-1.4253977870530485e-10,5.831013937028204e-15,1.4310001345403617e-08,9.61572233756554e-10,1.979631811826047e-15
900,8.390482898796726e-05,0.00016454630561870087,-3.7741698239317735e-09,5.22073503679823e-10,-7.002189462170829e-15,2.136429980218545e-08,7.2713732599195765e-09,-4.192523810081321e-07,-1.0884198571506341e-05,-1.9924871212374326e-07,-6.960539375324428e-07,2.1556588268805177e-06,3.568967452019064e-07,2.372229883952408e-05,2.25800996770674e-07,7.049360592746774e-08,6.797553253956504e-05,5.433480405787842e-08,6.254449154789734e-09,-2.0907701269408777e-10,6.920931111615801e-15,1.6709013053333812e-08,1.1345498198367495e-09,2.3987916163411225e-15
