milliseconds,T,L,N,C,I,M
0,9975169.952123675,2002.1784731599478,508391.19426520384,41699947091.501724,1980.2929524654182,0.0
100,9842980.755265187,2027.8553984448604,447100.9127153632,41699906716.48977,829.8886106841541,0.0
200,9693258.897218073,2016.2767491340087,402337.25382984534,41699957445.71225,427.0725515680328,0.0
300,9590708.033245336,1995.8270468336914,379751.7450474062,41699872174.08949,238.087560752589,0.0
400,9504744.348429542,1989.0295466564562,334406.78645759926,41699831695.31322,173.43359640178073,0.0
500,9399068.998383494,1978.555870212251,313895.2266464039,41699818371.74002,155.24989777961162,0.0
600,9276168.633566855,1966.2377676688775,271797.7122771078,41699711784.18912,119.60550552193783,0.0
700,9189752.142833274,1957.8227689900198,265950.2292222222,41699707126.195984,141.73956666751047,0.0
800,9131575.802091703,1952.2962229175337,242897.56858640854,41699625427.28002,111.44049219500069,0.0
900,9088455.057190904,1942.849457678119,229886.4317797194,41699590556.409874,107.34508134611534,0.0
1000,8994796.693716696,1938.9513695936507,188571.13115795937,41699611152.29845,102.15879698692376,0.0
1100,8958003.888482282,1937.923671362558,173227.7161697541,41699579469.94391,115.31511112648002,0.0
1200,8882853.715405367,1929.9407984475445,168827.9994776271,41699509804.19506,127.27745342725069,0.0
1300,8846299.135743363,1924.669054177023,151245.2397772242,41699444668.25434,104.89242000532282,0.0
1400,8832223.376293432,1916.7826619664233,133739.70278301774,41699473012.18549,136.54486497517772,0.0
1500,8762832.118433526,1918.8691802862018,135225.88139742438,41699455824.257164,137.7100084079136,0.0
1600,8760905.28396249,1911.8652739229435,114033.36663344436,41699341292.11635,108.63092472943006,0.0
1700,8702908.173996152,1904.2692877862971,109640.02809695619,41699355987.99483,112.2683862227869,0.0
1800,8716156.057923432,1908.0147010583496,110625.76505189163,41699272673.33551,117.82165872650016,0.0
1900,8680720.849588042,1903.0435072247994,100354.46825516775,41699214646.00258,127.61135087669912,0.0
2000,8692623.295100452,1903.4582999426675,99029.68700611543,41699163882.07119,103.04704421005708,0.0
2100,8619737.80931802,1897.5905393275611,83906.38635327561,41699225796.88947,105.10180086153552,0.0
2200,8595230.690531727,1895.1297012861996,80101.96980955306,41699145957.54247,116.55381136703195,0.0
2300,8613417.35043418,1893.8845980115523,63147.32195450642,41699039102.9169,116.58842966014153,0.0
2400,8598835.821863702,1887.1779987034795,75188.17616110941,41699069566.97238,136.72167709174204,0.0
2500,8560881.765890697,1892.2494381080362,68482.95322719787,41699042659.11389,111.6475291171587,0.0
2600,8580787.86258498,1889.2337757615342,48816.03948278295,41698961963.61316,111.664180001611,0.0
2700,8498402.01886819,1883.834146297257,56435.31396728096,41698923165.805626,119.60501007808463,0.0
2800,8552616.563639406,1881.701938934645,59335.059724269144,41698922046.510056,111.16637968408666,0.0
2900,8514910.28013645,1884.9271156040136,60299.90472387052,41698873803.24106,125.89887583612874,0.0
3000,8449824.07317161,1884.3467325847098,43813.946632469946,41698855100.32117,140.85031482206557,0.0
3100,8504837.592680119,1877.500996926619,31399.913530736525,41698828277.896484,92.01481649338649,0.0
3200,8465015.281817734,1878.0349371887128,38703.078745875195,41698785293.832695,90.28927379414802,0.0
3300,8487102.092748698,1882.072356745577,47900.13126466677,41698664854.74175,118.59181178878296,0.0
3400,8449014.078214882,1878.7493524821757,36811.14076184582,41698694786.490265,135.28139315417357,0.0
3500,8471311.535899514,1875.127503854333,38206.700355970104,41698644671.09097,139.4913749015863,0.0
3600,8437132.478118759,1879.1087847327249,37177.3224285703,41698557523.71874,111.76425674107296,0.0
3700,8424420.606427828,1874.9147942536092,22258.993140732855,41698553869.779526,97.5691849714875,0.0
3800,8441737.159238104,1874.7708649918645,37988.95090368234,41698534754.5613,128.35354269525632,0.0
3900,8384761.362201702,1871.4211186319153,40571.3294685876,41698451216.53931,128.85526320400558,0.0
4000,8387259.524852652,1870.8762799976614,27089.644235727115,41698469469.14997,133.4028083082457,0.0
4100,8427191.27130027,1868.6128179083798,24027.11375846884,41698382078.42122,106.24474119110616,0.0
4200,8424070.912338791,1875.1593465883548,24424.86211246322,41698335129.60857,87.47744956283995,0.0
4300,8410851.075143917,1872.2272734556022,32665.927872924916,41698352040.25099,107.89013493549932,0.0
4400,8354608.192460065,1872.6782203572202,27219.059011946432,41698227950.2264,119.3301421276613,0.0
4500,8345038.372221821,1865.2445574413925,26891.34340755946,41698289373.03592,118.58030124316844,0.0
4600,8393842.112538572,1872.5195843396777,13219.232659581934,41698234475.948875,116.55447167917677,0.0
4700,8375647.465172002,1871.6564179005934,26899.988015215098,41698140599.251,124.64068257846098,0.0
4800,8338926.6410700055,1865.0013765466795,25041.411887996386,41698097605.37636,120.34682847879849,0.0
4900,8346540.82593966,1865.0585256420984,11006.828035303339,41698059804.06082,96.86719958663993,0.0
5000,8338174.863936729,1865.1342760932635,15196.375629640766,41698027125.18138,115.4072529077641,0.0
