milliseconds,T,L,N,C,I,M
0,10039810.029528975,1999.3084173968336,506975.73486200365,41699994162.07448,1987.2719008626718,0.0
100,9836356.714694759,2024.475429096293,441400.4472794906,41699997626.71999,853.8668165784076,0.0
200,9712855.846731769,2008.464935751389,401033.28454627126,41699946122.22935,425.1913723921323,0.0
300,9615014.234729985,2004.4850180155709,379299.7680020624,41699892611.65968,209.5488222873034,0.0
400,9506882.395785736,1992.8822062206593,347975.7472364258,41699839349.21788,181.4523163674673,0.0
500,9357235.72006874,1979.8132434758754,319719.2498456714,41699802187.81491,149.7158984424287,0.0
600,9319957.780502548,1965.0960715142658,290811.1685983143,41699797103.2343,139.434991504951,0.0
700,9231486.94265083,1961.4632842934866,258294.47792428595,41699762742.71003,115.35359609271495,0.0
800,9130747.190601086,1952.376327329885,240245.83907258857,41699637522.07252,101.21740244324258,0.0
900,9052451.714065485,1949.4743600947907,206576.15260191154,41699614659.56612,110.99426115501991,0.0
1000,9057369.397012478,1942.9493048508073,188670.27431701377,41699628209.62241,94.47057990977761,0.0
1100,8932812.461951535,1935.500684898687,182274.5567632626,41699541521.870636,91.65208423495474,0.0
1200,8960413.791596655,1925.2272939925526,178253.198127537,41699552074.37178,121.43575890069309,0.0
1300,8835411.647977142,1923.6085111138561,158212.82461633135,41699520889.27454,112.6448817382211,0.0
1400,8801168.216709057,1921.6056921298014,137924.54429834228,41699492972.98628,141.56048478795918,0.0
1500,8775204.341734871,1917.2954178461655,124439.11887398463,41699362570.706764,115.61464556829456,0.0
1600,8784417.066252526,1908.8001637645566,123524.29371786061,41699337694.6816,112.06468337721564,0.0
1700,8724397.822324013,1904.6870238224599,114396.8653863105,41699297268.12609,131.39349779444146,0.0
1800,8711415.377917113,1908.2607388602714,111144.36961267576,41699314151.696976,118.14599688531294,0.0
1900,8694326.247034693,1902.2510895407024,104915.59399735514,41699199406.47603,97.75409626267441,0.0
2000,8660724.460796842,1902.4573411209087,100518.88102564558,41699221979.14542,122.151896425331,0.0
2100,8607305.64520508,1896.1315317874971,88863.80081562878,41699219640.511116,101.33438320906643,0.0
2200,8598322.411440583,1898.8967831419295,65930.39337121035,41699185060.49297,142.83597625629625,0.0
2300,8589409.97832778,1892.125700939153,74111.59288469516,41699112853.79851,101.80545641155875,0.0
2400,8559033.971023876,1886.470071736751,63199.32182579018,41699074961.65101,135.1653772957841,0.0
2500,8526681.806948036,1886.891554205512,72525.66255735629,41698982957.732315,116.56032197789828,0.0
2600,8531447.063027814,1883.1010342865056,60081.66545260127,41699029555.93331,131.17231778443653,0.0
2700,8564657.88499103,1887.5102147879097,59190.52389202929,41698959633.59934,98.81844585876881,0.0
2800,8552109.276801893,1883.9909809240835,58475.17650164566,41698944030.21811,126.4816045029345,0.0
2900,8511979.348651655,1880.269101038108,50973.74391824202,41698888155.30328,128.2948829167728,0.0
3000,8477389.793208096,1882.5247846279929,50352.87775002018,41698836036.83597,96.34724920654041,0.0
3100,8491629.53071086,1877.0717233757675,53479.57142581594,41698736412.08429,123.18792046127194,0.0
3200,8448027.107362421,1880.869567781954,46348.31491955348,41698799876.53669,125.06761778679763,0.0
3300,8435807.704044634,1879.1046155603337,39970.962941206446,41698700633.46446,90.0754878068808,0.0
3400,8455752.804904103,1874.40671104224,32068.910926860022,41698712973.82123,96.71069238970072,0.0
3500,8426738.475341206,1873.2555454649912,44901.55026462297,41698686249.712715,124.66745039078491,0.0
3600,8476928.370448807,1878.7612944228317,42844.362821148454,41698626766.81235,109.3547658041432,0.0
3700,8394438.06592681,1874.6186648811924,30260.64832402689,41698515008.513954,87.7603198342657,0.0
3800,8407768.326606343,1872.2934040989473,40293.94250182755,41698472697.07869,124.20945281483868,0.0
3900,8432485.78078696,1875.0679455143543,29831.83822291138,41698423699.09824,128.66026411598918,0.0
4000,8375097.563937021,1870.3650550261739,33270.07637254377,41698402116.95475,119.70422202155652,0.0
4100,8428149.563046033,1867.8110498925876,27583.836833964473,41698401580.30821,126.43803124809207,0.0
4200,8397393.40309815,1869.3753428860455,24908.390967238593,41698322064.13511,105.25639847982211,0.0
4300,8363862.8087158725,1874.176023524748,21940.6223839614,41698370977.02474,100.62074542069435,0.0
4400,8427524.941796416,1865.6345978971517,28289.717706706437,41698341130.161545,142.12620028093002,0.0
4500,8418474.155981384,1866.1674859731484,31147.675554975358,41698220987.49195,105.46965610476629,0.0
4600,8340445.279154207,1868.4429758065214,30354.50552284962,41698204056.934105,105.61176179897447,0.0
4700,8393391.515764717,1870.6862493081912,17078.23243994036,41698159335.861664,114.81411979965095,0.0
4800,8399303.589671243,1869.2691654195496,30414.781576190027,41698078486.310135,108.45566697120823,0.0
4900,8403237.100826195,1869.2607684157595,19441.2091449684,41698095588.84421,101.22104533342473,0.0
5000,8356645.283014504,1863.3976700902208,31475.556545012067,41698075595.36018,109.97804810470562,0.0
