milliseconds,T,L,N,C,I,M
0,10035540.460944558,2004.1831024434723,490579.81707916496,41700052976.7765,1990.0653584630966,0.0
100,9810616.449695988,2029.617899523063,455573.3927995288,41699970222.93828,867.5751056306141,0.0
200,9672472.17100052,2012.0184125248468,405222.72362280486,41699937690.97268,412.56227148471623,0.0
300,9555888.051333005,1996.0417249683055,375904.05255814595,41699841616.572296,229.4239382174905,0.0
400,9446206.037348714,1988.4009672137993,328896.84965307877,41699881712.28384,157.50626173564697,0.0
500,9395510.613007326,1975.4818244721835,318213.28643159434,41699831225.02701,114.94023937043765,0.0
600,9265572.955426466,1972.9931416062698,289167.67864819226,41699739450.70444,121.30387864911853,0.0
700,9210902.739396779,1958.975512173415,248775.21293436692,41699760041.45643,106.55995585734613,0.0
800,9172838.03090837,1956.4464857759365,232151.63681708602,41699736463.893906,134.61528936197755,0.0
900,9072278.75318991,1943.6767992727828,214578.7043439465,41699670271.63192,131.37972087114593,0.0
1000,9040616.06556888,1935.736808223389,192414.04339345824,41699550081.91519,120.29461812126134,0.0
1100,9010740.892799241,1932.5960540674234,178982.62575581067,41699516506.25836,98.92760206464938,0.0
1200,8954835.087957297,1925.353988992201,167191.14433707253,41699567558.098495,135.2918041695456,0.0
1300,8901386.706520462,1920.9609224529938,156464.61095924972,41699539317.62524,128.77668384432368,0.0
1400,8828450.9160819,1915.2449069892148,135787.9386410282,41699463848.76954,129.55756901848474,0.0
1500,8793204.253203448,1914.0007245464622,124101.78721957507,41699447780.052925,108.22362430104877,0.0
1600,8724147.9738492,1907.6504998468706,132712.77197216192,41699324622.969345,137.81534620790316,0.0
1700,8719150.962722724,1906.7129268444132,116336.83166218824,41699381256.213234,130.6371735949642,0.0
1800,8731578.127781237,1906.8260845519862,109137.89136307834,41699326698.10923,110.2421901993984,0.0
1900,8675136.419309061,1905.688168077324,95659.50950709281,41699297449.29483,92.41077015030189,0.0
2000,8639283.484876934,1900.882729261421,93921.8257925894,41699224637.77087,138.44484063541682,0.0
2100,8657480.545139918,1895.3246124055288,89927.71732102487,41699157389.70416,140.04452568629836,0.0
2200,8637314.587724077,1897.3490016337428,81893.65210502167,41699108369.20914,116.60196810856255,0.0
2300,8553952.177144043,1891.8627568287536,73036.68988323047,41699037781.88533,143.17230749001826,0.0
2400,8609671.694561142,1891.657175185998,80316.88753826205,41699021082.90421,111.45669548692979,0.0
2500,8517502.25771795,1890.9542922399003,56783.951123080056,41699026113.35478,91.02029468232112,0.0
2600,8498953.832723038,1887.8276652470454,68466.23444772227,41698984109.31097,125.04907420851778,0.0
2700,8532023.521638596,1883.2626125108795,58868.92747110666,41698982886.99102,138.75433215316824,0.0
2800,8503112.980841093,1880.7458452115056,57919.978957455045,41698863238.25647,121.7610333991683,0.0
2900,8541890.941411044,1883.2545905537656,52391.28099846092,41698859189.64284,106.5994094604845,0.0
3000,8526077.217501286,1877.1309895942936,51246.58525030757,41698785055.82197,142.6530694813259,0.0
3100,8481084.122587645,1879.6824986422357,45176.092427722084,41698730333.28254,94.55422694412508,0.0
3200,8436306.28358733,1881.7600517821863,36899.503302724675,41698799476.43627,137.03006334474878,0.0
3300,8483050.548417838,1877.169744118947,40951.86860059761,41698713465.67594,96.61347412610931,0.0
3400,8442201.477275234,1875.5966970002607,44570.6158249682,41698698772.24241,120.49984525213947,0.0
3500,8441898.476585561,1878.4860358478763,43560.76518358875,41698681219.84163,105.05445650130727,0.0
3600,8475248.338598698,1874.8833025963177,38706.04626582358,41698630646.34216,122.59578302863484,0.0
3700,8394958.716472274,1876.876891344824,38163.60816489578,41698573810.95813,91.2776454937065,0.0
3800,8383360.859930947,1874.2679922684326,37020.29901394481,41698521225.66004,89.10643533122823,0.0
3900,8387336.87906437,1868.8705314342558,29424.860505511602,41698439918.40583,88.58637793313115,0.0
4000,8420294.446636919,1874.770225903507,39893.8881871239,41698428999.82334,141.21034520759738,0.0
4100,8396087.849170439,1867.454368287116,27474.867849595215,41698440157.46074,126.43744877761327,0.0
4200,8390988.155172069,1867.115772825014,26017.596358612558,41698374535.63668,130.89018676941598,0.0
4300,8403618.237071438,1871.0031902316334,26170.71220836813,41698282655.957,104.51826069529592,0.0
4400,8368036.382406617,1872.5929144302424,32066.461548068502,41698298023.4766,112.49867581269358,0.0
4500,8419469.305872079,1872.108004975137,23611.35621789011,41698202081.91155,101.7647727390331,0.0
4600,8406435.806274483,1871.3706571147745,19827.36887001235,41698260339.29277,126.03222389395619,0.0
4700,8404544.83051193,1867.7886306226396,13054.10262400825,41698152517.60176,108.58978961224568,0.0
4800,8345391.815403682,1864.4272859711916,26464.967031432796,41698147166.57929,88.81264909120924,0.0
4900,8325752.049039438,1868.4873918865253,17546.10341234782,41698098986.43104,123.43088057350829,0.0
5000,8324002.58861257,1865.580936154831,17887.149840973714,41698044734.18378,142.09561133555604,0.0
