milliseconds,T,L,N,C,I,M
0,10021949.041001644,2001.5538953887021,489394.6826684864,41699949668.30565,1984.2525380111522,0.0
100,9829463.702780386,2027.3093619863691,448240.48289034894,41699912293.85142,862.5985332450624,0.0
200,9707161.2579314,2009.2987039291093,401374.6479204358,41699891879.19952,416.84518142076314,0.0
300,9562657.30826296,2000.2684874432307,377043.9643489198,41699835110.24285,219.93789735724528,0.0
400,9482086.29576426,1986.7373302245799,329928.3659607219,41699827651.86025,177.13838689535606,0.0
500,9417814.573205987,1977.8827819739558,322541.6570768161,41699756006.508736,148.49859117828717,0.0
600,9293516.679597855,1967.9207150069267,283494.0413932747,41699712016.319664,117.21346322883957,0.0
700,9183378.368863415,1963.5878504051727,271133.3449619451,41699761890.58128,148.01836420939966,0.0
800,9155328.126145296,1950.3562992187524,243143.50351684255,41699731089.64705,126.0711771640708,0.0
900,9079275.47761044,1943.504996061223,212957.81537335424,41699660331.79047,105.47182931697617,0.0
1000,9052198.186528023,1941.1382376196946,193423.77191659284,41699603554.08115,98.15309113914398,0.0
1100,8937305.748407679,1937.2695318244719,189250.7992219547,41699538694.64827,127.54818004262293,0.0
1200,8955754.17232859,1931.1353102406497,176286.68200918182,41699543453.5919,107.00302385621704,0.0
1300,8863837.902522393,1923.8034638100119,158298.01019984137,41699430569.83882,107.8096737901845,0.0
1400,8802150.82346566,1922.4534609955294,150341.79302836783,41699477886.40345,130.39028694252406,0.0
1500,8793363.825323842,1919.4628562763176,121387.85429198435,41699399927.56154,112.66106153255421,0.0
1600,8774440.673337702,1909.884404357977,111342.67235564781,41699326441.08734,135.49015342294896,0.0
1700,8758275.736678999,1907.786693678512,113401.24630601425,41699354514.40623,103.14512238669936,0.0
1800,8706443.21350005,1903.5041354552345,112850.93579733995,41699250937.645676,98.79515746162994,0.0
1900,8662226.26280249,1898.162920504298,89450.76132799718,41699283395.113045,132.7129230037705,0.0
2000,8615062.32939418,1896.353117584128,82441.83776850275,41699225485.61463,112.18062907253953,0.0
2100,8637470.653157596,1899.3795662490254,74639.85678833198,41699147398.76383,128.77898722120864,0.0
2200,8599102.92098558,1893.4793627307058,71563.36682702409,41699174822.23168,97.99166875452825,0.0
2300,8566449.726822063,1895.7273358345783,75432.53642043218,41699148408.40147,109.0905320931373,0.0
2400,8592104.517482396,1888.805874859513,71466.72489905547,41699025011.45567,88.70224665955232,0.0
2500,8575016.35831814,1889.1649232662717,59559.75630030625,41699054896.79941,127.99397839410838,0.0
2600,8522383.839082912,1883.2154158516212,52364.26541785198,41699022537.25515,98.97400078128642,0.0
2700,8562781.402101347,1885.523642869525,52279.27069881396,41698930567.11055,136.87938574261682,0.0
2800,8473854.925870249,1883.3140328766867,59927.58523665662,41698902162.313286,112.80199818736098,0.0
2900,8525454.008624408,1886.5553413319337,44670.76093450616,41698912107.20425,117.64330877113449,0.0
3000,8531488.909913803,1881.4640039845535,54514.25794782575,41698839085.36936,114.36738820356162,0.0
3100,8452996.919952838,1881.1789284787014,33796.126038091126,41698832304.19116,133.7145940200435,0.0
3200,8466522.340497779,1874.8233506539166,50762.27095978308,41698764966.8231,103.1578703333064,0.0
3300,8450876.45511573,1877.567056233615,36269.297069425564,41698672692.42774,116.03761252462114,0.0
3400,8472323.095225677,1875.7411628823747,32926.24175335179,41698722892.045166,126.14061693918,0.0
3500,8450192.567295134,1879.2341555102773,30513.8272794249,41698653990.09092,141.81394031337615,0.0
3600,8419777.296002837,1879.047317530397,31521.548239581323,41698601555.171005,103.27753458164177,0.0
3700,8465790.115406979,1878.0001516854732,38130.60221206948,41698571951.33026,113.07190474810092,0.0
3800,8394647.483315136,1876.2992706195853,31188.965140677283,41698571309.25565,94.26120101040212,0.0
3900,8434856.189575754,1870.574591275607,37699.560010061265,41698518282.2944,137.40395210206032,0.0
4000,8396780.448749753,1871.682641843154,21694.659785484273,41698391520.356445,100.97138268523861,0.0
4100,8436191.07849909,1869.009451696656,15970.794554220323,41698375096.49597,113.91971378451538,0.0
4200,8370278.28127762,1873.78691385501,35151.39506023264,41698355764.61702,127.47629732912303,0.0
4300,8363005.653834288,1873.6692904830916,35803.57708645776,41698328170.42403,100.2795193571915,0.0
4400,8350292.377620041,1869.5434102840861,32796.70693417098,41698228288.1907,123.40828122032264,0.0
4500,8387809.207847722,1871.310988910302,24765.372922687,41698301119.01259,142.10310008952555,0.0
4600,8370259.35777146,1869.2436390751916,24254.41060541748,41698179845.019646,119.47733579221938,0.0
4700,8335139.899127574,1867.304384293993,20021.82415406399,41698210747.903305,118.75288860322095,0.0
4800,8347549.579061054,1870.9207843482031,18821.408017342692,41698153632.8819,127.47265237766564,0.0
4900,8386361.664130783,1863.8083849728664,21816.400479939744,41698078546.5149,97.66356355636691,0.0
5000,8371486.797386678,1863.6501937813402,24333.76662397993,41698094513.932304,90.36968108660537,0.0
