miliseconds,EGFR_active,D_SOS,A_SOS,Raf,Ras_active,Mek_active,ERK,ERK_active,IGFR_active,PI3KCA,PI3KCA_active,AKT_active,AKT,PP2A,Ras,Raf_active,Mek,RasGapActive,RafPP,P90RskInactive,P90Rsk_Active
0,7993.333018775612,121566.0131146643,-525.8656630866665,120017.84906126827,-197.05232148633894,-18.355296805412504,598106.4437461986,1585.703241731037,799.2126438314983,119739.47659703242,680.2983615813606,33.6261649022363,600025.407392277,120000.0,120155.62823969779,30.62551435319589,600146.1213797254,120000.0,120000.0,120002.38711482543,14.197852941939926
100,7978.534525617927,88705.69379247847,28866.409242918762,119920.41944491293,5165.744538955727,103.30994161388588,598010.9197158413,-163.56319341692003,799.4893216538594,-459.2449508223928,120004.36147335869,230.4847728707148,599649.3946086388,120000.0,114620.92655011041,111.33896533433206,599954.1052309657,120000.0,120000.0,119984.98160157635,-9.87625900163718
200,7979.1311898148015,64864.036765208904,54903.26167215472,119678.92616183356,10031.282502719097,439.40160134678547,601841.4152661657,177.2818876503323,795.7799624356911,460.0587816947771,120625.8832582746,694.5916547889993,599175.670084142,120000.0,109602.48822004219,317.78457702679,599586.3260108005,120000.0,120000.0,119993.78908831043,-15.850096886928386
300,7946.805855632192,47797.46812094928,72125.87910651305,119405.88938330919,13757.940293324862,1339.2855388590528,598409.216416225,-509.3319806066679,794.7544215093375,-360.86266354486247,119355.71995213072,1143.7503675012567,598960.6821644988,120000.0,105827.68548330604,590.0313408724791,598594.8972894498,120000.0,120000.0,119995.99997504766,6.781044450166402
400,7925.3350128781785,33357.50323883953,86454.45483769398,119154.5327456181,16950.88155929636,2540.543048935874,597777.0255809798,157.48135268455076,792.5132556386284,382.6664612495633,120563.19826011974,1511.8703405063354,598573.2436914075,120000.0,103318.45937765823,842.8605067970811,597311.1800927685,120000.0,120000.0,120013.14550665925,4.615194308209509
500,7922.138129271015,23159.807541049675,99379.99824889089,118857.49399071341,18492.420787529558,4487.123014404396,595927.9323463524,2413.8561150074124,791.0841829309402,669.1565537239335,119747.63288829313,1797.1881718769387,598366.2989276039,120000.0,101616.61358113364,1104.9332821189382,595481.474026944,120000.0,120000.0,119998.24072501362,10.498090693640615
600,7903.863267845238,17896.863931590735,103729.96760752753,118579.31200618853,19540.56056581273,6594.6627031692,596825.1357538432,5175.798400229361,791.3499903452728,-202.93409171734848,119528.40853628985,1827.9863391701392,597858.5185066875,120000.0,99931.67641656302,1375.6315174355516,593241.2960868373,120000.0,120000.0,119986.775305458,10.563276347976505
700,7891.526031449857,13898.095576044489,105941.53529812576,118353.0768951446,20387.612581062913,9007.599576815624,594924.4911470759,5252.900560407486,788.0418937173862,105.25398327515042,119334.85900950398,2079.8529258477247,597607.5912701928,120000.0,100081.34881143876,1646.0804600627023,591054.9794528837,120000.0,120000.0,120013.51997566372,11.755621235970176
800,7864.262708215618,14552.144296258488,104353.91634377737,118216.76143368904,19944.810442633734,11943.526706124489,588715.5338039922,11641.410363999092,788.383690747055,133.2385220174631,120419.45063960525,2423.1365867826953,597554.2706369795,120000.0,99677.60649495292,1822.411763788016,587695.6069415257,120000.0,120000.0,119997.14666988218,10.582606262310492
900,7859.150950190204,21121.687194433973,100708.6039983412,118082.80835366414,18789.613776756403,15331.862824261349,585466.8123083045,13375.84628256737,785.9933741678874,96.49564369429565,120586.66000403956,3002.632177336632,596956.6393438489,120000.0,100937.87982797838,1885.6060537319613,584761.683631789,120000.0,120000.0,119981.43298483158,8.397286502965008
