miliseconds,EGFR_active,D_SOS,A_SOS,Raf,Ras_active,Mek_active,ERK,ERK_active,IGFR_active,PI3KCA,PI3KCA_active,AKT_active,AKT,PP2A,Ras,Raf_active,Mek,RasGapActive,RafPP,P90RskInactive,P90Rsk_Active
0,8006.3096303518805,120406.85904455277,1194.0261319473884,120002.70947241448,317.0875205178898,367.2956996248723,598512.3734489292,-1888.9203116983142,799.1196911368778,120816.31199603298,781.0406572503017,-181.51531816106083,600159.4478323591,120000.0,120212.53885929156,-12.78836676326842,600220.6794177532,120000.0,120000.0,119995.23012273228,8.979709392023645
100,7978.306531971859,89381.28559559758,30723.47925148041,119910.7302624347,5174.957353824116,230.47651846780872,599039.6382539571,-1285.0305639656256,797.6071723471185,-232.4230666969917,120173.2788696433,506.51925831551637,599607.5388333875,120000.0,114883.02078871639,82.45977076344138,600265.4801589189,120000.0,120000.0,120017.16927803544,-8.211694652168244
200,7976.115149051942,67372.02594263169,54756.53250864954,119704.43998423555,9904.040052814851,165.8245833380443,601592.7766246872,1095.7702804170156,797.0757732368173,-79.94851341052764,119919.01657605576,672.308049292361,599173.1501089652,120000.0,109546.30193399472,335.98615831016707,599158.7193917981,120000.0,120000.0,120011.09261050138,5.870341748454058
300,7942.730476582191,45348.50564357157,72475.44727857145,119429.62322596723,13957.585454652375,1268.2313451532445,598538.6016662894,1661.789945526028,794.1232797453996,-665.182217072069,119490.26752837784,869.9253842714226,599187.6585321161,120000.0,106408.40447665114,585.8063144670206,599014.14394893,120000.0,120000.0,120010.23686681045,-15.728894031240447
400,7940.966728815573,31701.798333022267,86046.2189573008,119141.1379081379,16911.54907799412,2738.85638776829,597025.9761939752,1448.4398387136582,793.6913121989191,524.1344667635586,119896.43172312154,1303.667541351289,598835.0366666529,120000.0,103510.34635487257,846.4078839091818,597275.00773045,120000.0,120000.0,120004.54608549351,-6.387097774657277
500,7909.265872639687,21328.251942140956,99176.0812502008,118881.94110336955,18854.662802253337,4207.923888414015,597323.2704791521,2686.664179061913,791.9667813707376,-15.42033495005484,120427.79216123708,1430.3623691217633,598265.9593898751,120000.0,101524.0127912441,1117.0933287207513,595174.0808639318,120000.0,120000.0,119999.646687054,12.503569153137642
600,7906.185111113164,17631.72493083339,102701.95992807997,118612.77085114481,20048.28146102616,6700.902988390891,595269.0310019917,6055.6276233453245,790.9146963176416,-736.136715777691,120388.46711847575,1850.5990878199586,597845.748012275,120000.0,100398.80627335559,1385.1766992299106,593144.4482304116,120000.0,120000.0,119983.03487244307,14.832156227977482
700,7894.597796284817,14631.193382716508,107030.99226920807,118400.58787606821,19897.86436550981,9138.34462599044,593584.8590814512,8772.702637783335,789.6525666978852,577.3144302109902,119636.4936582343,2122.8848052800854,597559.0222804665,120000.0,100123.77393779451,1624.1634360355338,590974.4161957987,120000.0,120000.0,119984.86978144321,2.4578416302637938
800,7880.972582207357,16932.360287304076,104027.2010835604,118203.67700144985,20078.71119401352,12395.695412947296,588069.2688198875,10718.220629492549,787.4585316728424,-837.8192982304722,119346.24006673996,2785.142722424138,597212.1731197583,120000.0,99955.42579818486,1791.5280984805217,587896.2185743399,120000.0,120000.0,119988.2368569159,13.514136198482348
900,7849.077335240391,22037.848647128987,98351.28844515207,118105.77922216321,18813.507527534573,15106.892786273835,586582.8229945586,16922.795077678747,786.5145263790129,-263.11960815494655,119449.0769045766,3033.0983703132865,597253.0120195533,120000.0,100672.0239810691,1907.2868411538664,584930.6231396275,120000.0,120000.0,119997.46008658785,2.9799085875888913
1000,7833.255226077772,29015.106504721327,90739.20533267873,118106.98410862172,17424.81089701893,17954.577239699818,581220.6169338106,21575.3671082468,785.1406092665078,651.5145513449452,119648.38753621276,3392.978377365611,596535.5057450151,120000.0,102345.81439244228,1924.0374132961208,582384.1740137746,120000.0,120000.0,119993.39764477804,5.476777278285855
1100,7827.276048743213,40516.86354647523,77625.62849395719,118179.70675211727,15261.16814571927,20424.624600242627,574838.8500804525,27761.269432075365,782.4516399073249,195.94833712368202,119520.68054008168,3498.149407377788,596567.6423143974,120000.0,104643.73149312165,1808.9951728137662,579751.4670473976,120000.0,120000.0,119976.30051588628,7.8638988096297044
1200,7805.006916681007,55028.77624878568,64416.29088365268,118370.66890503559,12692.470292563668,22582.568512504175,567690.3525381222,32241.095989790585,781.668906148482,-297.9334205662896,120132.1514222555,4098.047090378976,596286.4748638291,120000.0,107131.34111787299,1612.5424813803183,577623.1659006684,120000.0,120000.0,119957.02416913728,16.010005186734997
1300,7790.940342114695,68889.24351734234,49315.48689087245,118652.58971670593,10106.792722946588,24343.05158573179,558343.264151458,42123.37025990914,779.5676160532338,-247.71503320961352,119492.69509329245,4400.486693694103,595586.7786447527,120000.0,110116.74061873407,1351.7373668167018,576042.3603870961,120000.0,120000.0,119958.57500202583,52.76809372939831
1400,7785.55647182766,80811.443857744,40063.9698566034,118996.17518841801,7609.279411733349,24568.311660901625,552321.6578476282,49176.549273282326,778.369612527188,-533.4112909363653,119352.70249063484,4505.201061431481,595518.2912803012,120000.0,112071.70732857824,981.8182780317131,575268.3549601582,120000.0,120000.0,119961.98703607678,44.06761917563862
1500,7767.561111566724,91214.57724280831,29068.767966933225,119322.25340526689,6013.950005786849,24889.49601270613,545749.7530410127,53873.035513932,775.3856041243919,-112.35432688461118,120771.89198514474,4949.908166844359,595188.4075939208,120000.0,114085.56225084259,676.430579326291,574911.5870413547,120000.0,120000.0,119919.74443655636,57.47844761043788
1600,7756.937475951997,97583.61828239418,22476.12296512782,119583.33641605289,4493.389136792914,24410.38589724873,539042.4988928102,61640.94152495742,775.1560359738867,543.6937715195962,120021.8259803777,4974.231523633883,594796.4170302834,120000.0,115315.420037667,397.703023278833,575704.2848363323,120000.0,120000.0,119904.83913831094,82.87768012002753
1700,7724.872366571131,101319.0995625738,16224.313610028341,119767.20452468505,3541.8916282127375,23435.266644219653,531959.1948675539,69182.28203246907,773.2528296370225,-299.4846692927173,120031.63884551763,5292.6991896407235,594574.8932948427,120000.0,116791.54236244298,238.9263523053637,576149.3875988838,120000.0,120000.0,119899.96597390668,88.03866375618678
1800,7722.003081218218,104805.11678754915,15685.95201385043,119804.69944281076,3146.160391779803,22808.90254212931,527703.8395011827,75463.37328347337,772.8036543636754,-830.3538336673245,120752.25168741045,5718.0520167054265,594176.3496503033,120000.0,117234.49886323452,181.93282289685817,577376.0416215834,120000.0,120000.0,119874.93038661135,140.24023746473756
1900,7704.387530777704,108095.31634590245,10610.12507447435,119873.48152045876,2560.1468261672526,21686.769065210276,520551.75746575854,79029.85059273873,770.2148307083345,-601.4187303280643,119608.99750014684,6357.772056625064,593956.3080515709,120000.0,117350.96630236227,102.753165784559,578395.3577911471,120000.0,120000.0,119855.47535091607,158.41851579274007
2000,7678.656814495688,109106.81971630514,11995.422032785451,119882.37482712374,1827.7329465282517,20245.54569134378,518433.0864363671,83296.14108327693,767.6053806997669,-421.98720594736477,119406.52701211501,6462.149639075216,593759.9279966909,120000.0,118090.77724132854,94.93047759463188,579630.05772435,120000.0,120000.0,119842.50260685032,183.76954193988814
2100,7664.61570549809,112035.0804984887,8163.240987774334,119910.28209810246,1433.7791828459658,19359.42838306787,513799.9572269627,86492.61135969192,767.7091864070877,-442.4156763758926,120295.14598252592,6727.594628401914,593048.5910542854,120000.0,118094.40106343091,70.61448332642581,580532.0673880153,120000.0,120000.0,119803.30023850838,205.2885322513531
2200,7648.454666236004,111654.66526496601,8566.785823729737,119926.06638633236,1815.7158050451912,18549.80066589598,507976.9970957612,89308.91056333578,764.6150252970634,450.84688433857156,119421.10787410721,6998.183912343379,592891.875902867,120000.0,118123.47198964616,100.81390703634078,581871.645540683,120000.0,120000.0,119783.1205968637,232.23698325198595
2300,7633.124942009178,113911.28067461438,7773.142710160515,119949.35807630557,1227.772501409717,16965.239189198022,504808.6375930768,92620.82701022892,764.7759075132209,444.70010118226287,119787.12541078527,7497.135153067811,592726.6469255015,120000.0,118554.61700828845,58.778073419576245,582936.809070445,120000.0,120000.0,119745.99718005888,253.5277958988116
2400,7625.717091849591,112714.65748937457,7479.072213965874,119963.23630795004,1143.6703320721838,16644.580935588445,503971.73701434594,97853.70419339574,763.5362127400155,-426.55031503167027,119882.99646907307,7507.874321867318,592402.6635740959,120000.0,118742.1952448825,41.13073211264908,583720.7945087655,120000.0,120000.0,119718.5822443151,267.48044751304053
2500,7599.737728194311,114499.40967185998,5259.699856046805,119981.99344682689,1153.1488277035667,15279.247944853914,499505.12882110395,101131.60008533605,760.1862783238169,-612.6320817202544,120729.63838973918,8007.819145111629,592042.9451791411,120000.0,119087.0714021726,71.30303833738424,584410.3790333358,120000.0,120000.0,119703.05998414711,318.72595671535777
