milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p21,p21_mRNA,p21step1,p21step2,p53_P,Mdm2_P,p21_basal,p38,p38_P,GADD45,IR,damDNA,ROS,basalROS
0,5.003002714063455,5.002198467780371,95.00200516878613,10.00003619666492,10.0,-2.1230819846757895e-12,200.00000000000202,-1.3799134150798417e-14,0.9999995215203653,-2.7330858373888615e-05,2.6822736578682226e-09,2.8970990943981755e-15,-5.176350841410418e-11,7.0,100.0,1.3517059048776654e-19,-7.959229665514284e-19,0.0,2.97085412851748e-10,-1.4180686671513606e-22,10.0
100,5.001661463545754,5.00228083619768,94.99226076585595,9.99992379989197,10.0,-2.914593741617881e-12,199.99999999999952,-1.9110520098153851e-13,0.9999977130012575,2.832873417255835e-05,-8.559128419078774e-10,7.536896469167305e-14,6.046954136261182e-11,7.0,100.0,3.2505783911495784e-19,6.528182932335844e-20,0.0,6.530935110347691e-10,-2.3721446666361466e-22,10.0
200,5.013929402210469,5.007408974825295,94.9879894721381,9.999907486629946,10.0,-2.1290373671512225e-12,199.99999999999451,7.558724754094682e-14,0.9999966800826694,9.442784213465975e-05,-1.3507717177310515e-09,5.119094914778082e-14,-4.3170557570937594e-11,7.0,100.0,-2.693086444350468e-19,-6.551444233719926e-19,0.0,2.674424029733414e-09,-1.0600291608131966e-22,10.0
300,5.017988694314453,5.00961856101617,94.98574760367438,9.999827307437313,10.0,-1.4207652363292608e-12,200.00000000000463,-5.652415924574317e-15,0.9999929659283407,0.00012403843337711155,-8.43507542588998e-10,-6.008456147981546e-14,5.3361661915739945e-11,7.0,100.0,5.305101545927355e-19,2.0574271027301014e-19,0.0,2.424438352345334e-09,-8.521033142622119e-23,10.0
400,5.017363430857642,5.010628641228916,94.9795047701498,9.999790683935856,10.0,-1.6357355280822922e-13,199.99999999999798,1.4205026698876697e-13,0.9999897733764371,0.00016007348233123677,-3.4994658696685104e-11,7.537482129970268e-14,5.875867531597668e-11,7.0,100.0,-5.197958882679879e-19,6.863134512322246e-19,0.0,3.6570821116531416e-09,1.1410353170106809e-22,10.0
500,5.024939301484911,5.014414988144829,94.97505819817722,9.99973615434072,10.0,-1.7969276336583563e-12,199.9999999999931,1.9387931870637568e-13,0.9999869075274873,0.0002272267383162442,4.471038357856907e-09,-1.199214997318106e-13,6.049847540055848e-11,7.0,100.0,1.7120198411721196e-19,6.274952960638943e-19,0.0,4.591941445524758e-09,-2.3143766831012695e-22,10.0
600,5.030821281577959,5.017956848946572,94.97042920236194,9.999688312085985,10.0,1.0383875194717457e-11,199.9999999999883,-1.6867340316056372e-13,0.9999860168275148,0.0002304782987998765,-1.1536215679599945e-11,2.2461688940697595e-13,-5.84586907178216e-11,7.0,100.0,2.2616875073411186e-19,9.353424244795784e-20,0.0,5.833276145917285e-09,1.9450136449915554e-22,10.0
700,5.038804832878084,5.022456377305354,94.96869103576869,9.999673685559719,10.0,4.918262553589459e-12,199.9999999999964,-1.4655890407265589e-13,0.9999840566529533,0.00027321134839027115,6.413969878950003e-09,1.959021279447278e-13,9.50570519132536e-11,7.0,100.0,-5.62123084095142e-19,2.7084497068339845e-19,0.0,7.510472735190529e-09,-1.868472989400496e-22,10.0
800,5.042092740431121,5.0255672108782985,94.96167108783828,9.999600339195108,10.0,2.0059412473990294e-11,199.99999999999207,7.425745299358809e-14,0.9999809417312827,0.0003169214775156011,6.463522617908247e-09,2.3913407784333772e-14,8.590791826009497e-11,7.0,100.0,1.360867791926306e-19,-2.7284577861737514e-19,0.0,7.819108163375928e-09,-1.279264909833472e-22,10.0
900,5.043560701329521,5.028879725623157,94.95240904051944,9.999555458131958,10.0,1.6115447901144114e-11,199.99999999997723,-1.4944472159811696e-14,0.9999777805242746,0.0003390816787218926,6.8786097148956125e-09,8.413013721585991e-14,4.9255830984897443e-11,7.0,100.0,3.2048223354588526e-19,-6.337744471812836e-19,0.0,9.56739930202008e-09,-5.307396140499123e-23,10.0
