miliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p21,p21_mRNA,p21step1,p21step2,p53_P,Mdm2_P,p21_basal,p38,p38_P,GADD45,IR,damDNA,ROS,basalROS
0,4.999291028745478,5.00099551278484,94.99654948333188,10.000033666008715,10.0,-7.327267590027132e-12,199.99999999999307,-1.22566099076709e-13,0.9999986844137401,1.1684210071092185e-05,-1.4094868923163368e-09,2.6989157654003768e-14,7.126104246397539e-11,7.0,100.0,-2.8228991117051036e-19,-8.135149431921695e-19,0.0,4.3006369749680976e-10,8.561869865314717e-24,10.0
100,5.007691101130144,5.002999294698367,94.99733699190445,9.999919365195188,10.0,7.657388681879186e-12,199.99999999999957,-1.2958123032838258e-13,0.9999992330848319,3.3234576351967956e-05,2.0685594049109808e-09,1.95108859724106e-13,5.934999729037211e-11,7.0,100.0,-1.5566624319068156e-19,7.809818191309586e-19,0.0,1.0893608664807442e-09,-8.597276942856224e-23,10.0
200,5.010870443478688,5.005349037097565,94.98917507803564,9.99989867317971,10.0,-3.392928739418981e-12,200.00000000000588,5.2869251430202255e-14,0.9999964372254403,8.34140281324375e-05,-2.514314948109996e-09,1.4233534053620593e-13,2.1944646285265026e-11,7.0,100.0,4.596278243018658e-19,-2.7908573479010693e-19,0.0,2.1132912123083518e-09,-1.9298513450895048e-22,10.0
300,5.013511957989703,5.0092084045971985,94.9815903455168,9.999850029551126,10.0,2.839753732646041e-12,200.00000000000333,-1.225992184950112e-13,0.9999924670802623,0.00012214377333504085,3.1704473298670384e-09,-1.9371640951961664e-13,1.7095183062152282e-11,7.0,100.0,3.226416475454789e-19,-5.918064768866026e-19,0.0,2.8033646316282855e-09,-1.1997254897581102e-22,10.0
400,5.023111023206528,5.010422313532684,94.9802850123912,9.999824925837537,10.0,2.8467400055629427e-12,199.99999999999793,-1.873822632652888e-13,0.9999917871062514,0.00016034668289177295,-5.551262330026264e-10,5.369857187312003e-14,-4.33984558534088e-11,7.0,100.0,-5.65903658115961e-19,-2.9993683474737077e-19,0.0,3.3761516990250195e-09,9.865378992199823e-23,10.0
500,5.02348656995351,5.017070515372716,94.97473198770156,9.999737868547214,10.0,-1.9570284672777763e-12,199.99999999998929,-1.431543206758449e-13,0.9999896774867609,0.00022886201208072269,2.896695697183669e-09,9.311032793149797e-14,-7.660580588319148e-12,7.0,100.0,3.2763177498952608e-19,-7.554605945190106e-20,0.0,5.604214102104787e-09,1.4391970842707376e-22,10.0
600,5.0277038299168835,5.020770605526811,94.97126763595443,9.999710844325971,10.0,1.0535316284247598e-11,199.99999999999397,-1.572332327370121e-13,0.9999871961341381,0.0002373706827649621,-7.608122913528266e-12,-4.37071623869765e-14,6.355593350733846e-11,7.0,100.0,5.074203134164712e-19,2.6024362708087207e-20,0.0,5.392231053192356e-09,9.375070027038146e-23,10.0
700,5.03481449871442,5.022988914274668,94.96192366548996,9.9996408212327,10.0,5.84238583703054e-12,199.99999999998948,1.4359558548897302e-13,0.9999821572833191,0.0002731641702423837,1.014082019424917e-09,1.8171376648855e-13,-1.943374771408565e-12,7.0,100.0,4.691614747231049e-19,-7.082338018013863e-19,0.0,6.306735667957443e-09,-1.745407955848855e-22,10.0
800,5.044425169628545,5.025987715067335,94.95819773435686,9.999589055496848,10.0,5.341674897763627e-12,199.99999999998,4.849589760102707e-15,0.9999824564236492,0.00033180652323303635,5.856298995056443e-09,2.318652479223534e-13,3.737629495757398e-11,7.0,100.0,5.950671127020278e-19,8.759533946354573e-19,0.0,7.474892075459971e-09,1.504416809353099e-22,10.0
900,5.04866285671446,5.0292133842159865,94.95504906155237,9.999567136511883,10.0,1.628799382150274e-11,199.99999999997627,-6.37239343372191e-14,0.9999801687293938,0.0003885402949362677,7.330908319735159e-09,3.595328826187914e-13,1.1195571904270863e-10,7.0,100.0,2.330241694716737e-19,-7.779979386324522e-19,0.0,8.9881570534106e-09,-1.946332204890304e-22,10.0
1000,5.055905350070696,5.028775441950748,94.95278362469027,9.999487250934896,10.0,1.7834953500319374e-11,199.9999999999733,5.932379974701952e-14,0.9999777781931072,0.00041572692791502704,1.0438767563316512e-08,3.580295850577203e-13,-8.061485414861328e-12,7.0,100.0,-4.397156815345836e-19,-7.688122929318129e-19,0.0,9.69496825203673e-09,2.105176711934081e-22,10.0
1100,5.060917216149883,5.032439898772412,94.94758507919059,9.999466241716878,10.0,2.169467032235863e-11,199.99999999998138,2.260227694283614e-13,0.9999751552758201,0.000456368156050197,9.495165701327851e-09,2.727321023779803e-13,6.576725013793813e-11,7.0,100.0,2.1293979692555664e-19,-2.915917028975312e-19,0.0,1.0816700079218138e-08,2.536158137771124e-22,10.0
1200,5.059976996750793,5.038911914902546,94.94158602681274,9.999409864655785,10.0,3.084719864468871e-11,199.9999999999781,2.5175608576560213e-13,0.9999713124277734,0.00046848737425891153,1.0041832601882972e-08,4.5319173520331935e-13,4.9828701718479125e-11,7.0,100.0,5.209475452479023e-19,1.3138956054731537e-19,0.0,1.1314030417818456e-08,-4.0906097456290325e-23,10.0
1300,5.068487069601451,5.0392885066831035,94.93863273954571,9.999381952726203,10.0,2.867458440421188e-11,199.9999999999646,3.2111115350361193e-13,0.9999698105781475,0.0004923333799344387,1.5005256619641903e-08,3.2723561792982394e-13,1.8424833563448996e-10,7.0,100.0,7.245073013733876e-19,-1.26101179152717e-19,0.0,1.3159713132968087e-08,-5.2545397500521606e-23,10.0
1400,5.075318865635945,5.04465613720811,94.93052014912645,9.999288119599695,10.0,4.074679935788121e-11,199.99999999996655,1.4724474658134114e-13,0.9999681733093423,0.0005751077534150451,1.6203006879897073e-08,4.229456970118048e-13,1.5409843195885192e-10,7.0,100.0,5.561644935024733e-19,-6.313379371787939e-20,0.0,1.3269655264139285e-08,-2.130241183497235e-22,10.0
1500,5.079906010203926,5.045435560070594,94.9286975843677,9.9992678699411,10.0,4.750166187960091e-11,199.99999999996257,3.3465724537925367e-13,0.9999661190534279,0.000627006544238196,1.530922376078805e-08,5.943056120426466e-13,2.264702144126603e-10,7.0,100.0,-4.694100892954569e-19,7.241235886799035e-19,0.0,1.4939780012560145e-08,2.2889177456823145e-22,10.0
1600,5.081959250153504,5.048491451011704,94.91841237951277,9.999226626061455,10.0,4.461896052507533e-11,199.99999999995143,4.483875137896522e-13,0.9999635558410327,0.0006413752481905531,2.0288994371258603e-08,8.744372775285489e-13,1.938153877056573e-10,7.0,100.0,2.1682209078477208e-19,1.0176874242854401e-18,0.0,1.5949721092002033e-08,-1.1592205534281146e-22,10.0
1700,5.084889857562291,5.05313998011651,94.9187689741882,9.999169049362889,10.0,5.296075801241322e-11,199.99999999993884,4.350819073408339e-13,0.9999582329214693,0.0006996463365886751,2.1657903390657184e-08,9.965864745040726e-13,2.848860424679676e-10,7.0,100.0,5.566228352223269e-19,4.629451295031021e-19,0.0,1.7733115781638507e-08,-1.494611673992306e-22,10.0
