miliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p21,p21_mRNA,p21step1,p21step2,p53_P,Mdm2_P,p21_basal,p38,p38_P,GADD45,IR,damDNA,ROS,basalROS
0,5.001079656570294,5.0018340364628235,94.99736166372695,9.999977799800694,10.0,2.231074334553941e-12,199.99999999999662,-2.9127009026373103e-14,0.9999988404475738,4.200685870666265e-06,-1.0119032900911517e-10,-1.4014913639712211e-13,-2.201138374922538e-11,7.0,100.0,6.182001825859077e-21,6.954047798548398e-19,0.0,2.3116637967136276e-12,6.863243688908338e-23,10.0
100,5.0087632756945535,5.001303521072024,94.99862408531688,9.999941850019816,10.0,-5.074687998590538e-12,199.9999999999963,-1.4978553260682865e-13,0.9999965817734833,3.6198785115556716e-05,-9.415370102033443e-10,9.053850405458227e-15,1.714541503060895e-11,7.0,100.0,-4.8599480070403676e-20,-9.093441871571276e-19,0.0,9.717552347351191e-10,9.514705877183923e-23,10.0
200,5.01321697279356,5.007582072515139,94.98720940804398,9.99989013331299,10.0,3.2843384131585674e-12,200.00000000000617,-8.226613964083019e-14,0.9999963089665661,7.013528746186953e-05,2.0373440764917276e-09,-3.540375389763726e-14,-2.8613736896970348e-11,7.0,100.0,-4.343517047585663e-19,8.950882238256925e-19,0.0,1.3111732562922706e-09,-2.305639632379868e-22,10.0
300,5.013222558055248,5.010759749359769,94.98220908032009,9.999843098307506,10.0,8.089954467296498e-12,199.9999999999916,9.30795286375651e-14,0.9999914725332937,0.00012829722380883936,1.3952309933576477e-09,6.176231700308402e-14,7.7252907767738e-11,7.0,100.0,3.8724226253678096e-19,-7.838318758888941e-19,0.0,2.7083838584235058e-09,-3.8059406484178315e-23,10.0
400,5.02021538551592,5.011786936488495,94.98275035798925,9.999834434670914,10.0,1.0168003759826665e-11,199.99999999998997,1.9576498075834673e-13,0.9999916079941126,0.00014017714087405706,9.80736008638258e-10,-1.366806945173967e-13,-1.815945061674044e-11,7.0,100.0,3.0636475986037192e-19,-2.844805309236393e-19,0.0,3.704155365708837e-09,1.838559661434586e-22,10.0
500,5.023954686987702,5.015305284222801,94.97775964447564,9.999721660410938,10.0,1.0504360129128916e-11,200.00000000000125,-1.5181919569513181e-13,0.999986625930439,0.00017774339588607355,4.508346105421799e-09,-9.622928836941057e-14,1.1668701089117922e-14,7.0,100.0,6.998038944793976e-20,2.9531523999042265e-19,0.0,4.8756761762854816e-09,1.2338595350340175e-22,10.0
600,5.028439719263706,5.018943687744396,94.97317544402358,9.999683354894342,10.0,7.755363844251365e-12,199.99999999999662,1.7775971106471762e-13,0.9999844445728566,0.00023732259403352781,1.0341528237634058e-09,-1.8414470603309758e-13,-4.032270167237372e-11,7.0,100.0,6.259360353793551e-19,-3.6902225178753425e-19,0.0,6.441755357586101e-09,-2.2362644077801815e-22,10.0
700,5.039882989275425,5.020177869370558,94.96289476953802,9.999650676521831,10.0,1.1009509728623675e-11,199.99999999998445,-2.6329605418065106e-14,0.9999826030556123,0.00029006279609818846,5.70534546743424e-09,2.5232367558007164e-13,-3.203798117186999e-11,7.0,100.0,2.9873076206958096e-19,-6.301482609161769e-19,0.0,6.517142241093671e-09,5.699553815521255e-23,10.0
800,5.038822634645996,5.0234460220808055,94.95911963561555,9.999635272319075,10.0,7.521713698201597e-12,199.99999999999076,-1.2328032813081717e-13,0.9999826792257637,0.00030976382955101014,6.20420269622585e-09,2.9674456443591774e-13,4.131092379609148e-11,7.0,100.0,-7.958228473622092e-20,2.3351985546219464e-19,0.0,8.256313781120984e-09,3.648942123892037e-23,10.0
900,5.049932523652709,5.030008704764254,94.9552885751948,9.999581554714164,10.0,1.3702549660781445e-11,199.9999999999858,-9.079764021015582e-14,0.9999796787372571,0.000372949322769125,8.961954184959204e-09,1.9162135514694023e-13,6.710913023967714e-11,7.0,100.0,-3.6662809112864487e-19,6.4987679200684e-19,0.0,9.03367591370636e-09,5.897487608497961e-23,10.0
1000,5.051885168138407,5.031583507961583,94.95027246447373,9.999512580389897,10.0,2.3338786634200355e-11,199.999999999978,1.7686695943107793e-14,0.9999755631073827,0.00037695167747122787,1.0802984012919472e-08,8.985374879452564e-14,9.02301582381992e-11,7.0,100.0,-9.563510268573052e-20,-6.486408205267685e-19,0.0,1.0584201491281249e-08,1.649963164063476e-22,10.0
1100,5.05531127187168,5.032813571307186,94.94340890539944,9.999444095921818,10.0,3.1778060502034497e-11,199.99999999997328,1.716021174199898e-13,0.9999726252122726,0.00041545561455484144,1.1765490211761073e-08,2.5143204251856964e-13,9.288226754761727e-11,7.0,100.0,-7.674635481255828e-20,1.300185291231188e-20,0.0,1.1138088945140012e-08,2.2391329311282737e-22,10.0
1200,5.065766335928576,5.035937657830426,94.94431646793583,9.999422705894391,10.0,3.2697455762186794e-11,199.99999999996373,1.6353593262612355e-13,0.9999722848118671,0.0004713995116851377,9.135721032419124e-09,3.2012052651078344e-13,5.2843540644521423e-11,7.0,100.0,-2.2070950572239084e-19,-1.0937862088669017e-19,0.0,1.2387711157409453e-08,8.986165212150741e-23,10.0
1300,5.07054285115644,5.04227759677205,94.93549455368621,9.999357757839523,10.0,3.342989589056677e-11,199.9999999999606,4.264803926975239e-13,0.9999685838265819,0.0004955813238576217,1.048978631310841e-08,3.865122229084991e-13,1.1960272661421148e-10,7.0,100.0,5.67431065056747e-19,-2.0704619365170751e-19,0.0,1.3652717987626894e-08,-4.6913063875306624e-23,10.0
1400,5.071407537743449,5.044397278594506,94.92996407276958,9.999298307076845,10.0,4.399496892722488e-11,199.99999999996592,3.708116601463275e-13,0.9999658664329376,0.0005439361825340014,1.4767835555995423e-08,4.0602700479127035e-13,1.2467438557693473e-10,7.0,100.0,2.1258268886041336e-19,1.376485128074965e-18,0.0,1.4741172433943735e-08,2.396576106612185e-22,10.0
1500,5.081433051469274,5.046676522662101,94.9240419693693,9.999249117580485,10.0,4.3155478619375637e-11,199.99999999995507,2.563256314644492e-13,0.9999628317581202,0.0005779265739066703,1.9165746381215323e-08,3.8743305957460846e-13,2.0636174656719874e-10,7.0,100.0,6.760694393582447e-19,6.12987847319546e-20,0.0,1.5431312466569866e-08,1.2372420352304398e-22,10.0
1600,5.085900826135918,5.050827133782789,94.92487021952475,9.99922537335874,10.0,4.579258149009725e-11,199.99999999994685,5.953161760291631e-13,0.9999627621790569,0.0006462219980427632,2.233545139598792e-08,5.788927170205015e-13,2.4384772921354796e-10,7.0,100.0,6.383386898387393e-19,2.6268917775113487e-19,0.0,1.607537459509652e-08,-4.771068657191248e-23,10.0
1700,5.085688592885267,5.054305435933611,94.91738309591405,9.99914900936208,10.0,5.729625919350247e-11,199.99999999994546,6.871481166168287e-13,0.9999588723400833,0.0006875925318763162,2.3664210083753688e-08,8.281810251693057e-13,3.06474970109776e-10,7.0,100.0,4.23629584661145e-19,3.848651863059305e-19,0.0,1.6786072772765875e-08,1.1432129032281925e-22,10.0
1800,5.091022612129823,5.054424075376745,94.91327261994066,9.999106928866963,10.0,6.537655273487167e-11,199.9999999999347,7.838653468168258e-13,0.9999563205540507,0.0007324686852958042,2.8401915922558314e-08,1.1636168440810312e-12,3.3442829608207426e-10,7.0,100.0,-5.760913143144021e-20,1.528173141375757e-18,0.0,1.8370139540893578e-08,-1.5363982813628608e-22,10.0
1900,5.1017543094445665,5.057471435396822,94.9043448616443,9.999074484411425,10.0,7.415182072090751e-11,199.99999999992752,5.568105655435714e-13,0.9999566672327206,0.000755576211794881,2.9627985626244506e-08,1.172667322521013e-12,3.1570655153639945e-10,7.0,100.0,6.709015755535481e-19,1.674668895602361e-18,0.0,1.9426730024728514e-08,-6.457788209534282e-23,10.0
2000,5.104243363008207,5.059440372342813,94.90492786502304,9.99901337886834,10.0,8.155284851778333e-11,199.99999999992392,1.0024575000768736e-12,0.9999529942848535,0.0008004459479741386,3.093875560987376e-08,1.519734349065053e-12,4.986629695668967e-10,7.0,100.0,5.649005346458349e-19,1.884728085498352e-18,0.0,1.976534277759309e-08,-4.441555922746714e-23,10.0
2100,5.108370240002583,5.065836616138535,94.89590967757815,9.998978903195198,10.0,8.184251505985835e-11,199.9999999999141,8.410230223990018e-13,0.9999486085252098,0.0008339391022658746,3.604631035381034e-08,1.6256587366296427e-12,4.35157179368529e-10,7.0,100.0,1.1144420276626612e-18,1.9898650433702177e-18,0.0,2.067702363757881e-08,1.1108992991998062e-22,10.0
2200,5.113404023071547,5.066728045925511,94.89185171898036,9.998878335218333,10.0,9.85171082204206e-11,199.99999999990533,9.746907396703864e-13,0.9999466710477803,0.0008735020335603155,3.978108358224172e-08,1.902943814570464e-12,5.060221529692284e-10,7.0,100.0,6.8983433385765875e-19,2.2969742587923355e-18,0.0,2.2301507850215113e-08,3.896193179656488e-22,10.0
2300,5.119515598627259,5.070741891029033,94.89014192674239,9.99883613966211,10.0,1.12596641492896e-10,199.99999999989276,1.1575200020392893e-12,0.9999442675519129,0.0009452004032177823,4.412649911076461e-08,1.6714332079520284e-12,5.721571560392361e-10,7.0,100.0,1.0579405557168319e-18,3.020138340192327e-18,0.0,2.2878223785475268e-08,6.944356614476281e-23,10.0
2400,5.123878031702403,5.071597189031254,94.88050107450191,9.998838218638998,10.0,1.1178960471175076e-10,199.99999999988344,1.473157634821026e-12,0.9999418348688796,0.0009778836316424106,4.367478077973994e-08,2.0506510012912234e-12,6.441262932803688e-10,7.0,100.0,9.307909651375342e-19,4.022871453220926e-18,0.0,2.413198139926672e-08,3.1828821740256326e-22,10.0
