milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p21,p21_mRNA,p21step1,p21step2,p53_P,Mdm2_P,p21_basal,p38,p38_P,GADD45,IR,damDNA,ROS,basalROS
0,4.999115312185978,4.999167187495105,95.00321302965776,10.000010151489684,10.0,1.6399136752347809e-12,199.9999999999934,-1.911222869055155e-13,0.9999998304604459,-7.965093381948144e-06,-4.988325654072338e-11,1.794555492661655e-13,-7.130340455230112e-11,7.0,100.0,-5.762582290346025e-22,7.354123041893319e-19,0.0,-5.039366213321549e-10,9.038536074080457e-23,10.0
100,5.008475273290901,5.001327980291635,94.99265067839308,9.999948366843869,10.0,3.2531230897816787e-12,200.00000000000747,-7.936192549929198e-14,0.9999967655090398,5.0119561706204904e-05,2.9559067440546217e-09,1.7015165865854258e-13,-1.4711429234056055e-11,7.0,100.0,3.5498070621700965e-19,-7.156240559184882e-19,0.0,6.788562588132795e-10,-1.7871596310596316e-22,10.0
200,5.0068810395624865,5.004849591311889,94.99007213930405,9.999909830161412,10.0,7.286554506275434e-12,200.00000000000136,1.1326604550982708e-13,0.9999949704919814,5.613469412058701e-05,3.1652406018873816e-09,-8.356744823467842e-14,-7.596551329598496e-12,7.0,100.0,-3.5074252178727576e-19,3.7953795055082916e-19,0.0,1.6560562265261563e-09,-2.409502422371056e-22,10.0
300,5.0179759318901045,5.00976704915103,94.98871558928917,9.999819670653025,10.0,1.1770985864132526e-12,199.99999999999324,9.021944390155714e-14,0.9999942354103445,0.00013685833326935353,-5.88166964780162e-10,-1.5723891199999388e-13,6.171512758762953e-12,7.0,100.0,1.9568121955899671e-19,7.768596185676225e-20,0.0,2.610535665141567e-09,-8.080549147790796e-23,10.0
400,5.023143511045402,5.011687061368608,94.97877811115414,9.99979781323931,10.0,9.37765565250374e-12,199.9999999999935,1.129412085559611e-14,0.999991059405756,0.0001334166459508882,8.365519664726718e-10,2.300200478608028e-13,1.238677284374787e-12,7.0,100.0,-4.416984954958848e-20,-1.626109206467727e-19,0.0,3.502173591034218e-09,6.051673403000794e-23,10.0
500,5.028179268570906,5.016171106167762,94.97495511711283,9.999747002991574,10.0,3.955893057057134e-12,199.99999999999093,-2.4505912230942793e-14,0.9999873946341992,0.00017058810474355758,4.496267723335452e-09,5.331198744300325e-14,-8.986684822748693e-12,7.0,100.0,-2.481209870340898e-19,6.539986753809602e-19,0.0,5.194650664087153e-09,2.3498380119467483e-22,10.0
600,5.0335240196428215,5.020374771098178,94.9709830474245,9.999711293289149,10.0,2.1567052732281186e-12,199.99999999999477,-1.2413162467671816e-13,0.9999857674065988,0.00022555786099864237,5.180528083376468e-10,-2.070888511527158e-14,9.194570004053223e-11,7.0,100.0,6.361119989845765e-19,2.3253329604407756e-19,0.0,6.11579859177565e-09,-1.2216007271134964e-22,10.0
700,5.033938457656844,5.021692353818292,94.96825803208957,9.999661538441712,10.0,1.3074814321611622e-11,199.999999999987,5.3035335778600735e-14,0.9999823821225774,0.00028328147886677303,3.983118027622939e-09,5.194753826805244e-14,8.076846317485694e-11,7.0,100.0,3.3385106874637025e-19,-5.744160182429235e-19,0.0,7.510280189965603e-09,-5.695799531227395e-23,10.0
800,5.041810678155717,5.02283616845872,94.96162923124926,9.999606819009259,10.0,1.5316265264753056e-11,199.99999999999082,2.2128095765472655e-13,0.9999812000220274,0.0002962875926161459,4.597792703395685e-09,2.9615809260785356e-14,4.8664235897716157e-11,7.0,100.0,-4.415517048273848e-19,2.2243690832472903e-19,0.0,7.488912978429223e-09,7.40040272076811e-23,10.0
900,5.044939617145937,5.0294799804471335,94.95450147441872,9.999578913641706,10.0,8.68786002744773e-12,199.99999999998983,9.385739488585203e-14,0.9999801418727505,0.0003368981672625111,7.370808849313542e-09,2.6515855431526143e-13,2.4834267150042602e-11,7.0,100.0,1.9117082460623288e-19,-2.1634402314418966e-19,0.0,9.642151032984131e-09,-6.324936338051773e-23,10.0
