miliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p21,p21_mRNA,p21step1,p21step2,p53_P,Mdm2_P,p21_basal,p38,p38_P,GADD45,IR,damDNA,ROS,basalROS
0,4.998963816659546,5.00076719819778,94.99709008090923,10.000001889843594,10.0,7.255986935527522e-12,200.00000000000387,-1.2629662175240892e-13,1.0000005789039825,-2.039833262666354e-05,4.146213780769318e-10,1.62703477103794e-13,2.396100395533724e-11,7.0,100.0,2.626201779053968e-19,3.0906922031262446e-19,0.0,7.094644458406375e-10,2.123383428168107e-22,10.0
100,5.0083234891637005,5.0018587465328705,94.99677561257866,9.999985525431201,10.0,1.2968526170582277e-13,199.99999999999804,-8.546712244940382e-14,0.999998004685723,1.6397816662928057e-05,-2.0445767651091237e-09,-1.4639168487949125e-13,6.372883150014216e-11,7.0,100.0,2.134027344949454e-19,9.245866031011239e-19,0.0,1.5713652118509859e-09,1.7819373471456062e-22,10.0
200,5.011292987795699,5.0082823674859895,94.99302979862546,9.999883582250655,10.0,-2.7831954324231417e-12,200.00000000000608,7.821904666203785e-14,0.9999954215516177,5.659473781825927e-05,1.4057836379897602e-09,-1.9377486625166416e-13,-4.183913204096594e-11,7.0,100.0,-5.884724393496232e-19,-1.5857977233549594e-19,0.0,1.8975241871224737e-09,4.369357741824125e-23,10.0
300,5.014906959726699,5.009472138930735,94.98292118361887,9.99983607849174,10.0,3.0684170398552723e-12,199.99999999999162,-8.081013345158635e-14,0.999993239980904,0.00013400692771774599,-1.3396796793227338e-09,-1.225025023517776e-13,-9.79785137296921e-12,7.0,100.0,-6.706764016720014e-19,4.106842609148619e-19,0.0,3.2694736970386895e-09,7.431095204047225e-23,10.0
400,5.021314916988171,5.013124839844781,94.97878042902515,9.999831481818362,10.0,-3.735614090339719e-12,199.9999999999991,2.0230598426188445e-14,0.9999905653289011,0.00013147880342919148,3.3473639323095836e-09,-1.6510581420795194e-13,3.770821610421895e-11,7.0,100.0,5.711974429250613e-19,3.8766725934442183e-19,0.0,4.0613622144647275e-09,2.3925264547598284e-22,10.0
500,5.029203121079298,5.017150163451299,94.97782245387077,9.999724448724997,10.0,7.603584826831096e-12,199.99999999999858,2.3122388770716302e-14,0.9999894678903994,0.00017563936874100594,-6.341444847362854e-10,1.523917969966956e-13,3.722275735277428e-11,7.0,100.0,-6.664812454170697e-20,-1.736603256048758e-19,0.0,5.213317204802054e-09,-2.4992119059947985e-22,10.0
600,5.032562501629711,5.0167851560724745,94.9702100798368,9.999713073718416,10.0,1.301992016468063e-11,199.99999999999775,3.836909644086011e-14,0.9999863160661344,0.00024363427827679774,2.0233529731453293e-09,-7.228607193012733e-15,8.194333686663633e-11,7.0,100.0,2.1964424109038946e-19,3.210438665874812e-19,0.0,6.4746767339291624e-09,1.2362069043278346e-22,10.0
700,5.039097380752182,5.023946098520412,94.96564313110495,9.999621957746747,10.0,4.181646238192864e-12,199.99999999998417,1.1232915936461786e-13,0.9999833906964305,0.0002863094208506456,4.670685247764307e-09,1.1618568301323343e-14,-2.505849371274451e-11,7.0,100.0,-6.047282089988011e-19,-7.968913404307416e-19,0.0,6.498767143017134e-09,2.518608236966066e-22,10.0
800,5.040328024068833,5.026592311442612,94.95844053068531,9.999576460714433,10.0,8.971795459483172e-12,199.99999999998687,1.2019538505392893e-13,0.999979323631613,0.00029946712416364,4.907680119939832e-09,1.9449280800720957e-13,-3.8716134463785585e-11,7.0,100.0,4.319205320895659e-19,9.746946999548034e-19,0.0,8.44171957824104e-09,1.8055358322473407e-22,10.0
900,5.045424250911295,5.029119092815665,94.95644554165632,9.999569350880481,10.0,2.0038159925267347e-11,199.99999999999017,-4.102518612124421e-14,0.9999803321562707,0.0003429377160501129,8.273672931689763e-09,1.787383134217848e-14,6.01224175267779e-11,7.0,100.0,-1.8248144195691543e-19,-4.194646658424864e-19,0.0,9.351753758568023e-09,5.580325062149835e-23,10.0
