milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,-4.933330085272959e-08,-6.54897429908705e-11,-4.531249531586706e-09,-9.379540392383605e-10,3.206706470071495e-10,1.3798243006655166e-11,2.8638511484048105e-13,-9.489776588477382e-09
100,6.961928890644514e-08,2.8610177075776646e-10,-1.3528458336789241e-08,-2.072226453124669e-09,-1.8447115122545196e-10,-5.873378009834649e-11,-8.623142349986728e-13,1.128487360748232e-08
200,1.0227243577793586e-07,3.4661768323008357e-10,1.5815963105855141e-09,-1.988891334372898e-09,-3.734580556997375e-10,4.0162971875992866e-11,8.749957817876273e-12,9.065419608007099e-09
300,1.9231304027717535e-07,1.3156567084848738e-10,-1.2031824358603788e-08,-2.503176350623261e-09,4.515486364395641e-10,-4.915436153345783e-11,-8.144044473733935e-12,1.688003328371417e-08
400,2.8782640961650954e-07,3.355919814422195e-10,-1.155261932342018e-08,1.5941670908164992e-10,2.9402639355536885e-10,2.940469808310307e-11,6.006512048006552e-12,3.9341993710197564e-08
500,3.4413945170030437e-07,-1.2058835221901096e-10,1.6345395035079418e-08,-2.247728508273133e-09,5.091402773307105e-10,3.199489572167749e-11,3.6772186905023486e-12,2.9033443432054898e-08
600,4.967827181198332e-07,3.069935118310351e-10,2.772036864574256e-08,-1.0755601696426626e-09,6.468594097340094e-10,2.4233977164671115e-11,-5.3867124624308145e-12,5.077735075647281e-08
700,4.1608385695157197e-07,6.297859482668237e-11,2.3588706756882873e-08,3.642493549197257e-11,4.3796352458047167e-10,-3.5738159018746634e-11,1.8093629845493054e-12,5.561221378660804e-08
800,6.029394265562965e-07,3.7365749771571785e-10,2.2722258360023045e-08,1.435994118844257e-09,7.120094213464058e-10,-2.4282360348711e-11,9.536193374171932e-12,5.6374154184948183e-08
900,5.461884667580529e-07,2.569618034524525e-10,2.693514726395115e-08,2.9293018177425e-09,1.629105495498743e-10,-2.3874241573895094e-11,-2.9238970552749146e-12,6.321323223988328e-08
