milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,-6.059885860674155e-08,-2.4999278439580493e-10,-9.241375138860355e-09,6.103544180259915e-10,4.5235368561823647e-10,1.4685525520639318e-11,-5.005946763581541e-12,2.078792582883557e-09
100,2.2163430773437434e-08,-2.189395324946035e-10,-2.93913030402199e-10,8.954237523282135e-10,-8.541739864447559e-11,8.36655140226057e-11,8.65388866196183e-12,3.3259891296676683e-09
200,2.1595716537331727e-07,-1.0077609579461027e-10,-1.2089306996922197e-08,1.2468122088106916e-09,2.3366128479744635e-11,3.600443378072831e-11,3.729681912174962e-12,2.523997200191403e-08
300,2.0467834038382924e-07,4.044646814501376e-11,2.1287655462502026e-08,-1.635078833819287e-09,-3.9303334403419513e-10,-9.114666253523727e-12,4.3925937000931395e-12,3.195097606779967e-08
400,2.5454373340970427e-07,-1.3546090075853302e-10,2.3653537074442995e-08,1.9812198387932233e-09,3.0649508757107747e-10,-7.726170131858943e-11,6.024010198971941e-12,2.809346508624828e-08
500,3.5048831465498827e-07,5.189968739652596e-10,1.278628234289336e-08,-1.4052062491659123e-10,4.5345520983345087e-10,-3.4393610935820115e-13,5.961683446553105e-12,2.7780441355694188e-08
600,4.5652129674172e-07,-1.6079626787927107e-10,2.8712081498389516e-08,2.2954583488446567e-09,3.784949191972046e-10,-9.081041826932427e-11,1.938993573874503e-12,4.485811451504806e-08
700,5.269310342999866e-07,1.3254007387592233e-10,5.808647359790303e-09,-3.8451654532795353e-10,4.736208300036814e-10,6.218540594256443e-11,2.781637383796511e-12,4.817516634029811e-08
800,4.997080879059115e-07,1.6996378996264946e-10,1.4745896412480199e-08,3.092468971029769e-09,5.080547210599776e-10,2.9030534097912416e-11,4.6113452621469294e-12,5.119659840719599e-08
900,7.129065684350508e-07,4.1408331156770893e-10,2.1199347781590856e-08,3.5575412830904824e-09,1.027880345019662e-09,-2.401838601105648e-11,8.354653651848637e-13,6.781821690927443e-08
1000,6.709685619687216e-07,9.297865871997639e-10,5.51012153536938e-08,-1.0835570384123897e-09,8.753093896198433e-10,-9.232962411835543e-12,-1.2123938955036563e-12,6.706526453274083e-08
1100,6.846251040820289e-07,1.0146997409750411e-09,5.079426165573482e-08,3.3735368267972543e-09,2.9991289894181115e-10,-1.521171810230229e-11,-2.7225146120717952e-12,8.056711504215122e-08
1200,8.330380789473481e-07,8.834497662152048e-10,4.143754741244073e-08,2.9631465490212867e-09,1.0207531203372739e-09,2.269239990098122e-11,2.9462747689259506e-12,9.080318480700008e-08
1300,8.751681461334801e-07,1.0994377638537307e-09,6.23894595851708e-08,-1.96988629025956e-10,7.059465845849454e-10,8.075260080544023e-11,1.5159147844698548e-11,8.738719200281004e-08
1400,1.0102028515525704e-06,1.4600744834190402e-09,8.434869153758968e-08,5.2312632582220076e-09,9.48672335487765e-10,-4.3509929033069386e-11,1.3813860719978696e-11,1.0868247035943274e-07
1500,1.0385713732672079e-06,8.986672351685377e-10,8.452988448144289e-08,1.2155002898376518e-09,1.105362953370157e-09,1.1950111728890368e-10,2.7080007772194344e-12,1.0256103809022312e-07
1600,9.99070089323101e-07,1.2197390207408053e-09,7.593163237621337e-08,4.045827657366183e-09,1.5439651768352442e-09,6.236441042437825e-11,1.963359129430883e-11,1.205783494412585e-07
1700,1.2114839900874512e-06,1.3129377552151987e-09,1.2033942375916006e-07,2.086390943486261e-09,2.1316764678768793e-09,3.0864621347663335e-11,1.843750243755852e-11,1.3696298889096295e-07
1800,1.2572058415705058e-06,1.882448748805678e-09,1.1915077470451594e-07,4.454730478682002e-09,2.4447506066595517e-09,9.317919359462057e-11,1.1270188655473941e-11,1.3966968211469233e-07
1900,1.2032927372646307e-06,1.9679769446996602e-09,1.0891206042135643e-07,6.2502882677130155e-09,2.1779688472816613e-09,5.312880534577593e-11,1.8701677600845575e-11,1.4722691822379383e-07
2000,1.3683100262252881e-06,2.252962963832686e-09,1.2439432057277283e-07,8.304342201671101e-09,3.2016378657896668e-09,1.1084079742361573e-10,2.5698274518552994e-11,1.4456309603671673e-07
2100,1.3600450571533155e-06,2.822305562775062e-09,1.5810043837316197e-07,9.246758865214426e-09,3.4259063977805622e-09,9.285623848202401e-11,2.5150498647006763e-11,1.5166415829665721e-07
2200,1.4795740774863766e-06,2.5266195058760317e-09,1.4779014094267806e-07,8.043116092581355e-09,2.8604438321814357e-09,1.4696265611952466e-10,2.8341123081931843e-11,1.6165265644025495e-07
2300,1.5464443272379456e-06,2.6214453171942403e-09,1.9478463427545488e-07,1.1528686347319151e-08,3.471399496322921e-09,1.1959934202358488e-10,3.8121269090683587e-11,1.7201725767588817e-07
