milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,-6.863625142163142e-08,-1.7324311063136454e-10,-9.098383903233801e-10,-1.4692857728066817e-09,4.830426342282628e-10,4.1606563219065995e-11,-4.1521549737150015e-12,5.833707124813667e-09
100,6.602771331334395e-08,2.9605647968749643e-10,1.8469259181564855e-08,-6.525797514523373e-10,-1.2156990483557983e-10,-7.238860595578643e-11,1.365338411840204e-12,3.2757038625890493e-09
200,6.273306159824936e-08,-2.672678818962711e-10,1.715182233095967e-08,1.384441608481906e-09,8.502697807591346e-11,5.354010128759137e-11,-3.640749059549576e-12,8.734929532977674e-09
300,2.6437015823407376e-07,-2.263384362043463e-13,7.0247368110283744e-09,1.81625430181039e-09,5.51289267527879e-10,4.43756024622634e-12,-8.128344556249099e-12,1.7745504406571903e-08
400,2.1829543757114628e-07,3.3379550452485066e-11,1.3881065033861645e-09,2.0645402484839334e-10,-1.4129998101191766e-10,-2.73313235857468e-11,9.010536359025701e-12,2.436865692069683e-08
500,3.3740607455244823e-07,-1.200134122071865e-10,-1.1179391837978125e-09,-7.223818956506477e-10,-1.2636801202919479e-11,-6.214677018140122e-12,-3.4196561590838315e-12,4.2970850706647116e-08
600,4.964069423915443e-07,3.6593567362083473e-10,-2.7850738586945874e-09,2.7051006423654405e-09,-2.780325728089276e-10,4.107931118925302e-11,-4.263347383514134e-13,5.2895692436624805e-08
700,5.744931287102668e-07,5.125004950256888e-10,2.3830222901888234e-08,-6.508265907700967e-10,1.6103085294751997e-10,5.533634396951019e-11,-2.956771499564999e-12,5.3328442823481356e-08
800,6.330964061445665e-07,5.975012532050865e-10,1.3406176322804123e-08,-4.5099357581410445e-10,6.430426032094104e-10,4.4217985575773816e-11,6.440558886135056e-12,5.073883043023198e-08
900,6.125051731344855e-07,3.305342072142562e-10,1.525484794080768e-08,2.1988253499447556e-09,3.0795719701682614e-10,-1.9534610878063325e-12,1.5293539464160126e-13,6.442490348799669e-08
1000,7.458271357375151e-07,6.642457266695723e-10,5.247031442836254e-08,2.292374891204239e-09,5.010155612788542e-10,5.46774675128655e-11,8.498473783577425e-12,7.28293156329856e-08
1100,7.213873846214069e-07,6.202153041235342e-10,3.450650981190193e-08,4.114567135049739e-09,3.716519841660423e-10,1.94121667535816e-11,3.2019121567263517e-12,9.250480995826624e-08
1200,9.04265273433816e-07,4.435304751419594e-10,5.372827922199797e-08,1.5104286019671373e-11,9.191133956185397e-10,-4.041536808539284e-12,-1.6163931718368035e-12,9.19890919562497e-08
1300,8.933851833157808e-07,9.063454295095601e-10,6.732470966684033e-08,-6.077411008768534e-10,1.4726096490248463e-09,2.7952984419220364e-12,6.36174918910677e-12,1.0286498878336692e-07
1400,9.207577665352747e-07,1.0450843322642133e-09,9.049163891594479e-08,4.639961292117088e-09,1.3140642370190274e-09,-4.4823124918440716e-11,2.4329007877002402e-12,1.0436732672328664e-07
1500,1.0398314387668374e-06,1.1200876534129194e-09,9.25845273413384e-08,2.4692094097797467e-09,1.7031706657759914e-09,-5.114324895376989e-11,6.400657873021957e-12,1.0721998576842932e-07
1600,1.1364119968091322e-06,1.229824973358079e-09,1.0767530565288957e-07,5.7986096941749586e-09,1.2716710503260392e-09,1.2425890355748968e-10,1.8480096999484103e-11,1.1906920476290328e-07
1700,1.1467320835130612e-06,1.3409695697093483e-09,1.181674387682207e-07,6.8346720956976394e-09,2.2492227491490903e-09,9.732032171602106e-11,1.3832075202200085e-11,1.3610780205236412e-07
1800,1.219033379440453e-06,2.0142381432883943e-09,9.27274792926534e-08,5.396808200609404e-09,2.631496558192315e-09,1.8371654354323082e-11,9.572534809752928e-12,1.300038460695115e-07
1900,1.326252588099937e-06,1.6536531722802849e-09,1.2428091310430422e-07,5.342204051481277e-09,2.0244005632388312e-09,1.6976628134172945e-10,1.3851034923842238e-11,1.5187720356247366e-07
2000,1.409455819788342e-06,2.497647507641135e-09,1.2182301590131936e-07,7.501986656710597e-09,3.215520074550579e-09,4.875624425526016e-11,1.428167649006134e-11,1.5058010688811627e-07
2100,1.3928416175419043e-06,2.2754153917073776e-09,1.4538493997037452e-07,7.546047744627121e-09,3.0144556841249422e-09,4.678200164953744e-11,2.2687382169346715e-11,1.4653250205612046e-07
2200,1.452620920424425e-06,2.4646891651330685e-09,1.841864683917634e-07,8.136850000840651e-09,3.531774344672547e-09,1.5534383738301473e-10,3.693728988093074e-11,1.6769949195965758e-07
2300,1.4669922445019576e-06,2.922180807901557e-09,1.7819509587673256e-07,8.395829011385486e-09,4.12352299815963e-09,2.1836240684944554e-10,3.642911217061196e-11,1.7893752779954904e-07
2400,1.4788736278257507e-06,3.4968237293996003e-09,1.876375758280181e-07,1.351546612392635e-08,3.5886610069335485e-09,2.673715392727745e-10,4.307997571288083e-11,1.8073591768197423e-07
2500,1.6144168776654594e-06,3.2074312720303223e-09,1.9497199657429135e-07,1.6389769732468438e-08,3.7925963089941995e-09,1.650372987168109e-10,3.439236989005588e-11,1.8831089187688448e-07
2600,1.7430142012041208e-06,3.3122950888897202e-09,2.386153359705329e-07,1.4495472130615488e-08,5.046985346783547e-09,2.2449121283854604e-10,4.4461477189348654e-11,1.976204699957593e-07
2700,1.6964974087713778e-06,3.6197759270673816e-09,2.44424251906067e-07,1.8488938594136687e-08,5.298086547303257e-09,4.07685026991341e-10,5.1468472435913896e-11,2.032055612112931e-07
2800,1.700125667154986e-06,4.029389349236488e-09,2.6636676004004054e-07,1.8383861508410053e-08,5.693013487345929e-09,4.0502387452305537e-10,5.049210679606772e-11,2.1090099336624992e-07
2900,1.9203319353763354e-06,4.30394807051391e-09,2.6432611403383825e-07,1.9879655152826478e-08,6.298070169746716e-09,4.149908502997756e-10,5.55947069179171e-11,2.255574714197944e-07
3000,1.8119738381383433e-06,4.5242699807132125e-09,3.069301545823226e-07,2.5794681229000557e-08,5.888580941156747e-09,4.1757162492465774e-10,7.839778566706734e-11,2.303762886350839e-07
3100,1.8798089136694718e-06,4.805102135065606e-09,3.2114928507448124e-07,2.3083695767219043e-08,6.543364768063863e-09,4.954173219351205e-10,8.070280941079131e-11,2.2509535784586438e-07
3200,1.9941711246189445e-06,5.1105508322404084e-09,3.2993884021639095e-07,2.7165070175364548e-08,7.598317598863098e-09,5.214132674338779e-10,7.559635784393442e-11,2.2832237776982347e-07
3300,2.019442019263068e-06,6.025057012455573e-09,3.432325303719846e-07,3.294854231671249e-08,7.2776121947671615e-09,6.692133750824053e-10,9.170272075148744e-11,2.493342210649289e-07
3400,2.1906346299765125e-06,6.009937750670346e-09,3.457002578150014e-07,3.190472376085623e-08,8.18372711162926e-09,7.909508001168382e-10,9.82893151445054e-11,2.580982915724267e-07
3500,2.1683592993783596e-06,6.594324065787914e-09,3.636099164847668e-07,3.4069075350459465e-08,8.266255158524343e-09,8.011962066592669e-10,1.0694609375452519e-10,2.5493639970686085e-07
3600,2.2435913721946097e-06,6.8016211261233815e-09,4.121532896190142e-07,3.701879326258589e-08,9.45772473438299e-09,9.168222453220601e-10,1.1930446770440185e-10,2.6133172015109825e-07
3700,2.1795243009991246e-06,6.85245804949854e-09,3.9856151685129806e-07,4.112994639089687e-08,9.9181150464502e-09,1.1467971586525585e-09,1.302034615951134e-10,2.807335266885882e-07
3800,2.2375393908629857e-06,7.464057585616778e-09,4.163848186365146e-07,4.3397525732566496e-08,1.0011627539024754e-08,1.1403513300760336e-09,1.4089066475018123e-10,2.894837811356899e-07
3900,2.409645721950136e-06,7.916985590544878e-09,4.509685834471304e-07,5.007401415653919e-08,1.0320295177941484e-08,1.2452742601185967e-09,1.495327488992067e-10,2.847353277589005e-07
4000,2.4272599588457843e-06,8.612621202731174e-09,4.6865995235259954e-07,5.450320582504848e-08,1.0774766313322853e-08,1.4645006431685216e-09,1.5423905856271762e-10,2.8983933487214655e-07
