milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,5.223138634141394e-08,1.9515831139940544e-10,1.1150729418872231e-08,-1.007685183531316e-09,3.350501530863796e-11,-6.64936318258501e-11,-7.627467058110686e-12,-1.0108054728036243e-09
100,1.1541954845932021e-07,-5.038142557978068e-11,1.582345799957721e-08,-1.9177103288577343e-09,-3.880767203681166e-10,9.189216101632923e-12,6.3962159206396184e-12,1.0244159808146776e-08
200,1.7966726609623192e-07,-1.267525597492514e-10,1.374685846520101e-08,-1.0413043904420166e-10,-3.1801676455564e-11,2.471324857959828e-11,-2.9391654102476007e-13,1.7621001747674464e-08
300,2.920352345956107e-07,3.4174016049736963e-10,1.8356589593891587e-08,5.43104655466176e-10,-6.315798856387989e-11,5.1757807726524324e-11,6.834956692992513e-12,1.5525366371876676e-08
400,2.2351582105858396e-07,-1.0350815656559173e-10,1.011877270710464e-08,-2.040459117219863e-09,-7.367900599068745e-11,7.301708818422281e-11,4.602986780039249e-12,3.9847953316139155e-08
500,2.8407481729693045e-07,5.045592217350183e-11,8.458899300030438e-09,-1.5013134397506552e-09,5.011042145238499e-10,-8.406995367300684e-11,3.498348413660662e-12,3.0490195067852676e-08
600,4.6645681229138403e-07,-1.3126792606761494e-10,7.098343647513084e-09,-2.976059982617797e-10,1.2341580862478193e-10,5.007783791137245e-13,7.667152180420483e-12,3.527735305673126e-08
700,4.1824471992374897e-07,4.4336640767165286e-10,1.3587423184984922e-08,7.437991100654744e-10,-8.632084411363969e-11,4.634075689643662e-11,-5.395789835796228e-13,5.383506016192128e-08
800,5.51366905594222e-07,-1.1288111161276822e-11,3.898064029619066e-08,3.3241380831102816e-09,2.487341861132944e-10,9.135750871562947e-11,3.830339277987939e-12,6.132386960819932e-08
900,6.71490229374053e-07,1.285910298726894e-10,4.3109703205577565e-08,1.7976248753022656e-09,2.6448145007167086e-10,4.4576461550438326e-11,-1.4702983648435163e-12,7.758641810391993e-08
1000,6.400668683176731e-07,2.2116310512737466e-10,2.6252710948857634e-08,3.0466208647272322e-09,1.6135837994225108e-10,1.8656030879326963e-11,5.950597023130622e-12,7.868304671409532e-08
1100,7.708496742505812e-07,9.262986992005415e-10,6.499516592075638e-08,-1.2924900061632325e-09,1.0486061951503925e-09,-1.2324510246373821e-11,-2.977953379128537e-12,7.234507473753104e-08
1200,9.096296528634044e-07,1.039745568320438e-09,5.042045428025765e-08,6.510284685889157e-10,5.148506351547108e-10,-6.545426689513944e-11,1.0841069740522685e-11,8.108416898214252e-08
1300,8.393135482217837e-07,7.06118560540429e-10,7.29762399250391e-08,2.5710590677569896e-09,1.380323065938865e-09,5.725601083210191e-11,8.071422371321078e-12,9.77745929553866e-08
1400,8.993049773311096e-07,1.2592229394697423e-09,5.661935899745541e-08,5.102750920277058e-09,1.4681841704156288e-09,1.0303447235012506e-10,3.32248502591398e-13,1.0308881128138046e-07
1500,1.0182893955764563e-06,1.2730961047861188e-09,6.248183644506006e-08,5.6390285051472795e-09,1.2290112889991475e-09,-3.399247304636462e-11,1.0741509042021097e-11,1.1112458592902756e-07
1600,1.0541389498558918e-06,1.6629183482471085e-09,1.0714139394367197e-07,5.789279616654475e-09,1.8309844581727068e-09,8.875014260965087e-11,5.82774031202581e-12,1.26303162516996e-07
1700,1.166162508010178e-06,1.8024088054336423e-09,8.830779401611433e-08,4.711468240332596e-09,2.108599787599989e-09,-9.481505867290367e-12,2.0345465650890774e-11,1.1984705885206832e-07
1800,1.2584120665548557e-06,1.9998336071820685e-09,9.944288671026293e-08,7.681538472023947e-09,2.02921895810371e-09,1.2292664513049346e-10,1.2500141307471286e-11,1.3457874481077954e-07
1900,1.180859775522931e-06,2.100054479296833e-09,1.067282653814974e-07,5.158912667931566e-09,2.145423409705927e-09,8.145409109958505e-11,1.537008252232843e-11,1.4929938451329133e-07
2000,1.4096367196221653e-06,2.128513102842072e-09,1.3697568498262716e-07,5.660175864685044e-09,2.8811567205079702e-09,5.3548568302195734e-11,1.4507312001013727e-11,1.5987705985617661e-07
2100,1.317536999529302e-06,2.121863181985296e-09,1.4395358904959964e-07,6.396624179477263e-09,3.124988150585946e-09,1.0260096075907254e-10,3.4047789461282204e-11,1.52440788443068e-07
2200,1.3731122333502638e-06,2.684547551322156e-09,1.5654768873240738e-07,1.2280386438440587e-08,3.1042335328767654e-09,1.9354673690490224e-10,2.9157981105367304e-11,1.5813861691490532e-07
2300,1.4482752660210325e-06,2.886210692395906e-09,1.6730956929462014e-07,1.2507731471157642e-08,3.1396129266519345e-09,1.044664859238075e-10,2.9423363769967214e-11,1.6906008890740634e-07
2400,1.51080725859332e-06,3.1016173583242385e-09,1.958493222531828e-07,1.531593028907584e-08,3.8583576721125805e-09,1.47360693276129e-10,3.881639696475626e-11,1.7367668933885573e-07
2500,1.6111705629076723e-06,3.0898032309192247e-09,2.1318008702223168e-07,1.3818694978229931e-08,4.4498826564260055e-09,1.89511363670992e-10,4.7909078411631184e-11,1.783624328542748e-07
2600,1.6965487258791675e-06,3.951565811174327e-09,2.2400128851017203e-07,1.6325838485985003e-08,5.016584191965727e-09,2.2651400896591143e-10,4.275249522905595e-11,1.883907489723313e-07
2700,1.7198673549209323e-06,3.794554706133023e-09,2.403705276868806e-07,1.9664819460547387e-08,4.573105945172478e-09,3.6390546935603133e-10,4.614426560512781e-11,2.1101211719013696e-07
2800,1.8116085889851586e-06,4.316953979453221e-09,2.4012711659325006e-07,2.0032797786557034e-08,4.914954262586599e-09,3.137914065603094e-10,5.4609061568920046e-11,2.1691358740805933e-07
2900,1.8241554578620815e-06,4.655675199243783e-09,2.8575346643196155e-07,2.3194308707390746e-08,5.320292603234273e-09,4.365971379664029e-10,5.77055744246156e-11,2.1256356980249531e-07
3000,1.8509746185883783e-06,4.440830876057631e-09,2.9670798679012606e-07,2.5992729235972963e-08,5.788578283686255e-09,4.5149375765539694e-10,7.051805290849261e-11,2.2483187102343623e-07
3100,2.020397395431458e-06,5.4122161957458095e-09,3.1073570564065493e-07,2.3366644949029117e-08,6.345945521751978e-09,6.179072635549056e-10,7.76939818776457e-11,2.297051901886825e-07
3200,2.013069006431155e-06,5.309180782706572e-09,3.2128669408495e-07,2.6536974648719737e-08,7.245627019332859e-09,5.834413462424863e-10,8.483467817871432e-11,2.3363703541816827e-07
3300,1.9983169071785817e-06,5.605282730833569e-09,3.455093491720989e-07,3.006730586005769e-08,7.431059699681438e-09,6.397978611297628e-10,9.797391837294721e-11,2.4199099205440975e-07
3400,2.076623823142549e-06,5.756171976940475e-09,3.6078056583871484e-07,3.457504754729731e-08,7.574059648060785e-09,7.763813986569143e-10,1.0679826903931527e-10,2.411868171366255e-07
3500,2.166475376783781e-06,6.307686736327899e-09,3.694668518319627e-07,3.732630757691173e-08,8.768611043991433e-09,9.359902123524685e-10,1.1243783261403428e-10,2.6621022297921573e-07
3600,2.26543659783672e-06,6.984229829676477e-09,3.8273867071836943e-07,4.084237483891585e-08,9.169556435532372e-09,8.704211557272645e-10,1.1094320715932295e-10,2.553935372269065e-07
3700,2.266200723573698e-06,7.092555668759544e-09,3.987789394832751e-07,4.281490548663226e-08,9.841850618621454e-09,1.1140182947272759e-09,1.2918716432312075e-10,2.696837886425268e-07
3800,2.2500885653037763e-06,7.2814537355612835e-09,4.1718224006328787e-07,4.769944154918676e-08,1.0010342152146835e-08,1.1675963848510966e-09,1.332258768413779e-10,2.713779926234696e-07
3900,2.3468939935499536e-06,7.931763434837555e-09,4.696686064232635e-07,5.01749888868074e-08,1.0439474934563718e-08,1.3228515044396546e-09,1.4681377409567463e-10,2.971827759550876e-07
4000,2.3284914832985837e-06,8.302504321777001e-09,4.7516017325724043e-07,4.951890196075432e-08,1.05946376170449e-08,1.470020388971765e-09,1.5730384703477596e-10,3.0349755408569126e-07
4100,2.5113923009370033e-06,8.386084104834171e-09,5.032969478519034e-07,5.385864418420538e-08,1.1867781330736905e-08,1.567627155573395e-09,1.7043569770934036e-10,3.082934409812561e-07
