milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,-7.93717264330683e-08,2.8663323226915245e-10,-1.5484505832818206e-08,-1.2056574952656526e-09,2.6946472645011144e-10,5.1145092285307934e-11,-4.577524787826004e-12,9.013880968995956e-09
100,-8.041426879833513e-09,2.1299253319676415e-10,-1.0179536951220185e-08,1.3586475456307924e-09,3.9599840726871794e-10,-7.925536862212153e-11,2.5062193156894697e-12,7.565620229536599e-09
200,1.9641431993469005e-07,2.826474324514398e-10,2.0085034454576408e-10,-1.2467302058083075e-09,2.3916327075647194e-10,-6.994759292232041e-11,4.047896539869929e-12,1.736244250340361e-08
300,2.282409182004779e-07,-2.1569854658703012e-10,-8.03116275350559e-09,-9.352999886145286e-11,1.1599870942973436e-10,-8.431830240592131e-11,1.737888976972093e-12,1.3951114017160605e-08
400,2.2836488355261686e-07,-1.8006522979871418e-10,7.245341381878233e-09,-2.5527603181700866e-09,3.315769483143896e-10,5.393470804592256e-11,3.9416766272858376e-12,4.0562539998687936e-08
500,3.578007647023329e-07,5.093514649079413e-10,1.0133214300821656e-08,7.951170348110425e-10,-1.591269484031127e-11,4.311716961051866e-11,-6.907203446084495e-13,4.8510284829835876e-08
600,3.948470734324786e-07,4.6402030358587315e-10,6.544053993705141e-09,1.848019840185019e-09,2.754626387349941e-11,-7.186614954283211e-12,4.474295443125538e-12,4.000222372202026e-08
700,4.927603706522919e-07,2.508081515860045e-10,3.6740223431618885e-08,-1.8840169485363902e-10,2.4042728025891503e-12,4.130612101901562e-11,-3.072980333122625e-12,4.7775794877552045e-08
800,4.790203753314101e-07,6.248750321425376e-10,2.661767311062639e-08,-1.137392249612313e-09,6.395850401632561e-10,9.229455803467413e-11,-2.524679744574303e-12,6.955831589831182e-08
900,6.510771515708197e-07,4.583914972108445e-10,4.75542341226085e-08,-1.1205013052314302e-09,3.296994966873428e-10,-2.1645116445436757e-12,7.632782066577891e-13,7.614512691144936e-08
1000,7.116602907811718e-07,4.788439356390836e-10,5.2552623612579524e-08,2.62184883671303e-09,9.138075859470769e-10,7.027456594779201e-11,-4.2549980998076705e-12,7.224603186593384e-08
1100,8.1037650327874e-07,3.5342862737128385e-10,2.359199921809699e-08,2.0283418971230743e-09,1.2567859078150363e-09,4.178083796628823e-11,-2.5773075389008985e-12,7.469447456562117e-08
1200,7.953862361061023e-07,9.77633526940434e-10,5.555188169709644e-08,-8.138579244677342e-10,5.021441421950084e-10,5.869604432624119e-12,7.086755252650976e-12,9.888220348895099e-08
1300,8.649139555392444e-07,6.577197992454311e-10,4.3362273429985713e-08,1.066029146532163e-09,1.4873716553127215e-09,4.001682377156378e-11,-3.860763186441871e-13,9.515296251747734e-08
1400,9.096575101861335e-07,1.4897481351615846e-09,7.669211988341188e-08,4.2540094825736133e-10,1.3447739781356871e-09,6.688350228819597e-11,8.522118362726429e-12,1.1621515712006156e-07
