milliseconds,sucr,EtrioseP,Ephe,N,starch,Enitrate,trioseP,ECO2,Estarch,ETP,M1,M2
0,0.18491130492013844,6.078362169670057,36.91679285387794,5.00000000018531,0.7972425262828591,18.74999999995421,0.029220466225610656,2.745330999297879,56.621998946869745,3.378878342073589e-05,-0.01774281807184755,3.3045285728464493
100,1.4127272139636153,6.071387017832364,39.582284127805956,4.99999999995655,-0.13289559538224183,18.749999999831868,0.5447467763572171,2.6581059480081266,55.719119364471624,2.7900235138253836e-05,0.13091336417585,3.336801419319083
200,3.032711937155575,5.986700307227238,40.62337988479005,5.000000000543848,1.1479042215554256,18.75000000586582,0.5809411331115636,2.618425482437142,55.27999174943753,-1.1120131077865015e-05,0.10516184649045367,3.218225003099462
300,4.384015268992966,5.845113531054568,42.99684298548613,5.000000002105482,1.933849170493881,18.750000008968357,0.5226497392999012,2.5434086604824837,52.51691140504774,3.74521501856472e-05,0.11182563590815794,3.1095434403653486
400,5.352124891878759,5.383268393453948,44.69447865836377,5.000000002565401,2.180475780935823,18.75000001355941,0.5242897992927791,2.437823482531318,46.67038515272483,3.6685921061429985e-05,0.16727594468670062,3.1753864939554557
500,5.876961808780787,5.000247735348773,48.82024510334763,5.000000002870027,2.334645789073439,18.750000014894482,0.5684764118297643,2.318243966656821,44.13254494095631,3.3012426669698706e-05,0.26494090978272883,2.982833507418937
600,6.512959346154327,4.272194977272326,55.207736003143026,5.00000000314734,2.705295508670646,18.750000013762797,0.5662339047371889,2.181465457862912,40.04033909246284,3.53470441753844e-05,0.34408967305772353,3.012686838698356
700,6.733219113678498,3.8455367894152483,60.70978220210364,5.000000003666784,3.169166777246692,18.750000020662757,0.555924216069817,2.048891169135042,32.22728759567553,-1.210928224299126e-06,0.4379201745653176,2.9013258147701166
800,6.365586845618437,3.1568844323012577,68.10781541816044,5.000000005801907,1.9379810086783977,18.750000024738053,0.5981571963745231,1.9555219371732917,25.8165025727097,-1.1197572400399773e-05,0.4170275831580617,2.812485143950297
900,6.18085281860682,2.6510484080306562,73.31121385745809,5.000000005227752,2.4728946977355175,18.750000027088785,0.6648703153509531,1.8256389419254087,23.037033068413347,3.659694917252477e-05,0.5638972511324208,2.8413702820695823
1000,6.183615553216818,1.9878648322061117,78.49479027549619,5.00000000575275,4.121617958553713,18.75000002294468,0.6865839745776994,1.7202939108891404,14.91901729690166,-2.301654535608961e-05,0.5545561317815014,2.806710085327105
1100,5.536158472443465,1.6797815926844115,83.66469003654211,5.000000007972017,3.521815208320035,18.75000003259897,0.7234332603676428,1.6627587698983328,11.795171406369237,2.9931745268869664e-05,0.7066095457185276,2.6358609380400266
1200,4.819849373212269,1.2312528956504556,84.66927742960065,5.000000007207749,5.150118840557025,18.750000031448643,0.7664710875034265,1.5380741692983406,8.492287586395872,2.594480679292447e-06,0.7045939100995986,2.650793987367559
1300,4.269569919541854,0.7125180843696779,91.96202420835895,5.00000000915339,4.5815843449586335,18.750000034203417,0.8055772403445853,1.3845530958340115,4.490718383033583,-1.157908908043608e-05,0.6605560797283978,2.632876981064973
1400,3.5440506125580153,0.6522676502071727,93.34881515493,5.000000008886872,6.588990775800714,18.75000003407627,0.8101343598664388,1.185198702282198,2.4668969742802718,3.75661803541653e-05,0.8739405197858964,2.4949938486891106
1500,2.9315536965938565,0.4276892857401867,96.59670102182271,5.000000009051882,7.183369737191408,18.75000003853793,0.7365619966578831,1.0095938975422292,-1.5324570354981417,6.660776839336979e-05,0.9137207214635089,2.552903708349
