miliseconds,E,R
0,997329.145369295,2.0211476727634086
100,1004735.3474873854,2.024984425889945
200,1010171.9898182221,2.0456890052924575
300,1014681.4028155442,2.085143149786003
400,1018733.9659049598,2.0953806158295296
500,1024360.9078299344,2.157583348268964
600,1024619.3682053208,2.150347739728258
700,1029207.0348297202,2.1750964932907824
800,1038600.1288308196,2.212927084975134
900,1041074.0607573857,2.240942122028915
1000,1046147.9000927251,2.2682070209017873
1100,1054875.607654772,2.317650102491945
1200,1064096.3088480076,2.3497161623535567
1300,1070634.4186646265,2.3876928191044478
1400,1079682.859073879,2.381310512079625
1500,1087438.7059660703,2.437787441851871
1600,1089481.540057205,2.451322270973969
1700,1100450.088075679,2.499832575688491
1800,1101481.1354782504,2.50925142159877
1900,1108005.895654001,2.5341238345489514
2000,1114995.7554093713,2.6011238717188276
2100,1130751.814588766,2.6196576856386526
2200,1131332.8091156567,2.6422353327823425
2300,1142920.5837950073,2.654691661383803
2400,1146931.521377144,2.686485120095067
2500,1159050.7716914746,2.732203045689303
2600,1165621.9105701454,2.777207738322372
2700,1169582.4817066435,2.7839734368400206
2800,1180560.5776110583,2.8326813890983518
2900,1184243.0730467653,2.8537839640854874
3000,1193088.1981473106,2.8898597426063883
3100,1201627.1626465037,2.923597872627518
3200,1212138.7899271057,2.938521590022675
3300,1215426.4052809163,2.991811230661495
3400,1222391.5977495664,3.020486179534336
3500,1233170.2904681375,3.0332749363259586
3600,1238518.2810182387,3.0639668102656854
3700,1249079.7044255058,3.0942107282743327
3800,1257097.650822251,3.1339994147395793
3900,1262012.8989035224,3.170762063065468
4000,1264907.4766621245,3.1953280358372647
4100,1276500.0010327282,3.207664247073344
4200,1279260.4049907688,3.2333392439564497
4300,1282243.291700136,3.289824386930665
4400,1286346.5937113094,3.32832633120876
4500,1291374.6368270277,3.3442486637931736
4600,1300649.3578271847,3.3814213560500583
4700,1301651.4761831632,3.4251308976013286
4800,1304873.9275230481,3.457696664488647
4900,1315131.1756867932,3.490806720779992
5000,1322242.3949515007,3.5175837010766573
