miliseconds,E,R
0,999049.8644428084,1.9788681013301828
100,1005673.1393843056,2.0249955381348044
200,1003634.8683940734,2.0441688495219417
300,1011315.9588344095,2.0687383449130383
400,1018971.679626031,2.0933708765591774
500,1024038.7485868217,2.1594747494504376
600,1029757.1103951841,2.1858846094435016
700,1029469.7233951186,2.2190012032890176
800,1037008.0752021467,2.247105765633725
900,1041846.9219954135,2.263473038860183
1000,1047539.441184114,2.2911469480734716
1100,1055032.206483804,2.2956959513289483
1200,1066674.7473158601,2.3473460115817675
1300,1064790.115865998,2.373726099085685
1400,1075072.8919337452,2.4048602068673217
1500,1080822.1720840584,2.423635764370018
1600,1089274.1820546053,2.470770232973881
1700,1100438.8330281114,2.4869956250657297
1800,1102058.5586617747,2.502782505721155
1900,1110568.2151779528,2.571230699898686
2000,1124108.2964837546,2.5623924046899473
2100,1129699.0263637558,2.6141987078411315
2200,1139800.3402340447,2.6325018491767724
2300,1140259.896840622,2.651137823667938
2400,1148464.3899756838,2.6829591480452843
2500,1161250.6392244005,2.7509220041279314
2600,1169525.6348924222,2.7735947604860125
2700,1171823.0339047941,2.8062235927382084
2800,1182712.9920195516,2.8362614985794856
2900,1187772.318651597,2.8435173060435965
3000,1194818.6410159925,2.8919424679068864
3100,1203033.4528336106,2.9307667657098393
3200,1208126.5783314481,2.935364227705388
3300,1216462.626991804,2.9727670430246764
3400,1227501.7420177509,3.014364513529657
3500,1231621.9461638778,3.0372329651862273
3600,1245706.737972502,3.06218490450904
3700,1251267.9082627012,3.10607067381725
3800,1250097.1169535725,3.149980780860091
3900,1264426.93634796,3.166447620427033
4000,1270440.3963840518,3.1883757936069377
4100,1278127.2755761016,3.2443936901389745
4200,1279352.0940915486,3.2612377972897324
4300,1284967.2757285454,3.2977535355185648
4400,1290946.394655458,3.32642822690278
4500,1295987.7361402295,3.3525807264099377
4600,1301705.9019483314,3.3630887672104928
4700,1305934.7389271513,3.3969209247907277
4800,1307263.4686744965,3.4389075820916335
4900,1312993.9235983677,3.494525125098183
5000,1313445.3107041044,3.4882122213002966
