milliseconds,E,R
0,996289.1271732501,1.9986616862102904
100,1001824.421327312,2.007186177361953
200,1005122.7712621908,2.0500056621150264
300,1015628.1289277376,2.1039272926035877
400,1021611.6741069856,2.133600379654085
500,1017639.8459336046,2.1261287849872956
600,1031320.2228779265,2.172633865713164
700,1031716.0934166468,2.1883682212210522
800,1036119.7661523062,2.2358823028839914
900,1045250.5504816268,2.25729392801611
1000,1047865.3640263452,2.2775697226590306
1100,1052218.5645286024,2.3335685652842058
1200,1058529.3368015846,2.334854653393188
1300,1065877.6844638644,2.3873020840453356
1400,1078113.0530252398,2.386978964178599
1500,1085081.8697942067,2.412307320133114
1600,1089904.8621225592,2.4431572814265907
1700,1099187.7609185646,2.471942246032644
1800,1107258.8203640655,2.5066114010924836
1900,1110416.5228280525,2.5657616188834216
2000,1115963.9189911676,2.5760815923071685
2100,1129297.1422377615,2.6120917295138057
2200,1132559.159062133,2.6277585289230765
2300,1137834.5878958995,2.6909478493860077
2400,1155147.8782167977,2.6803939594356647
2500,1153448.0290555584,2.7426391668810086
2600,1168968.3962633593,2.7745704463906047
2700,1172340.4718192979,2.812483349556325
2800,1183998.1445749,2.8354045644805415
2900,1190943.0101418355,2.8616481865775936
3000,1198410.122264965,2.9062247044904583
3100,1199905.427095592,2.923154667488067
3200,1212889.2789904342,2.952918847600187
3300,1220972.0516406728,2.987405769338839
3400,1226815.5066444124,3.0004966989611486
3500,1232460.913870907,3.053566062945174
3600,1238253.1035561722,3.052568934803338
3700,1248328.6028840696,3.1115839919637565
3800,1253545.6600251468,3.13112685402105
3900,1259658.415215105,3.162260241581076
4000,1272908.386148487,3.19608908273093
4100,1273583.1147328776,3.204408037055524
4200,1282853.2191526224,3.242372270348231
4300,1289278.5899951188,3.2896881364922668
4400,1288539.810845709,3.32962218371506
4500,1299886.3637130444,3.3553376426964707
4600,1298499.7817178038,3.3890509319540216
4700,1309779.4192319242,3.403059425059473
4800,1311306.4041444596,3.457550362146726
4900,1317061.5315604953,3.4601691345232304
5000,1319520.1710491623,3.5060076677606866
