milliseconds,E,R
0,1002937.7249708466,1.9852182848964368
100,1007845.4498045865,2.011380380970428
200,1010543.448293948,2.048185615576246
300,1016999.3028147579,2.065567005076451
400,1017833.4961294051,2.1239796127885757
500,1022888.0519803482,2.156732085780759
600,1023292.3847323818,2.169990017647128
700,1036520.9143685463,2.2083696267695268
800,1036925.8333070426,2.242171912108865
900,1041606.463249309,2.2486091641625374
1000,1050842.546612738,2.2734382035390395
1100,1052703.3951670583,2.32207250575658
1200,1063872.2469400845,2.34687487964239
1300,1074154.2018098012,2.3743073668372703
1400,1077308.3182699077,2.4060913027791893
1500,1080083.345398462,2.4220519766254895
1600,1092816.2867436034,2.4640718313826735
1700,1096528.3925968476,2.5127329695364646
1800,1103725.442098455,2.5243498219640053
1900,1110293.3471272935,2.5725959361721085
2000,1121336.789111971,2.591952612524861
2100,1123133.9051415431,2.621342378506863
2200,1134245.4368097256,2.6293761912384017
2300,1144945.6941359174,2.67293760938772
2400,1150796.5491901573,2.723238647255671
2500,1158253.505193334,2.7311791367358627
2600,1167746.2844591322,2.7676142873505696
2700,1170042.3148813474,2.793047851259559
2800,1180461.8000797692,2.81798037084431
2900,1191707.3895274613,2.861605324031225
3000,1194222.627642225,2.8752985544504965
3100,1199866.6452207242,2.929640977053393
3200,1215409.2212429745,2.934097667469428
3300,1217586.5432346785,2.9923097218535477
3400,1225795.3904913906,3.0132627441957998
3500,1232990.939879879,3.0264751114997295
3600,1236466.649302338,3.0664180538273467
3700,1246763.8918119753,3.115668051207008
3800,1250351.7534084797,3.1469832029807185
3900,1258861.731738333,3.1441847263870746
4000,1271625.2196518541,3.1773781093579974
4100,1277371.537350744,3.2418821532026403
4200,1279120.450779259,3.270497524562278
4300,1290318.703758678,3.2804013743342573
4400,1293158.1380076918,3.3354512920031802
4500,1297131.4431423296,3.3398261560618527
4600,1296678.2831221425,3.3852240287095876
4700,1306270.6958623468,3.405635541436234
4800,1312050.6945205773,3.430457802315204
4900,1314926.1899228226,3.470062053825934
5000,1318552.0891064133,3.51566136683624
