miliseconds,E,R
0,996925.7020992578,2.001318461311249
100,1008777.2301371098,2.0423385211432903
200,1008907.6087100046,2.0397018494113452
300,1016638.2016063858,2.0847091351938074
400,1012367.2084174801,2.108361352535615
500,1020857.6399452774,2.155260006503925
600,1030515.1995812836,2.1802747739219206
700,1035840.3085147123,2.1977678475942346
800,1033946.9725280724,2.2163445588627795
900,1043408.3211146945,2.2764278246004848
1000,1053485.503452656,2.280098849711196
1100,1053309.2113954166,2.333203514252265
1200,1066005.051508592,2.3637161587274282
1300,1064927.6526940488,2.371234657915177
1400,1079074.556258517,2.3922945589600055
1500,1083669.4614792045,2.439944379541218
1600,1087657.0728345204,2.4590982849617484
1700,1095599.8159724127,2.505706625114417
1800,1099568.2693670501,2.5348170189447123
1900,1116484.4001436,2.5560205177961373
2000,1114740.6872822333,2.5660845035324926
2100,1126046.680149216,2.5909717630317872
2200,1131257.5265611124,2.6367934424010513
2300,1141182.3610832295,2.6777834374570118
2400,1146412.2073362796,2.7206141217564404
2500,1162557.8268518716,2.724467029021463
2600,1169542.6339022336,2.775828328617274
2700,1176277.5989680213,2.798132500521803
2800,1181200.1503331754,2.8037821001706953
2900,1184691.4916130642,2.852410626852803
3000,1196679.9723308324,2.8807099907814284
3100,1204891.5652004397,2.923441250018843
3200,1212946.6711692973,2.944286924275683
3300,1215178.1804638137,2.958049272951139
3400,1223717.899374889,2.998022337193414
3500,1235898.1007880177,3.0503810177355937
3600,1241045.0277711686,3.0554183169005005
3700,1251179.10264791,3.104433287056295
3800,1258945.8159964024,3.1155376560921204
3900,1256628.0668725518,3.1566793680622194
4000,1271047.069018343,3.200347949085441
4100,1278950.5634188151,3.207749365316085
4200,1282630.585562935,3.243744690362764
4300,1280606.0764201386,3.295587641427206
4400,1296117.7577706648,3.3348089899304942
4500,1292659.9861812447,3.351119284484738
4600,1298861.8314757044,3.361213802314394
4700,1301651.3463991715,3.395782612601229
4800,1312283.1239068636,3.4498827134070216
4900,1317234.297701059,3.479160047807038
5000,1315937.8227080356,3.5292494268098396
