miliseconds,Susceptible,Exposed,Infected,Recovered
0,36196938.0691881,0.10725951088377514,2.022765338777527,-0.028780414343880175
100,36196937.69679518,0.37323925376550077,1.9369573911007079,0.06558188763282674
200,36196937.315247014,0.5171866257749765,1.9244722857876027,0.1815885300882265
300,36196937.1569879,0.749752991238858,1.8698601347638681,0.20525879135707592
400,36196937.04468812,1.0518989714792113,1.7621999218259536,0.28378336386270736
500,36196936.65533486,1.0811843773358734,1.7327938909606688,0.2883997949608378
600,36196936.75167995,1.3128511020365468,1.770802901127719,0.32613778103736507
700,36196936.404276624,1.5732788726729092,1.7030172019734318,0.37870053831811185
800,36196935.90306121,1.663562608714777,1.6968597313969835,0.5541797383522078
900,36196935.8032684,1.7443281467968383,1.757664985509359,0.5519212523375977
1000,36196935.464352824,1.9557385289392066,1.7371759938118545,0.6516314277425743
1100,36196935.339119345,2.1567402214521314,1.7112237598995843,0.6622155709321874
1200,36196935.18287405,2.450709946381562,1.7561845278802788,0.736080611431179
1300,36196934.969295196,2.579712525393153,1.7971858282088595,0.7322029126500608
1400,36196934.89617258,2.6656994881717884,1.803096599818999,0.8456109437207161
1500,36196934.28136994,2.65445753981912,1.8340644158112287,0.8833785167356835
1600,36196934.49462504,2.997655621456532,1.7926851190693969,1.0236042575666708
1700,36196933.96302696,3.0356577793784165,1.8970643709301271,1.0534316065879887
1800,36196933.622170486,3.1483533202940546,1.888888715148413,1.0910943778012614
1900,36196933.40716027,3.349629108425348,1.965126000162084,1.2002188623551031
2000,36196933.218241,3.3912362658781685,1.9343026879186642,1.1858698385343027
2100,36196933.05316092,3.762946128353144,2.03016222629168,1.2640172535993492
2200,36196932.99093918,3.9132603226556726,2.0338021149120453,1.3109545458267786
2300,36196932.48173419,3.941769385000359,2.0786747768050335,1.4763292911448997
2400,36196932.24275183,4.058960678109974,2.128872773510491,1.5363873723865051
2500,36196931.715684205,4.141587313786857,2.177150802057271,1.5744139695126729
2600,36196931.64464083,4.542121118517537,2.2790928933662973,1.664246096750851
2700,36196931.14744029,4.461248011782756,2.3669092541648555,1.774714190227705
2800,36196931.20458183,4.750491623912942,2.37581011820731,1.8330174074869157
2900,36196930.77452727,4.94995359218541,2.5113956357974705,1.8783067963447406
3000,36196930.60783356,5.109007618892532,2.5003557375809935,1.9329624934607545
3100,36196929.91718151,5.174325356236192,2.6451527668957406,2.116088191177162
3200,36196929.53622893,5.3413373428014586,2.736866400420366,2.1704443133149605
3300,36196929.45391264,5.491634887325703,2.8153249261514546,2.2259468570030707
3400,36196929.04900671,5.8495299198516095,2.868986668813253,2.3767646594792105
3500,36196928.39884913,5.9405675616877565,2.9626469480663338,2.454677837604149
3600,36196928.24950354,6.2326921147773175,3.0209964025311105,2.515323725985652
3700,36196928.01291335,6.295517772332836,3.1166544445985256,2.633367249369027
3800,36196927.55465413,6.629092743285334,3.222647170837866,2.81456955742216
3900,36196926.82356869,6.900588566129022,3.305728533447744,2.875100091578523
4000,36196926.43029941,6.950278772632776,3.3802474115696803,2.9536698362691407
4100,36196926.25861795,7.27194993211971,3.522390129344942,3.1315992317452817
4200,36196925.59704038,7.410401680983998,3.6038131349223996,3.2573619555650444
4300,36196924.92271189,7.686341126166073,3.741382962690109,3.3764664899929566
4400,36196924.79753573,8.116501699100162,3.8332694250740427,3.470671565369854
4500,36196924.17330863,8.256824502118599,3.999030281429615,3.602721040950788
4600,36196923.77330469,8.396333587977075,4.132580952980829,3.748398823321895
4700,36196922.87559264,8.796820450035787,4.218971926303041,3.847664384583536
4800,36196922.53226091,8.943167357568573,4.3954690584121385,3.997241561509288
4900,36196921.75894382,9.259595598038995,4.510833716874831,4.166563454594093
5000,36196921.51947211,9.750155509173545,4.61214826369768,4.312479639600347
