miliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,999754843.4462274,5563985.682872126,703471432.8404789,352602527.39409035,1873515221.0450115
100,1000346099.5913577,5702674.00026985,683251436.086883,352372631.4494835,1858800818.8796256
200,1001614265.6497732,5664764.875192482,670144703.7181836,352205635.5662192,1854620292.5662766
300,1003236639.5791768,5805906.884252212,657249682.8842586,351478029.04231393,1838928492.3099525
400,1003551594.4911757,5848563.450622453,640632097.8108141,351278855.44804865,1819196938.015812
500,1004621946.0556086,5940615.955391532,626314792.6938347,351173414.9812451,1803028011.0581222
600,1006627522.1960119,5918643.895630116,612658792.8697839,350331933.2971181,1780284458.5541828
700,1007390701.5507087,6025952.170024282,608969226.0793391,350027093.62871647,1768386697.69609
800,1008604419.777845,6054948.859689694,595707737.7585071,349630915.75711596,1757028252.3857598
900,1008750458.4304396,6094360.149793428,582333298.0720239,349186155.8288792,1741729834.1788335
1000,1010012992.2541709,6158339.546729471,565423892.7823231,349136388.41002065,1729724793.556005
1100,1012145699.1695666,6263176.8261293275,555701670.6224941,348401649.16625476,1709388542.9803443
1200,1012562957.8630708,6378165.155870425,552668409.6594791,348032182.846254,1694352652.9044569
1300,1013969952.062286,6446866.563992941,540576594.6679903,347550426.88172144,1674838723.7937698
1400,1015552444.6389699,6514054.57916329,528139885.5205053,347591581.87972707,1661499620.7156923
1500,1016522214.5371498,6518735.971289305,517777057.01390076,346806215.40860265,1648551680.7834423
1600,1017277465.4290808,6655406.444131111,513107155.58584285,346353921.95306325,1646995825.32475
1700,1017918840.1297195,6735227.417228042,503772862.3711159,346056958.6618738,1627612229.262942
1800,1018805947.7585965,6765976.351503621,492716861.4088172,346066287.4851567,1618209093.983959
1900,1019967692.2276086,6796301.650296949,483983974.20598817,345311194.1435063,1611210484.555271
2000,1020820154.8428949,6889679.745321612,479871468.4810663,344923964.63745487,1582220676.6119962
2100,1023028637.8000557,6983368.757074697,467026401.4981634,344727306.82837003,1574165638.1321275
2200,1023482142.6677023,7070427.877356683,464657326.46767205,344284079.8851027,1570176520.5751388
2300,1024584106.7413067,7161481.600180681,456129939.36634624,343721415.58676195,1549643025.33185
2400,1025245432.9765443,7188749.762019117,454944315.68716353,343739178.58124137,1548637401.9992707
2500,1027560757.385466,7225688.253074021,439741120.41681266,343065793.8444293,1523939609.75728
2600,1028587326.7785444,7328007.359631974,437626899.1183055,342396676.773285,1520976747.5695376
2700,1028915564.0619214,7442141.540668449,426636780.3450388,342380800.811365,1511171710.83758
2800,1030465965.6803046,7477055.278166334,422489103.6827153,342011330.82151204,1500598542.5000372
2900,1031248305.5290785,7613994.0931334365,413982995.5034719,341704605.32145077,1493775887.284818
3000,1033320750.7080218,7703159.7042366965,416463085.3466909,340829673.5931717,1475643385.3867812
3100,1033886998.6134372,7750512.049290137,407318597.1456584,340518898.09109557,1469957394.1223834
3200,1034696094.9812304,7796141.949428304,402345715.5858706,340075159.5511569,1448300410.8403633
3300,1035456441.2011727,7944126.280040593,390590570.81480414,339727732.9257276,1442391612.936864
3400,1037882225.6453449,7922414.625104754,385769938.53341496,339766288.18528074,1435057395.570724
3500,1038349926.7860993,8065501.135394745,383458237.07918215,339280160.53080636,1428475696.0335286
3600,1038815940.6661558,8103862.90822953,380276193.57677174,338834959.56553394,1408373609.2000446
3700,1041075886.7976917,8279348.033161201,373995150.1085416,338093925.0018016,1406374215.1702247
3800,1041994637.1892478,8323065.07608428,375215348.2124849,338173966.05842113,1392515625.2705686
3900,1043389534.0218868,8435939.658247635,365898244.02619725,337744162.97702867,1387858595.9611108
4000,1044537783.1493778,8462161.234775523,362539094.0882083,337300056.9605654,1383390380.2956052
4100,1045439947.0416224,8538845.841821397,357845401.1722496,336595239.33982295,1373134650.4659002
4200,1046426504.6518812,8711994.710060926,354744899.65939313,336110746.11011946,1358114019.0848083
4300,1047468828.5618892,8807162.026986137,346820052.5821369,335942804.9866914,1349072246.778061
4400,1048161137.1532032,8867427.938973425,343801135.77240956,335500896.8628324,1339534477.1196914
4500,1049989294.4187205,8895655.774921814,338351784.3762192,334950199.67178077,1330650600.1663463
4600,1050880413.159111,9040756.060827946,338127919.33926743,334681818.94285154,1323459711.7649648
4700,1052214767.4641949,9110949.818471214,337948916.5688093,334145340.21469814,1306731944.660088
4800,1053398797.270012,9249387.476635598,327849021.32849807,334085297.92028695,1308166041.7216644
4900,1054455895.3038753,9352834.606834464,329477501.32372886,333682859.30408835,1302160951.2749476
5000,1055151089.3794522,9384000.801635366,322805375.67900836,333141156.8022397,1296245037.3582919
