miliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,1000767300.212577,5629642.140098058,701036709.5632946,352912651.1010644,1890246749.083015
100,1000603689.6706023,5680044.076264613,681742657.435086,352466973.60501486,1866910148.287279
200,1001972693.6875513,5729123.626165954,664123265.852667,351911063.1153717,1845447502.0903673
300,1002504620.3283253,5782778.659396111,654726248.7074,351672848.6879339,1827698454.832205
400,1004346892.9306916,5789848.808202888,639108496.056881,351101053.50574744,1816817299.0040772
500,1005331317.5954565,5850043.035106666,629609069.900011,350648981.51583314,1802875658.2698152
600,1006577379.0305443,5967938.268303317,611766484.1932685,350759707.6957079,1783381766.3634086
700,1008048034.1923083,6017034.646106747,598802091.1170013,350071723.0492792,1767684154.721063
800,1007669418.5807296,6073440.173742904,590282369.9964606,349586720.5028595,1757207828.6574526
900,1008971406.7629756,6204615.009289108,582425178.5759797,349288235.7126478,1738403610.1706104
1000,1010432650.9640121,6245594.630569855,567921370.3596045,349100506.14829695,1722285303.2990825
1100,1012312070.2817835,6235052.36282788,564621215.2886518,348319411.26946145,1704350843.0860271
1200,1012145387.6456734,6371726.899395548,548347651.8316323,347911174.6332974,1696581673.0096045
1300,1014300785.1564572,6419704.672298431,539190541.1622177,347914239.42116475,1679681958.6321023
1400,1015290910.4327481,6532589.252134881,530046956.8184149,347533836.5080273,1659579462.6480055
1500,1016269499.5386311,6583180.77850584,520223700.558895,346995015.49927396,1657126133.583279
1600,1016901647.396931,6651105.617726943,514530241.27356976,346660416.90105003,1642866670.4157262
1700,1018835009.2583885,6633776.123481331,503255783.4343462,346485316.9024869,1623623717.27747
1800,1019250909.4096798,6721646.372988416,495286044.102995,345798898.32614887,1615502370.2167819
1900,1020995053.1034683,6817478.54623141,491482662.76092863,345344652.17677206,1597521113.6650176
2000,1021592472.9079397,6910615.429279467,475738958.283655,344780281.94582635,1588878179.2002912
2100,1022423462.2046266,6988695.164172586,476805601.73658466,344460859.9795777,1581016395.154249
2200,1023343341.9273051,7067106.275801113,466321937.5450084,344267574.3023674,1562104774.9527047
2300,1023949655.4224278,7156435.282238895,459069185.2420553,344141216.7866836,1556789691.0345638
2400,1025234894.6187286,7204968.493608729,444910394.407415,343473591.4521927,1534768300.8671694
2500,1026704809.1299206,7207500.058909054,442845721.0818921,343268651.303864,1539242796.0540116
2600,1027398590.7711858,7392729.589298452,440827059.04255736,342519936.90154237,1523622047.4374652
2700,1029155755.2427765,7461250.858999408,427723063.53747535,342109392.51225305,1509505377.0039463
2800,1030373431.6949011,7498863.707311542,429135689.9116996,341823724.344341,1500687298.672013
2900,1032141907.8424828,7610333.011424973,421840514.5146027,341469168.006639,1483623987.4234638
3000,1032940030.8812628,7630169.995289938,415313387.9977015,341045164.00576836,1479986700.4412289
3100,1033359645.3277335,7762507.782798823,408471151.38200486,340583101.0524021,1474470403.446968
3200,1034652821.2353638,7847342.724072817,406048706.5489011,340583929.3770419,1457690260.8571844
3300,1035474165.1134082,7943718.050241459,390545127.48166,339814341.65742564,1436578599.087151
3400,1036468857.5296016,7952919.363775031,395352667.20463836,339465969.7469089,1438679010.601541
3500,1037998172.9766643,8027134.486193052,389827202.6785482,339028914.02281964,1423155509.8987544
3600,1040213226.3646822,8130861.1925009275,382054286.34920865,338894847.7963144,1416839074.937842
3700,1040672885.3328915,8200871.419577447,378841766.59826195,338387684.053118,1396888233.0794172
3800,1041165516.5529153,8316511.1360468585,376081685.30276763,337620626.0186303,1394018962.7028446
3900,1042600277.863558,8386912.934400523,369691891.7755785,337421308.2762214,1388288794.083115
4000,1043328805.9613204,8527464.341627667,364982696.67482835,337047508.398293,1380685217.511936
4100,1045172204.3323561,8561614.685659561,354599092.7758043,336836577.9815977,1362673369.0115645
4200,1045767940.8861916,8613320.345305469,356736152.325963,336290163.6964536,1353607789.6211467
4300,1047316037.6074933,8726930.522800896,352144708.15696496,335834586.1567048,1357535928.5285752
4400,1048129360.2148428,8797170.24518494,343119544.58568,335497679.8597373,1332814557.6299381
4500,1049711457.0894178,8950943.148699176,341448800.8957121,335193714.1446825,1326024503.0345852
4600,1051370733.5022448,9018396.355442757,334886431.3265065,334659021.57819545,1320560224.871163
4700,1052787172.9066926,9096485.50882037,329860718.996894,334178871.5568395,1319627759.1707814
4800,1052911802.1795816,9181051.16846782,327107735.6371402,334204515.3990406,1312440525.3912716
4900,1054449013.05562,9370137.709405726,321602314.68273556,333730187.7408786,1300830876.5227304
5000,1055103454.3894036,9428612.155739209,319654192.06358683,333276805.6043676,1295917848.0993438
