miliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,1000406621.1316544,5549331.625523435,697213020.6455648,352777502.49992764,1873765424.2115273
100,1001376414.3093737,5616391.5910226405,685089866.2591039,352339221.80323005,1867439505.2944994
200,1002349342.1248142,5673098.834571589,672132348.0511677,351798506.5388227,1844638369.1839292
300,1003411917.6203445,5757528.61995607,650232569.0939006,351498205.4590585,1823857753.9389176
400,1004611793.4100299,5879105.897714494,645513700.4321829,351341799.54240245,1814131883.4950056
500,1005963557.1586465,5910819.406541057,631868255.4450171,351116147.7603229,1804564176.817976
600,1006666874.0498068,5939125.315994965,620240343.6663314,350562648.7325085,1790009147.423224
700,1007052179.8748085,6011662.748151782,603881258.0492474,350125570.7494696,1767819833.1393883
800,1008156742.0365405,6036860.267683642,591073417.6677055,349490885.52704513,1754061596.1611834
900,1009012182.6171678,6104231.264651534,576895122.5471737,349449158.3488395,1738899075.4725273
1000,1011124199.5585184,6266636.164542003,574268161.3363982,348864344.86427194,1728364944.6182282
1100,1011870307.5882703,6240551.719605293,554679293.7922238,348387060.5851903,1706015598.2414427
1200,1012805916.7516243,6310433.648278058,545924110.7987671,348360928.55952007,1694665134.021136
1300,1013760381.5182767,6410925.713619957,544162615.8030101,347799668.7577619,1683672238.4985807
1400,1014728675.8023568,6522585.950666492,532430681.6379018,347323030.4653227,1671572241.394544
1500,1016066431.4471514,6575122.187343276,519125204.33557576,346990526.81712514,1663036986.3855305
1600,1016871852.5183086,6646720.711704194,508415842.54694617,346487303.96820086,1640625220.8752897
1700,1017691654.0996093,6697720.325660265,499490229.73734754,346319571.4914994,1620452157.7329786
1800,1020032366.1734039,6752845.034875661,490508155.20514697,345590319.1498051,1623188672.5930073
1900,1020964555.821369,6840618.702760098,483986299.6159476,345427106.02602047,1603414914.3591344
2000,1021305473.1665837,6849245.119826871,476722887.92218286,344778147.1472677,1590782384.8113015
2100,1022628660.7322704,6934821.69855914,467934854.5172734,344479935.9119879,1584541416.281291
2200,1023913033.7545247,7016534.486090375,468848078.8235175,344434601.58458775,1558026877.108211
2300,1024895638.2404947,7058007.1874769265,459920833.6885949,344071119.0140442,1562104296.3802974
2400,1025325934.9547964,7183950.960007017,455573993.4744763,343687781.4547866,1540331806.2445314
2500,1027124690.0401744,7207771.070326402,443967503.48828065,342826034.9161052,1528196045.416892
2600,1028393579.3458002,7394723.905824928,431825809.0793756,342461903.19073445,1520618827.351536
2700,1029677746.0049618,7363382.938028601,434746102.98777777,342131933.01519835,1506924293.7827282
2800,1029835245.1175345,7445874.64828983,422212172.21398294,342118467.7629338,1489634319.8477757
2900,1031207512.8308451,7562158.000679495,419159141.113883,341642870.1902813,1492446156.863418
3000,1032472948.1712419,7597975.952768698,413863065.8285653,340974371.54951966,1477644569.3781595
3100,1034145531.39168,7684384.111292011,401959954.6049506,340436504.91556543,1464897349.1789668
3200,1034248851.6686363,7771948.226762164,397221638.6111301,340198800.8422936,1450060473.3822896
3300,1036646632.8992603,7874219.553451745,391881109.15090686,340104704.78645337,1440100068.5065324
3400,1037221863.9608463,7984108.954029377,391305095.18949634,339557710.55907035,1441048358.723235
3500,1038519569.5069301,8053135.14171795,380785433.8556837,338956230.96703255,1427073312.6207397
3600,1039929448.8351198,8156896.177195233,382610336.2413374,338619899.0566218,1423285682.363378
3700,1040336018.9632404,8281800.829333288,374719728.04533297,338100370.4133568,1406323572.5379767
3800,1041605195.8820298,8287784.550039492,366285142.51225924,338111178.17604166,1402362506.059318
3900,1043400888.417962,8456573.534814393,370754824.0106133,337416961.82126945,1394580361.4177582
4000,1043412747.5094373,8451386.957123293,358920799.66733396,337311258.6083103,1374580040.736033
4100,1044671775.6191518,8602624.628215896,354653656.7942011,336780846.7139166,1369313701.6011677
4200,1046246097.5855868,8687549.682317892,358189366.0774102,336433513.46086425,1366980671.2360919
4300,1048290809.7390976,8719710.999106629,348130179.11166877,335848174.6223863,1343968017.8514347
4400,1049017146.2672777,8876480.981993835,343319246.2032779,335523760.7457981,1339872780.232772
4500,1049781695.971961,8943283.611033473,337579660.37245226,334843303.27121425,1328200631.489712
4600,1051900690.9538884,9030831.223619644,341680991.0922779,334757891.2247054,1320983874.4281027
4700,1052242861.1628481,9129217.36549661,333578706.12566257,334032369.48080796,1322094456.8088782
4800,1053828889.2878836,9219349.696482934,324446940.14051384,334038711.6126734,1306154306.684726
4900,1053968524.8098536,9284283.292048156,325349520.70083785,333712877.22406125,1306036214.6395462
5000,1055145451.0793862,9452878.83982621,316288268.9199991,333116530.3177907,1291217283.7449076
