milliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,1000786248.2882055,5605348.964277891,701733462.1191324,353057119.58105886,1890075277.2333922
100,1001709950.361647,5694304.328807515,688196170.1367594,352340014.2434334,1864031896.8515456
200,1001874681.2603703,5752277.197010666,671136239.0336732,352268812.6777829,1854074502.5298624
300,1003493216.0797131,5775463.007956251,660065319.8238887,351860371.61425126,1830853718.7064579
400,1004743501.8357404,5843216.53726823,641993774.4337896,351105962.31938607,1811439025.882944
500,1005735776.807734,5932168.596744109,628701805.1229036,351059726.9515205,1795916832.3791838
600,1006034396.4426117,5983274.035743875,610981297.181975,350259514.97231114,1791419636.6159306
700,1007751331.0030063,6042029.949783384,600791558.3662742,350021528.86024374,1766667635.3833537
800,1008200700.3708215,6128478.177580418,593382648.7979256,349928743.25437945,1754489784.4986784
900,1009910256.0100219,6177154.762964171,576938075.5720919,349465186.0138838,1733584239.8612857
1000,1010308113.8963373,6165163.212573648,568422650.2811025,348707310.0147317,1732590012.1419945
1100,1012158435.3441541,6279460.856636892,555088527.428157,348738947.9213639,1706502675.4082563
1200,1011923959.4540526,6333579.49503734,549045152.3701903,348123690.62867486,1692270996.536969
1300,1013790815.7472476,6440145.136489134,541563091.6887323,347981393.60731304,1673156407.2848868
1400,1015457952.8861763,6471610.977725571,532374152.00247186,347575505.611343,1676464885.8931265
1500,1016114014.0512475,6590927.2041867515,517678349.2020625,346725799.0156403,1649644987.6601887
1600,1017416002.4507143,6654270.716259092,511974817.74933046,346486184.9042467,1636250827.898198
1700,1017539236.55072,6703592.436363406,500793571.7676006,346027956.08566713,1633548113.6712751
1800,1019361549.9470174,6781536.326253961,492699815.9775664,345537678.1296637,1612847612.8638463
1900,1020386829.647283,6824034.725756202,486243591.291806,345565157.00744253,1596688232.4578252
2000,1020933853.5158992,6950500.107938152,482205172.7542633,345030579.4217259,1593649032.1206102
2100,1021984806.6377269,6930969.0362978345,471009672.9562399,344867706.38988906,1576288423.4786317
2200,1023578738.8679224,7089582.53555081,460273421.2198412,344001581.2032207,1560326682.2039068
2300,1024259704.8636913,7105894.133719808,451806430.6792491,343690385.0820032,1562804981.9840107
2400,1026010409.2177086,7150522.927001418,448197247.7222122,343359119.0834947,1543761860.372767
2500,1027404481.4503839,7252680.423028421,443302505.5288009,343080686.3179262,1524151787.1258469
2600,1028431964.3442748,7344782.507125621,432252606.5436827,342873387.8227856,1523238338.1936324
2700,1029568146.4065515,7421881.088574336,434152110.8415151,342563968.7788256,1506176128.3700979
2800,1031124113.3400831,7440205.43337245,424428874.12343305,342008425.8150129,1498462863.895275
2900,1030685874.0024116,7515445.113585459,422805146.82280594,341478114.8357311,1485070546.932164
3000,1033103038.2578773,7610080.188337643,414757438.2240323,340962326.2713271,1478888266.380984
3100,1033098195.1737369,7679580.8216030765,406392752.6829359,340591931.21446955,1472476786.879154
3200,1035438744.2592766,7779885.673922907,401481439.9189789,340493061.5145329,1459288029.9367476
3300,1035571670.8253392,7847826.767704266,401086868.96987545,339835386.96299756,1449953653.7460873
3400,1037181674.9508102,7974438.834327178,385248281.3647841,339215418.7375826,1428267458.173213
3500,1038385225.1540071,8084056.133761114,381456865.14997125,339242281.7094863,1424190360.9010549
3600,1040250308.434322,8195341.706759344,378339968.66740656,338606441.91540056,1416670278.8304203
3700,1040647411.1832695,8280872.136607425,380915002.9883368,338227051.7322538,1402225086.9522913
3800,1041512181.3733631,8274401.027661656,372233208.4122318,338074669.2005606,1401099584.4829068
3900,1043724417.5901891,8456321.67107334,364578314.4868485,337476510.89956254,1379903468.886003
4000,1043722658.8118746,8458733.608284475,363610166.16647506,337210145.82272464,1371522217.3543308
4100,1044803097.6757884,8631587.850741202,359741465.8367428,336593090.2768622,1374047861.0839438
4200,1045827626.3821888,8632812.588554889,352189640.0985562,336574294.9645922,1358570840.3364003
4300,1048416424.0883898,8718837.116918255,346536781.3578564,335902441.98485255,1345751919.9189363
4400,1049342078.3513288,8853702.527541893,346900270.08134204,335488168.03769904,1347192138.649817
4500,1049545416.4884261,8909972.871361688,342559371.1934787,335153637.44547707,1332938272.7851918
4600,1050758059.9429892,9049979.921781395,338824773.7126251,334774626.25114703,1320988614.3369806
4700,1052247872.3161663,9093344.575097268,333249138.56850463,334440986.80382353,1316159964.1261644
4800,1053189936.7364336,9221671.415274402,328976988.7574913,333771054.43069905,1300676554.2002041
4900,1054873023.017221,9352307.610913247,327598867.1823754,333436332.00742656,1299227833.2495468
5000,1055964418.8384818,9374229.49798427,319183916.8046895,333006791.87187755,1296143451.7401752
