milliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,1000592629.5698293,5576618.296882097,704239115.5090888,352533220.69983816,1874135056.3717175
100,1001017812.385131,5666292.954271736,688407437.1026002,352196031.4242444,1860117309.6206026
200,1001508043.9798551,5767447.801000972,672303877.8348815,352295353.03037095,1841913456.0225368
300,1003212906.7912617,5802315.051744975,650935919.1866108,351891523.16174,1826119807.3957808
400,1004774474.1219208,5886144.648952388,640376637.6031785,351150599.9838163,1821574940.8043163
500,1004585176.4268681,5901205.6251748605,631959808.4916908,350716307.6082232,1801767366.343473
600,1005803830.4755334,5975351.885389877,614531147.4540168,350528746.2725292,1778567847.3643649
700,1007043453.3403482,6022963.554377281,605181222.260384,350324973.2316872,1774206171.889866
800,1009201612.9272996,6094445.770531631,596077857.8577497,349958540.4156011,1745854705.101619
900,1010079727.8896167,6142641.306504707,581252984.3160557,349108321.4896378,1733183887.5819724
1000,1010640223.3320878,6216790.209324133,566183608.601124,349121787.4105208,1715891637.4667413
1100,1011278343.3701288,6246718.530879962,555297836.7732315,348318238.09189117,1717034516.421424
1200,1012465181.4290776,6313573.047094616,543669654.6650604,348268389.89015514,1704249429.8855708
1300,1013295096.1310525,6426867.502849695,537444014.6378051,347856157.14695966,1683888550.8676865
1400,1015022469.1951916,6476391.466043623,530643332.38269234,347599571.16704094,1674691882.5072997
1500,1016010200.2098508,6596796.804005814,518840482.73143065,346802049.63366735,1654452958.4821007
1600,1017524366.1763484,6639200.138480255,515352242.28506607,346786507.3793546,1642120872.3817143
1700,1018522355.2448112,6727636.833097986,500109328.62558323,346071273.880167,1624651597.1665885
1800,1020019724.071784,6730038.141878308,493164667.44629604,345861828.3455123,1611432426.672121
1900,1021118390.5834523,6838661.31680872,490946544.4184892,345690623.5026486,1600919335.9353077
2000,1021662415.5610071,6896333.844585061,481524621.1540381,345299630.0798916,1590365106.9941297
2100,1023120239.6212107,6967801.021426726,476072677.10767967,344481231.9160839,1579834879.688273
2200,1023797534.7490426,7075108.738650646,463145028.28427225,344118538.3769218,1564613278.591588
2300,1024294329.8020602,7164234.399634287,455679282.3999324,343787324.94844466,1550387618.838024
2400,1025846222.9992229,7209870.390249837,448721828.24523157,343236234.83272433,1543166076.931448
2500,1027234040.9072447,7286292.371697754,448881678.46013296,342818028.8438203,1532094204.6106727
2600,1027878446.7066903,7286630.958715147,432598074.0144774,342805305.31476367,1522587496.4522657
2700,1028475766.3853104,7425085.308854051,427430308.77206475,342271713.4446318,1504026295.793834
2800,1030823781.030734,7549500.006108308,422539061.6371912,341781617.4974451,1501772678.7180917
2900,1030683455.5231094,7619237.931360375,419377926.9573099,341630912.9703103,1489239450.7575884
3000,1032761244.4713596,7654687.697214577,415862081.6772251,340986875.38670784,1473962551.2203856
3100,1034020859.9296997,7696265.363691863,409608531.15101063,340446971.12431985,1469930826.8297586
3200,1035414390.7005008,7865464.145847203,401320108.3142887,340192634.805133,1456068809.7852495
3300,1036814598.1675025,7893800.7782806065,396807498.65532786,339697894.70617783,1446375314.1326768
3400,1037188896.8573079,7936869.443558402,387390344.1053245,339555894.1748726,1442666715.8762772
3500,1038463514.8879671,8029782.252554644,385735537.5109865,339113873.4762206,1422919454.982643
3600,1038875472.3952539,8148338.721689302,382094494.8555746,338758734.6410392,1411988163.8887978
3700,1039873143.4042222,8268446.51470398,373570521.56708395,338497656.0464508,1413940487.3918972
3800,1041974220.3962798,8339683.372107424,369197225.4871186,337685799.95976824,1404233337.2515204
3900,1042776138.7992996,8355279.146195739,370238185.5442173,337336399.5043463,1388577388.967479
4000,1043714818.834377,8488334.69204322,363411590.506957,337113474.2081501,1384730306.86828
4100,1045217872.5138749,8566250.203563705,361416865.33480686,336591795.6012238,1370064078.5283556
4200,1046364410.0833776,8687236.239954881,352610364.24487954,336327101.81176823,1358104557.6171534
4300,1048473461.0762752,8782100.550323145,351188105.0065558,335785951.33835524,1341482353.0588324
4400,1049008539.7371843,8819050.596289398,340099039.42138165,335774251.2366262,1340848453.412978
4500,1049885255.0400497,8915328.63533632,337332736.84741557,334874627.0933267,1336360847.5558665
4600,1051108775.3515629,9007852.23038475,340288371.3080194,334899230.2025647,1315392932.336493
4700,1051596366.9883816,9114037.247369653,329634757.83750576,334157149.6063719,1310678778.830817
4800,1053134141.7956553,9276635.552906519,330358564.3271666,333740233.20260847,1309985923.0691571
4900,1055120225.1478695,9299264.066273512,321504098.89631015,333292144.4102066,1294470517.5731156
5000,1055711118.8234144,9384363.727637274,320977265.98463553,332839553.9915915,1282965137.235816
