milliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,81018641.83421838,20126861.90619634,10508442.695096835,-354494.19578704523
100,75151460.97692287,17789552.4964887,10533266.657535722,9306642.184117248
200,68892388.51342577,16233627.24812269,10572981.44455343,18682566.415697582
300,63198115.394849405,14256267.816499708,10592054.025189392,25023122.23273197
400,58685052.76280138,13091771.499627667,10630206.592133481,32500893.435428306
500,54346905.27602131,11717412.951462382,10662915.21727271,38048572.745890714
600,51216818.35630042,10576413.33885049,10701116.893328113,44366440.39305594
700,46693566.2064895,9318657.194785958,10728306.050484687,51671121.95349249
800,43633693.19613833,8160441.960736133,10767261.022522172,55455683.19879827
900,42077478.47006401,7339978.236810239,10801859.895653326,61764550.299158975
1000,37490547.84233991,6606753.691098736,10845332.870547233,66207207.412701406
1100,35075849.11844103,6148174.976463956,10865311.619422259,70421870.55815983
1200,32071929.615499858,5544361.243626195,10894380.730128417,73634208.45549633
1300,30659916.11594448,4707536.641625484,10932355.778105829,76931046.3933742
1400,27811455.761968102,4567597.365318354,10972697.776753254,79688196.18292136
1500,26397200.793904427,3963966.201127544,10999306.04745905,83108533.52654868
1600,24891854.201780535,3649480.109814762,11025284.12978099,84755363.74633697
1700,22077004.88156028,3212748.9101953614,11032910.116406148,86990081.0802276
1800,22209708.233762544,2880631.3344687,11061431.222399667,92477402.35887235
1900,19466228.20490274,2470307.038011336,11076205.031771615,93142823.06077501
2000,18634397.870130926,2397345.070180262,11103708.832517624,94111038.75426008
2100,16414317.508677902,2084560.7266156527,11124220.224454492,97339088.75018914
2200,16686401.312664768,1638079.16590668,11129050.551141798,99692498.96563311
2300,13856374.1272007,1456648.1914834445,11150632.043403372,100797389.66375832
2400,12902443.95816225,1373330.6628932848,11157421.910508879,102906882.97419533
2500,12232576.73274027,1205789.7656467548,11165243.801289795,103536471.72074689
2600,11473813.551582057,1314926.8900815772,11174850.637304166,104363697.67752236
2700,10931111.932101356,1144114.2886546126,11173340.546336986,105958814.5819005
2800,10348909.488287596,983079.3903040495,11182751.1176779,106855586.05022089
2900,9926911.24040773,1083861.8664633343,11173566.581058087,108720173.82949695
3000,8736366.964279609,623715.2166271886,11166703.664935345,108032529.27788784
3100,8453007.69282628,566587.7897736197,11164375.687075315,110018760.09760183
3200,7818826.1026298,792202.3996813929,11152038.31944386,110924383.2967686
3300,6545189.724760336,679587.081453993,11142638.12093602,110958769.36719331
3400,6816451.208312278,669030.9910424887,11139772.859356511,112544976.3818524
3500,5513389.25395426,452709.5638315829,11127403.558594745,113442921.643241
3600,6177771.086331804,625345.8490559369,11108493.764147636,113621908.51580891
3700,5416852.463653774,124109.5024275603,11102859.055460805,111246600.69098717
3800,5831194.385589288,365847.4976932353,11072516.19232916,112366495.80309527
3900,5359937.673888639,420083.56149797334,11054180.17376293,113746658.5263521
4000,3815380.3033996765,499998.6581235471,11037930.185171787,113134033.39243929
4100,3179733.1526882877,377996.9922631723,11022049.627202874,114069047.7079601
4200,3437718.1453320575,6494.223928206135,10990230.66803137,115200171.1344611
4300,4241309.952971509,354535.1831313474,10977836.56237336,113773728.96687485
4400,3124157.500850853,385804.230176955,10957913.421336126,115769479.87848987
4500,2761445.6426532646,140455.9666695246,10930516.95315199,115556030.93638578
4600,1715940.93947179,-71489.46321458719,10888467.796441322,115285460.69090493
4700,1846144.5260538752,264946.61374792,10869950.17433514,115351218.47250031
4800,3358430.7096347082,212954.99174763335,10832214.038398014,115020362.14327991
4900,3233557.9008463062,329996.2957531287,10799567.579025896,115961356.37290153
5000,1626381.1661267588,21403.785594614586,10785232.421764776,115112017.6806878
