miliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,80884748.53000873,19882233.30734334,10502565.143541913,314514.2554587615
100,75240473.6327005,17740954.109677605,10527726.387076916,8909748.343498101
200,69263058.4653997,15914410.326708414,10561179.007571891,15867810.807429068
300,64094784.01140797,14578623.178121751,10588874.198368788,25129764.67271969
400,58720579.49267592,13057509.035997078,10630232.120421242,32006340.74890373
500,54561662.993113466,11761655.151505165,10659377.472704872,37737146.54290932
600,50696067.92966146,10295670.891821314,10711243.194497671,43723002.92358212
700,46976770.36577234,9057180.028119115,10742031.427295472,51177077.7093702
800,45433509.225380816,8310657.333301757,10767335.30817608,56497378.887658045
900,41120352.74958956,7289152.794871338,10808408.939210605,59439962.299511656
1000,37554265.42625975,6898145.677785815,10845320.537372563,63733692.03201173
1100,36381332.8605086,5973259.1265979195,10871858.880425189,70487833.0741062
1200,33740126.124425255,5484178.739496136,10913086.315951848,71834171.48238163
1300,30898158.548355456,4743816.336283349,10931904.728971979,76201330.68851346
1400,27859277.849870216,4161409.8647370227,10963902.309986804,79274885.50916411
1500,25552804.241519023,3826027.82589205,10997842.217781506,82961167.85308659
1600,24524897.565161552,3497395.7238578657,11014625.624244913,85530751.87590718
1700,23907987.998669896,3036528.719217405,11033109.202737829,87375900.38882768
1800,21345179.052816063,2765205.7832316165,11058390.060593354,92049184.21977574
1900,19919493.981242783,2323442.324220756,11093681.936428564,93971725.9743049
2000,19264479.05815141,2304204.458919823,11110380.381296117,94709740.8014121
2100,17974970.04121226,1833614.758945639,11111234.935622402,96419720.28161389
2200,15241258.60110984,1763064.226755944,11129471.89042092,98021239.4889724
2300,14437052.182599705,1536958.490051154,11150444.045907669,101804075.06812473
2400,14061004.087721406,1242503.4992296984,11158425.06224544,102180241.32444714
2500,13273999.136569027,1131894.5719758926,11156163.794240836,104123753.46716763
2600,11723794.452809157,1399794.1735364161,11163175.910168717,103976984.04063801
2700,10298103.47426232,874831.6081111797,11172952.140523972,105090996.45065834
2800,9779787.679612203,1047579.928655188,11177069.530257948,106361113.81941675
2900,9087649.342702555,772237.4227153158,11168995.467606537,106821602.71204454
3000,9640247.997871943,757879.0800555652,11175843.433374334,107074991.08725055
3100,8381286.975220901,472227.88387933857,11162729.98024598,109795203.9379935
3200,8136659.662300378,749564.5311263817,11163579.22023312,108882440.1178142
3300,6076889.44974722,686540.288997374,11155552.634769473,110789722.89012368
3400,6772398.917333013,430054.12496951653,11144329.278744789,112200899.58849601
3500,5535575.778600455,326902.8309848221,11133702.254782198,112236795.83185887
3600,5683974.091237696,534232.9574861606,11117760.159745706,112637760.65037525
3700,4332679.041638508,451200.34479309316,11107466.609579865,112997083.6209523
3800,3830988.9388603605,411979.0168520415,11077001.833039943,114186296.93043889
3900,4085699.9717199933,205332.37574137805,11063455.346876057,113774011.9922352
4000,3806411.506897247,121468.83754257197,11034548.704926332,114483520.89618494
4100,3653808.572984044,230093.88046601528,11014928.102988007,113915965.65225928
4200,4542898.186982667,421088.9823597494,10999376.01134344,114562348.95401594
4300,2671097.8973580636,-4351.246618026402,10975634.413173655,113568294.50612704
4400,2458339.390970175,245130.8575768075,10949154.72512477,115986239.03240114
4500,2412313.73325603,-12680.160391611193,10913984.035993584,114594409.65520193
4600,2974076.62289947,-85450.18271565501,10903676.139278386,114594080.9958334
4700,1733400.6193968966,178031.49977319821,10871653.109840756,114932489.76102585
4800,1549992.1003217357,121621.60428697054,10831562.479870291,116217589.13911706
4900,2112266.9865761646,135579.87202120695,10800365.172595527,115567353.68185845
5000,3025976.5640420276,18666.03400138153,10769568.36090614,113820459.27980159
