miliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,79097948.0342708,19971959.45955657,10492338.570791105,-1458377.7862164548
100,73370715.24979594,17728043.917818673,10529947.303649066,10432290.294170348
200,69809481.06922655,16195747.833921798,10568917.55870046,16078048.947331375
300,63956818.32152946,14517164.020746393,10600652.214131935,23934777.35004012
400,60178087.35342198,12635855.024741711,10624996.125899384,31442187.826686244
500,56105561.88945405,11748783.525530837,10670107.363379419,38130702.41092837
600,51113201.338223726,10502017.20173666,10707183.138320055,43744969.1371806
700,48662302.38864861,9460302.937724484,10730998.843827182,49141474.52372905
800,45353069.67391526,8118012.0821000505,10764132.89796943,54444444.402631804
900,42232250.029574625,7333984.856038648,10798928.551888628,61029874.689912856
1000,37864861.45475915,6573448.400108267,10843175.545505885,64991025.70602296
1100,35853209.90689439,6036795.900869001,10873512.810021149,70288069.72503628
1200,33013874.693661783,5449383.694266176,10909632.706369426,73117036.92775285
1300,30335994.31805047,4803319.036636869,10932127.822001208,77177365.49771325
1400,27820231.344548248,4303073.668554314,10972173.045713397,80700718.76357935
1500,26951933.066967167,4059104.20473971,10994880.550567051,83271793.9990614
1600,24439377.18165837,3482074.4129846664,11012917.159651043,87142456.53883466
1700,23084077.33684578,2928354.702207465,11046966.788962644,89649756.91987777
1800,20618241.606870595,2862531.313261853,11056582.634115763,90827896.82621326
1900,20217909.139131766,2535250.469403967,11086358.057251742,92963976.05254833
2000,19324816.940919288,2072021.3219036176,11100732.215442242,94734142.09205115
2100,16061101.360971877,1890808.4396187786,11125950.295466261,97306488.5240052
2200,15385133.28642792,1644997.3830982936,11136790.937960923,99100657.22989534
2300,15554406.307317035,1567103.7392505994,11143604.710876543,99482169.53314753
2400,12770289.951746928,1397190.1031433349,11157343.972846767,101091931.83545545
2500,12216861.090864634,1120710.3076908616,11166748.779299192,102636293.7553176
2600,10764699.696637578,973740.660707077,11173065.178551042,104391261.79818092
2700,11433920.616077708,1053676.3867717276,11177761.857896963,106855546.40284757
2800,9933727.013873167,893562.7052697174,11171397.24397479,108131708.44786015
2900,8789264.31245157,757652.3236808069,11179332.549407376,108116995.77600221
3000,9006807.64614595,736813.7219163013,11176298.322802719,110103309.91225193
3100,7545184.46767901,911287.8992371161,11167757.795295248,109089811.88449885
3200,7815920.882962478,734998.9798612901,11168960.6336846,108670446.79802136
3300,6668474.547078247,661033.2070794279,11160996.785436591,110222069.93883294
3400,5450373.322164383,638072.5827205087,11135673.240329705,110992298.4083134
3500,6047967.202136672,219683.9580746222,11120536.347054167,113147668.78854321
3600,5244474.157359598,549705.2360384936,11117311.982765015,111449582.69291158
3700,5512891.286499783,294789.0121616946,11098015.929887872,112564743.01135671
3800,4785446.787976225,528624.0518045994,11087386.309903765,113163032.66354261
3900,5293904.325609351,319618.20373189915,11053224.72731574,113567954.67912449
4000,4368784.494940084,22847.681056834263,11049028.21363756,115031724.39648215
4100,3961891.733978486,298275.5251742303,11024312.987276174,114979902.31882776
4200,4379058.9882134935,239827.79554179034,10989711.496771686,114574593.20816286
4300,3380572.423896467,-2846.58200146124,10970406.806030083,114325875.1875225
4400,2304204.5177171985,68320.24023602039,10955633.142356016,113543553.3833609
4500,3425236.315760888,377419.8299419591,10916206.92091755,114776412.43891077
4600,3040832.9589176187,273308.7884724573,10897539.805338332,116117908.03496167
4700,3425006.019059575,367946.2291892563,10876917.947069211,115776172.24122047
4800,1655609.8848497977,90065.91586778642,10843339.126934543,115839584.66986355
4900,1724487.8065301452,67054.98327265019,10804520.944161516,114602861.90484871
5000,2896368.5253635067,209801.07306433987,10776692.667323017,115306613.64147986
