miliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,79725834.95807399,20221389.366468422,10505027.598763013,-1396328.070994955
100,73950388.30502407,17682106.38592187,10527583.88761474,8634714.519925373
200,68722268.30253796,15961989.50796787,10559586.651810387,18082155.852301262
300,64061002.44802125,14560924.630489705,10606729.159037989,23703727.74361518
400,59421540.672576755,13115004.580825489,10629283.307481265,30914853.1233863
500,54261901.19671976,11626248.202318339,10670134.3656662,38353824.32861657
600,51706986.33293469,10129848.15659415,10705442.237308688,43109492.57202871
700,47183818.69921624,9038400.160015425,10732534.285213046,50042899.54073567
800,44884443.87514731,8176244.877163769,10779885.78732136,56346149.67853398
900,40557445.150540344,7675605.349605005,10798758.909465123,61122947.40267363
1000,37413700.80496178,6695074.822126621,10847642.069181832,64720814.18660107
1100,35577121.75695084,5890285.676604161,10873473.089603795,69101110.59338307
1200,33590537.25924903,5566439.504843637,10896055.032681923,72538738.35569094
1300,30656053.15662761,4623254.407605844,10940627.916388115,75094391.02953488
1400,28252811.535502456,4611101.780889729,10967732.203001292,80497976.10183719
1500,27576702.95897424,4060977.6519085416,10995463.15198798,82862075.18309228
1600,24271508.74339517,3743020.0157120815,11010491.794301722,85548776.1237087
1700,22590921.846974228,3132980.1540909116,11046163.846003026,87781202.29456326
1800,21027819.486765362,3045004.713138949,11065178.48446287,90866472.78337881
1900,18999537.7604794,2596604.3098272863,11093536.368154285,94071920.00281566
2000,17674988.047004584,2481136.7447586562,11094155.614114938,96594760.40182938
2100,17980847.963105213,2013535.8779993632,11126821.0216798,97662425.73776717
2200,14750793.735907076,1769850.1678385434,11138766.866209073,98058278.94530082
2300,15046122.828237506,1880127.8543790006,11138953.242806427,99227879.08626266
2400,13947277.604765873,1310603.2432803342,11161099.31958872,103411394.23442201
2500,11645423.308375949,1162158.5477401097,11173507.97514312,102421620.76210967
2600,12330299.958504055,1317086.9470615224,11160909.400685346,105900592.01940048
2700,11817042.923794353,1080228.0517687693,11179629.337503426,106709610.25317973
2800,10440294.568607893,864649.9931096866,11179175.523352696,108195531.83778945
2900,9725302.375127666,662844.3829311148,11175505.647122579,106982905.82333866
3000,8908079.37592335,532867.8496711999,11181467.338502515,107078181.49113844
3100,7820007.53837548,787103.1033759023,11173581.881577646,109306956.72936697
3200,6919645.490030697,506450.86189521966,11151393.92869898,109864727.747244
3300,7198949.059365683,548607.0037858114,11145424.77502463,112107433.91294916
3400,7510646.618225518,258867.91744839327,11136731.48726817,110214538.58923846
3500,5704827.801138654,626875.1832320434,11136945.203448325,112038067.91773176
3600,6616015.501813965,637144.7732941713,11124180.314433593,113242404.85288623
3700,5556995.0098768715,509439.93664939003,11107558.659494214,112835299.10398102
3800,5939289.193686896,378094.9332072454,11081956.981737232,113610741.5592981
3900,4730035.142706957,395795.43772960175,11069163.082348526,112891072.47073546
4000,3806010.985396562,249337.68351306158,11042852.127972068,113467333.7158934
4100,3202935.8541393103,187807.75303265158,11022046.39893598,112615333.32922831
4200,4086335.104469625,281853.7219792831,10998687.486552207,114848872.5539042
4300,3259700.7923229258,-37429.10265522814,10965940.13489716,114104045.52573921
4400,2965113.4121766943,23379.173836106696,10955286.155387202,115154563.38100667
4500,2424031.540963127,37668.485963507555,10928519.39350754,113927476.54086189
4600,3203772.438387587,140978.97497083744,10887128.58665757,116021629.33793211
4700,3344602.044730371,-107028.33246930083,10877163.325872105,115220656.1457862
4800,3413423.954263691,350706.05926513905,10838620.47667565,115081835.30191445
4900,1908932.3426116663,-91222.98146714065,10808825.02867178,115899259.71586609
5000,2598387.155489371,333455.1979214584,10772744.89600829,115735180.03832632
