milliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,79317451.19639847,20096834.918667752,10499818.899440013,19409.85057328861
100,74137995.70523423,18029682.102524936,10524508.909412706,8675961.099517811
200,69997503.43512724,15787999.534815412,10560249.548061043,18494532.0658844
300,63825198.836918585,14365975.846680773,10603701.443075776,25674247.484917384
400,59301105.2900245,12841725.668309698,10634695.266458225,32865343.389027387
500,55993710.98424746,11770109.97327242,10675701.154722279,37643495.44639165
600,51330379.90676447,10222089.564767795,10709644.098076455,43306800.4150239
700,48174387.7040776,9233680.035592152,10736111.903068405,51199942.63043653
800,44418370.64890475,8310595.993957136,10773222.552349906,57036404.650406465
900,40405583.8168784,7369257.3563326495,10814610.040286232,60095368.31880318
1000,37843401.804513276,6790507.1089896895,10839243.084458863,64310256.478798866
1100,35171464.68820873,6116373.030816974,10865737.105663838,67920367.95834513
1200,33450083.90464863,5583935.612321718,10903949.002224764,73143736.3835336
1300,29779102.272399772,4727112.9796587825,10938892.311192226,77065135.7656363
1400,29162791.77282653,4534605.556843024,10969606.164184835,80624327.28388709
1500,26750751.35499433,3896974.6949110636,10994454.072495854,82447453.91556083
1600,25276345.093984768,3358456.5213805097,11025742.953673864,85972938.12121199
1700,21917446.735160958,3093560.1213985696,11049739.971254215,88446404.19006804
1800,21279766.939026345,2625390.6569431284,11059050.487903126,89508264.74238668
1900,20676096.79514873,2656922.713846788,11079417.426600121,93408756.68901242
2000,18978819.785499327,2539847.408665151,11112682.427075,95565735.55084565
2100,17372158.7054908,2086148.1304287065,11122140.347451823,98272127.47313914
2200,15686561.87552928,1685539.530253271,11142708.513621472,100093906.80584337
2300,15440532.57429783,1457266.474782448,11153580.1287515,101906454.78592098
2400,13437101.39860104,1276527.955539401,11161390.078473156,102540011.41580765
2500,11915791.199547619,1403391.7856343607,11163116.03917027,102889002.15778081
2600,10734072.685483363,1174609.7737486607,11172942.591908673,106043646.71247527
2700,11109501.961374741,1192456.0223971452,11165599.866519712,104842471.30587211
2800,10621502.985070206,1096391.956885596,11184701.608181812,106270191.24534982
2900,8526840.474694703,849266.5289369877,11178165.46288327,107897029.59733458
3000,9116123.703050269,752031.2807692515,11170425.583779039,107548147.14354378
3100,7702818.237285949,665961.5811830673,11174084.752818285,107820213.05825618
3200,7770929.694393402,802269.7861324623,11164518.791325863,109566614.67881452
3300,6767436.831310624,472990.0850563517,11158879.250207331,109526302.14812528
3400,7112485.081287412,398941.5489945711,11139549.608458651,112549430.89590031
3500,5135912.722945198,317846.3467531411,11132120.064551583,111598884.84575029
3600,6647689.162421693,216071.64127623354,11113597.95047153,112947096.27268445
3700,6215816.965982347,590272.4142121454,11092715.81680339,113102397.03160176
3800,4751333.817506909,353058.1629492463,11075897.44822251,112558862.52802223
3900,3559035.1117088846,333820.18915805506,11061409.889902677,114198246.80077714
4000,3756394.296867971,322958.41728455597,11035572.169128768,112737164.8579781
4100,4390167.139230895,1678.3058182770037,11023466.718993634,115493636.6571629
4200,4283630.766042283,225303.77764293127,10998448.268146636,114633240.19515963
4300,3979842.4196422123,206979.15740698803,10982356.696603725,115935732.3300666
4400,2436662.104446982,72721.10741845869,10956475.739935359,113523646.93982415
4500,3384214.6773906155,280217.2633225476,10921745.657766122,113315945.82051702
4600,3682918.074375288,389618.4558760795,10894129.00177125,113967749.78623687
4700,2896141.9561396167,307227.68847416167,10858697.55482728,115562037.11013387
4800,1961787.9531527243,37667.78437504571,10835095.843257876,114754745.72111735
4900,2379093.894146884,-12688.177489071677,10817678.946141645,115976925.05369344
5000,1586637.7862567874,286723.48902076605,10774228.395152936,115846481.12514022
