milliseconds,II_f,II_l,mIIa_f,mIIa_l,V_f,V_l,Va_f,Va_l,VII_f,VII_l,VIIa_f,VIIa_l,VIII_f,VIII_l,VIIIa_f,VIIIa_l,IX_f,IX_l,IXa_f,IXa_l,X_f,X_l,Xa_f,Xa_l,APC_f,APC_l,PS_f,PS_l,VIIIai_f,VIIIai_l,Vai_f,Vai_l,PC_f,PC_l,TF_l,TF_VIIa_l,TF_VII_l,TF_VIIa_IX_l,TF_VIIa_IXa_l,TF_VIIa_X_l,TF_VIIa_Xa_l,TF_VII_Xa_l,IXa_VIIIa_l,Xa_Va_l,IXa_VIIIa_X_l,V_Xa_l,VIII_Xa_l,IIa_f,V_IIa_l,VIII_IIa_l,Xa_Va_II_l,Xa_Va_mIIa_l,XI_f,XI_IIa_l,XIa_l,APC_PS_l,APC_PS_VIIIa_l,TFPI_f,AT_f,IIa_AT_f,TFPI_Xa_l,TFPI_Xa_TF_VIIa_l,APC_PS_Va_l,IXa_AT_f,Xa_AT_f,VII_Xa_l,V_mIIa_l,VIII_mIIa_l,TM_l,IIa_TM_l,IIa_TM_PC_l,mIIa_AT_l,XIa_IX_l,LIPID,alpha2M_l,alpha2M_IIa_l,alpha2M_Xa_l,AT_XIa_l
0,1403.6689985274877,4.39450144016542,1.4956706428946563e-12,-1.5321033464882326e-11,19.971703591726094,0.21543089871341717,7.148021152782238e-10,-3.0574878618583494e-07,10.037340809520073,0.00538948697076379,0.10016950578808817,-0.0006915215751651014,0.7090458548560847,-0.0001574132256740112,8.521442545548177e-11,1.014950774782469e-09,91.06426126269324,0.9643838972733555,6.036179301224054e-09,3.6593526997054773e-06,169.21353811151496,-0.6653211689633687,-4.6287431202820094e-07,-3.398219270544973e-06,-1.9348000548005412e-14,6.125324728930661e-14,296.78551580710496,-2.161928835863097,1.1691410392715798e-23,4.851624466818375e-22,3.1513856247779166e-22,3.7745933131819357e-20,59.81762213048969,-0.12704679638797303,0.004994007077756576,-1.2054864877257467e-05,-1.4286409359819439e-05,5.799669943698598e-07,0.0,-3.637857750519364e-06,-5.113900033144418e-06,1.6739851867461756e-12,2.0615242470608263e-14,1.0802331863359616e-11,-1.6053932886150656e-15,3.923009476796275e-06,-7.940021953680899e-08,6.203032639225827e-12,1.8129520616796925e-12,1.0829433251080371e-14,1.5312012380141118e-12,-4.730374484489287e-13,30.00000000000366,1.9620232384050388e-13,-6.556179164502198e-13,1.2883939159462588e-12,-2.208877677036234e-21,2.4999999828398027,3400.000000014438,6.480396728249357e-14,8.294088230320054e-08,3.049296411057731e-13,3.133175892528961e-19,-4.721479708124157e-12,-1.7809677765142895e-08,2.5638846838902264e-08,-6.632893049271059e-12,1.9628849082749663e-13,0.9999999999968099,-1.2378869119315697e-12,-7.848057115424056e-14,-1.4471524870540646e-14,5.2231914878588764e-14,168538.44986806775,2599.999999992484,1.2943160931673606e-14,6.79768825403154e-09,-1.2138880095989292e-15
100,948.2019938389392,450.9515736955558,8.21192030861218e-13,-2.3433691523497473e-11,0.36096687168179614,19.5175767492378,9.480926580688487e-10,-9.902398465541968e-08,0.32780331458798256,9.721979030665466,0.0021387320977192662,0.09801039736157631,0.005676240936721565,0.6949358452245741,6.113215637253722e-11,8.28786585060581e-10,1.4962071964908008,88.32735505555321,6.464946907115725e-10,3.2140934789139427e-06,74.71115794551258,95.55961386326777,-1.1095332337465713e-06,-5.222897452264035e-07,8.651547181075425e-15,8.50119711786631e-14,2.136098403198025,293.3870743006355,1.0579789691118713e-23,6.141157496569196e-22,-2.1595410314511743e-22,-2.065449850007102e-20,13.920389339522611,46.00543301774591,0.004940541360709139,1.534280647773184e-05,3.833742986886854e-05,-3.051915481614626e-07,0.0,7.21579240520025e-08,-2.293951694990686e-06,-1.002710429515885e-12,-1.7323348763279243e-14,-4.918889447954791e-12,-8.186725304005562e-15,-3.7070008053789516e-06,-4.277831156877669e-09,5.778537290403611e-14,1.6881763537509776e-12,4.5257311749982236e-15,-7.171665292209775e-13,8.895495765104291e-13,30.000000000000128,1.5205374527831118e-12,9.086203524998499e-13,-8.974436527367534e-13,-1.1343477270521038e-21,2.4999999852876122,3399.9999999883876,-7.93164227508841e-17,9.519810712100715e-08,1.438861327368172e-13,-3.675394249054361e-19,5.0689594215120176e-11,5.944937252015572e-09,-6.484246535446556e-10,-6.29687698606927e-12,1.5881194226067905e-13,1.0000000000012523,-2.26032246499402e-12,5.595592028370849e-13,8.118508559723532e-15,3.1082367962340126e-13,68293.83833279507,2599.999999993751,-1.1439130675963028e-14,7.348380925860996e-09,-5.076664098218944e-15
200,798.0869632127551,605.8615661722572,1.2071402917147197e-12,2.0135321967880136e-11,0.24695078389989092,20.10982800798286,-4.544436816084746e-10,1.8611726916980959e-07,0.24555509409739334,9.698074694832812,0.0013111381574930393,0.09817898259554975,0.009777122581890549,0.6954022249157791,7.92461572003114e-12,6.240096490606269e-10,0.7844303296921883,88.93541955058451,1.1313577211072281e-08,-1.9191248027867877e-06,57.54455349396869,112.37721466210778,2.960763490543065e-07,3.108901860163377e-06,-8.061612359917199e-15,1.896946729689177e-15,-1.3850175956882476,295.66758535137353,1.0618959375891354e-23,-1.9242152033795568e-22,4.3511671062532475e-22,-3.3108320380161853e-20,17.947656945273813,42.03951067562213,0.004890199379923068,2.0963634924655185e-05,6.13992642857832e-05,1.3599669095354695e-06,0.0,1.285293007698426e-05,5.210036245551036e-06,4.424136624628124e-13,-2.023848922056292e-14,-1.2344368809357787e-11,3.5326342813599315e-15,-6.238704078394205e-06,3.977029454066251e-08,8.789898410809818e-12,1.3777663069173409e-12,-3.559159672473486e-15,1.006893686487928e-11,1.0448217339502562e-12,30.000000000002593,-1.41565955529022e-12,-8.087052028483185e-13,5.364137434466136e-13,3.058005013887983e-21,2.4999999859976,3400.0000000068235,-1.8372525211336936e-14,-4.524007812766646e-08,-4.122638922689842e-13,1.9212075236384123e-19,-2.2980015912438794e-11,1.0938872606394492e-08,2.9664488749932836e-08,1.5316373524316018e-12,2.233062350007439e-13,1.000000000001669,-7.2329108918889e-13,-5.839562816773275e-13,6.504728244145096e-16,1.3440587071490688e-13,51036.43705205766,2599.9999999978645,2.844648530478607e-14,5.874756413337372e-10,3.307415187957209e-15
300,706.7824802183844,691.9819949169718,-1.3954941895677194e-12,2.6999804370909855e-11,0.25475449975054776,19.610935990399216,2.001359454797381e-09,-3.507604456586166e-07,0.3543824913724989,9.591562916448432,0.0005831292186260101,0.09940187806663044,-0.001426106794443003,0.6906566843454185,8.173884536673165e-11,-3.5583323369857627e-09,0.8299289808558692,90.37992875398697,-1.863555244833114e-08,-2.753118090887673e-06,52.540707416311044,115.69518113215142,8.27684680484948e-08,4.022950426542988e-06,1.834246729173424e-14,-7.262146574192812e-14,2.033116591054718,295.9973211142192,-6.022127437227624e-24,-2.882390812974994e-22,1.6260415901820198e-22,3.530034032605082e-20,20.035482052947454,39.62404278750009,0.004832412196086771,6.031860160020104e-05,5.3182785963291534e-05,2.4742461383823602e-06,0.0,1.7748285448789043e-05,-2.7459713811278477e-06,2.6576569459686836e-12,-2.1689693818020557e-14,-1.6162109504882445e-11,-1.2861878182381014e-14,3.721890493417879e-06,1.3455745295777086e-07,6.203929316177176e-12,-5.855651660522839e-14,-3.5995599448944315e-14,1.1249102309038984e-11,-1.8240522003163624e-12,29.99999999999904,-7.763882653002841e-13,-1.0079389700796192e-12,-7.251525052519899e-13,-4.2270703706114235e-21,2.499999964710993,3399.9999999899783,5.1213576444408745e-14,-1.0990346939813676e-08,-8.015978252943068e-14,-1.9369922960191468e-19,7.367779228412822e-11,-1.9213353536916065e-08,2.984679112417931e-08,-1.1759583221377633e-11,1.4064907289698703e-13,0.9999999999964969,-2.610373866076686e-12,-3.414502767782234e-13,2.355056381434965e-16,2.0102967297246204e-13,42008.62328635965,2600.000000009005,-5.207510082458097e-15,6.304146455768243e-09,4.36914755233489e-15
400,645.7162107392771,740.6410656085653,7.62081450994293e-14,-1.3522245945994216e-11,0.1634137785160676,19.675512549715556,2.3352187621216256e-09,-1.5112885284390173e-07,0.36641331310930003,9.638895489222335,-3.0958248865642054e-05,0.09953229449286122,0.01018663256639928,0.693855674632903,2.10011370512883e-11,-2.4677405735905394e-09,1.7363379682904283,89.95579191266847,1.0121618077492075e-08,-4.538074674678719e-07,54.87111662040906,117.6133462633742,-3.041937621436085e-07,4.177198867293855e-06,1.3076803350702431e-14,1.1255687430229701e-13,-0.4436044837304496,298.3548202179684,8.81178845969147e-24,-5.062836932486964e-23,7.218246869416608e-23,-5.411921539403115e-20,21.773813437798808,38.0956416570066,0.004844200507773372,5.174652364071718e-05,8.994701170375592e-05,9.76482637766561e-06,0.0,2.3111629856328338e-05,5.060442320795047e-06,3.658459225041092e-12,-9.958946359450893e-15,-5.246882870054627e-12,6.400598721169967e-15,3.439283829988147e-08,5.135489168187633e-08,-2.931385422141858e-12,-1.7307739935995925e-12,8.702110104747854e-16,-1.2807840212876282e-12,-5.1124978605492e-13,29.99999999999786,-1.2399259521249077e-12,-8.336897724069553e-13,-1.4683919413132359e-12,5.1881462026213107e-23,2.4999999677275357,3399.9999999859087,-5.608397777346558e-14,-8.130172033254312e-08,-2.2487104107037168e-13,4.262310234882054e-20,2.408136497396984e-11,-1.4095653072555864e-08,-4.2717686384886155e-09,-1.5813325193341573e-12,1.6738541905903424e-13,1.000000000001235,-3.394504884729858e-13,-6.234122628270454e-13,-1.60724299746012e-14,-2.1819883338978475e-13,39555.3262156674,2599.999999994761,2.6791121241754804e-14,6.0419230690632415e-09,-8.856065131744484e-16
500,631.8789126615845,780.8373943467681,9.421168576206773e-13,-9.247722040320003e-12,-0.11771485822688443,20.017328529250282,-2.065143524430318e-09,-8.391959350766887e-08,0.44953425861067664,9.67736579167168,0.0021053975807454363,0.09742767384464322,0.0023731633485896014,0.6895277127060225,3.669560637161725e-11,2.386516169092472e-09,-0.551765978497197,89.05570515577746,2.368336530440389e-08,1.4102548617471584e-06,56.41719446498296,115.07968145918795,1.6940936297820593e-06,-6.799787255165385e-08,-2.066651913938339e-14,-3.281743565721649e-14,1.7199408078566498,296.03423588708733,8.637558634889038e-24,4.280277511128789e-22,1.5208024055614853e-22,5.2836251588978786e-20,23.107253698475,36.63981566654748,0.004812026233202396,7.607283788682362e-05,0.00013233582061873282,1.4030933587497441e-05,0.0,2.757802323225622e-05,1.0432407030614852e-05,2.7970813063455933e-12,3.607067110646944e-15,1.5213923317504138e-11,3.5306798811741004e-15,-2.8220186562264947e-06,-4.535583671563089e-08,4.822775056014871e-12,1.0537094637870256e-13,1.0116625675913422e-14,-1.0758203244411142e-12,1.8159158750016764e-12,30.00000000000169,6.516167235474286e-14,1.3338436130891172e-13,-2.82042279372358e-13,2.7174166045270853e-21,2.5000000454373064,3399.999999984942,1.2261927805298518e-13,-9.051864502406726e-08,-1.4141346069840394e-13,2.744288566425475e-19,1.1907226103138157e-11,8.468078999812131e-09,-1.3446610287928458e-08,5.785178107869058e-14,-1.7462922819725483e-13,0.9999999999971348,3.346979120646774e-12,9.390632470378164e-14,-1.2127998325680021e-14,-1.1716209599814377e-13,34378.195113417096,2599.9999999925108,3.320032650669892e-14,-2.409802744583025e-09,3.467129158981992e-15
600,612.1412738685525,781.6399461196897,-1.4695445138244103e-12,4.3809886531934016e-11,0.28446623845766517,19.762010480816663,-1.8117816183911495e-09,3.7206183123062053e-07,0.47267602759770183,9.608891202596805,0.0007382645653977019,0.0980662516764268,0.0077700081538836,0.6967188139366295,5.456586684512808e-11,2.9817231280295805e-09,1.6800031592759228,89.49157243744803,-1.7455632042095294e-08,-2.822647154609828e-06,57.018942451889316,114.11373833586416,-8.371374139335643e-07,-2.9422549056448428e-06,-1.2518299043858578e-14,1.3464989487391492e-13,-0.20247561076666587,293.7376298248979,5.518970763211423e-24,6.299092054635084e-22,8.593525850792293e-23,-2.3716946153210176e-20,23.661067411488062,36.397991595862635,0.0047107103337641594,7.682508695967242e-05,0.0001360194972019586,1.132437135825721e-05,0.0,2.616789707202764e-05,5.13986978566043e-06,-3.6144204532063226e-12,2.454003268216709e-14,8.949132717494659e-13,-7.49675282966023e-17,3.3729726926207652e-06,6.540072744954391e-09,-6.395140958408983e-12,-1.6175451813277646e-12,3.205782642079695e-14,4.99666680084047e-12,-8.704157028803161e-13,30.00000000000191,7.435004746527503e-13,-6.739136939331401e-13,-3.3321512962977753e-13,-4.0645380972014425e-21,2.5000000441370323,3399.999999984457,5.557967136430516e-14,-3.623950391838954e-08,-2.338625396465825e-13,2.8269554481783625e-19,-3.425135259192732e-11,8.262128750488394e-09,9.287443713922469e-09,-1.2354629006382546e-11,3.153583387788984e-14,1.0000000000010216,-1.5895519279399044e-13,-1.6331440947478066e-13,-1.2216368737347348e-14,-1.2843816204775988e-13,36345.30595738999,2600.000000007473,1.6013744867282023e-14,-3.6355485419580408e-09,-2.8017296208503627e-16
700,592.929802700658,806.0040893522722,-9.957959357514403e-13,5.615161747052111e-11,0.38300905446835076,19.795705434364507,1.6462910598598366e-09,2.750437256146368e-07,0.47016329727829315,9.611122996505811,0.0008722192358064174,0.09789650302556248,0.006954975236055845,0.704136258655846,-8.310513400691317e-11,4.1366766147675e-09,-0.40322861367207363,90.02909329747767,-2.2911524926162495e-11,-2.4397404714083225e-06,57.40231708774234,111.20663961755865,-6.081637302540395e-07,1.6854417379695528e-06,-2.0391444537546183e-14,-6.000404809044261e-14,1.4212511575241296,294.59114574146486,6.803750954295033e-24,-5.347860010107129e-22,-5.936568744979253e-23,-2.2149556937180786e-20,24.447456999278796,35.38182676366661,0.004689849272277673,0.00011021260001672985,0.00017770356231715096,2.3513386035340043e-05,0.0,2.9748812362233882e-05,1.610387162420927e-05,1.0549667527494925e-12,-1.6037970806315573e-14,-1.0338396673364675e-11,-1.1753539334440058e-14,-4.2888801110534665e-06,4.21547835001221e-08,-9.005648372960044e-12,5.804432834128096e-13,-3.692262989613446e-14,-1.024914105213244e-11,-3.565657830738083e-13,29.99999999999799,1.711407330887783e-12,-3.616315056222606e-13,1.9280475261867427e-13,1.1486348661332266e-21,2.499999942343748,3399.9999999891393,-7.258333694533211e-14,-4.573001985215368e-08,-3.725237877381582e-13,3.372539307951077e-19,-6.144711007301414e-11,-1.8233707697954595e-08,4.123042567472339e-08,-7.75523445771704e-12,7.630229074144609e-14,0.9999999999970718,-1.0365998423333346e-12,-7.90958986022615e-13,5.867907054647538e-15,-2.2320586005363467e-14,32978.6769403547,2599.999999996622,1.585805945251203e-14,3.0002072227720104e-09,-4.927599510605184e-15
800,588.1973423563766,795.6600715336372,1.3623134451161217e-12,5.656975694971331e-11,0.43035727238470123,19.868561454272797,-5.760209746773785e-10,-1.2948360569117277e-08,0.3528118779313654,9.626603435898947,0.0024022532890774955,0.0988470422954363,0.004842803957778733,0.7044304638078578,8.222014281052918e-11,3.6100725633601615e-09,-0.11817248724901153,89.8339477471458,4.165397900435042e-08,-1.4048369179678678e-06,59.769415237082065,109.00295063642047,2.150321583078001e-06,3.9268976021341e-06,-2.814428341854337e-15,5.822861124351692e-14,3.1400685892695885,295.6320756826476,2.4798753501330647e-24,-6.103497500646201e-22,2.849502274016408e-22,4.5646294100001596e-20,24.268978197501614,35.27450888010839,0.004595574884775873,0.00011021167860466915,0.0001993951426919818,2.1223547552756062e-05,0.0,3.570226990742617e-05,1.4421395942654294e-05,3.0197995996566335e-12,2.5614772670487063e-14,-4.913200324464808e-12,8.729311896561872e-15,6.146453106639328e-06,-9.262224006783372e-08,-5.869042864092116e-12,6.848402966819083e-13,3.516098575180709e-14,-3.7428531195398225e-12,-1.801577192419919e-12,30.00000000000221,1.5056663777482055e-12,-1.1979482358027176e-12,1.6103070786402661e-12,-3.2256478064062714e-21,2.4999999749836648,3400.00000001725,4.441690562890405e-14,8.955760766015309e-08,-3.923464347269651e-13,-3.5596184945972055e-19,-7.118810586634858e-12,1.1977319469118555e-08,1.440306460859324e-09,-7.48227057619679e-12,-9.829671185708692e-14,1.0000000000034035,-1.4126692119538722e-13,8.533354576989248e-13,4.493737919713568e-15,1.1881809180745832e-13,31626.677183672724,2600.000000005083,4.183844403876258e-15,1.983018030413719e-09,-4.910188484315414e-15
900,589.698302022694,799.6198187750401,1.5805473934353475e-12,5.64098141120378e-11,-0.08991543514858641,19.57521628184054,-2.845383682285605e-09,6.738983100135143e-08,0.5131243920194007,9.676398038296384,0.0017558450034483803,0.09831847951848313,0.004937982415020815,0.6888727826544354,-3.115207638885543e-11,-7.436528047089244e-10,0.28715981563117043,89.49574925892635,-6.10721281659918e-09,2.904309990088339e-06,61.166122047455865,109.51332259996877,1.5932974740421234e-06,5.467994951911805e-06,-1.236403063424479e-15,-9.572561766237524e-14,6.481429963517654,295.1872854695459,8.12676027642244e-24,4.279560947600313e-22,1.327297084373205e-22,2.1380553503925972e-20,24.403946636222013,35.36919661073538,0.0045688574491583355,0.00012462236445528348,0.00018538196481735758,2.930020947008511e-05,0.0,3.6369115232288294e-05,1.8161129948703488e-05,3.6023771507858117e-12,2.1058011761276332e-14,1.0050251187491389e-11,8.463525665820754e-15,-2.027181036684474e-06,-8.114267841142137e-08,7.033237848464072e-13,-1.1347460139119427e-12,5.87082582742564e-16,-3.5262030200332334e-12,-1.2785063937901095e-12,29.999999999998472,3.5136199670058507e-13,6.976990257404578e-13,-2.3729087512683227e-13,5.054183831489336e-21,2.5000000352482408,3399.9999999815036,8.018309869754944e-14,8.655504147648405e-08,-1.1553603110078383e-13,-8.168958994782434e-21,-3.7169338319183865e-11,2.186315535168796e-08,2.2111630765915164e-09,3.6962067059501115e-12,1.0311574444038533e-13,1.0000000000041909,3.7498004746775277e-13,-8.446029735855185e-14,-1.3956149296385896e-14,3.532806870028574e-13,33066.446315606125,2599.9999999907604,2.054918392105189e-14,-2.3276730079485644e-09,-5.225791561836475e-15
