milliseconds,pRB,pRBp,E2F1,CycDi,CycDa,AP1,pRBpp,CycEi,CycEa
0,0.10342352006902034,0.10059996049755789,0.10136204634575369,0.10031195220713901,0.10036727772473913,0.1005201864654857,0.10027060253972368,0.09949116193577176,0.09999418388516106
100,0.09594842854414257,0.09683714796265736,0.10901444639906814,0.10064625007754874,0.09986866465459324,0.10025844996330016,0.09870957641155001,0.09936095451805245,0.10003955335393268
200,0.11393881653850045,0.09390652053364709,0.10706320841849078,0.10082374122998598,0.09926435205207684,0.10047478512756279,0.0980380102099624,0.0991036095218262,0.10015531415888537
300,0.16077312820581346,0.09155574958710962,0.11366191911157966,0.10055840386326938,0.09935073407935616,0.1008084647409652,0.09732438098412745,0.09833888900632598,0.10014810251088131
400,0.17997847036373937,0.09043518398629578,0.11599394797436585,0.10105356321983976,0.09895020319462113,0.10227222958642047,0.09652064516339731,0.0977609710862271,0.10024021763629073
500,0.17126079978829398,0.08745002082544466,0.1182627506133479,0.10164955525808156,0.09875724998963012,0.10296610642178024,0.09705222055521916,0.09703768490765202,0.1002975833205226
600,0.1833849854989844,0.08599088156432264,0.12659805849029157,0.10160789354301855,0.09831336755414871,0.10290040481031117,0.09649965150740586,0.09582656709081848,0.10029663356494117
700,0.20953677841074353,0.08316848996563422,0.1288770013352448,0.10176910983022008,0.09771325983861377,0.1034342743095388,0.09506384250832056,0.09628911323968621,0.1003704785143664
800,0.23609121991728274,0.08250486350558978,0.132119315332013,0.10244313427833514,0.09750438813104398,0.10372191728499763,0.09432883427228647,0.09491385634316087,0.1004193543995155
900,0.24410543922282643,0.08114087516404878,0.139051559259739,0.10272488498811823,0.09726818159508784,0.10419977823872595,0.09372991509588487,0.09417907129402023,0.10041109676102977
1000,0.2523918777097026,0.07963012590646863,0.13860097831184204,0.10351656252675352,0.0966677846631336,0.1045557930946104,0.09296486414592782,0.09418543276239137,0.10047758116149157
1100,0.2802928976483497,0.07770369492873744,0.13990909939867643,0.10349794601203179,0.09664282068266579,0.10468028704584097,0.09197071047900444,0.09367739681570722,0.10049010042219002
1200,0.29680956471312825,0.07529209770024226,0.14789118771191567,0.103359248409093,0.09688183246532148,0.10587164284317854,0.09155133182325066,0.09291050915544367,0.10050055003759695
1300,0.2903017412948815,0.0752138547719894,0.14589656649118649,0.10422547279693792,0.09643230096941907,0.10634778953151983,0.08998101078474259,0.09278357915147668,0.10052213593839465
1400,0.3012555737506234,0.07399710325951056,0.14973124526360246,0.10465839805821417,0.09575101410112821,0.1069114842012142,0.0897450641403548,0.09197328944047405,0.10052938589428638
1500,0.3252299918413192,0.07248192064021569,0.1589694024373606,0.10501224343615441,0.09574316471463169,0.10741766086768498,0.08820540647465772,0.0918812746835026,0.10055452417512789
1600,0.33035010139833315,0.07184766122968929,0.1666870041148795,0.10505979970348776,0.09504203688105577,0.10715022733879304,0.08920580460128331,0.0916415530750507,0.10051600429046022
1700,0.37302936498602945,0.07177716143932772,0.1665162383711776,0.10569885231814018,0.09478467190495492,0.10727302799773965,0.08679480231758013,0.09041913806832132,0.10056518877052203
1800,0.3754001190473577,0.07070454240700422,0.1684733110470392,0.10555619277355931,0.09510220322636195,0.10828883299590726,0.08702347425712635,0.09020135555640132,0.10055724831805388
1900,0.40330870022014137,0.07035044029309448,0.1740170568670284,0.10569946356167155,0.09421843255168122,0.10867253649420623,0.08558144069418339,0.09030984990987026,0.10054392446308413
2000,0.3869934588182561,0.06955188965028926,0.17186113053353305,0.10661982365429257,0.09406234772374891,0.10908916328053296,0.08613519518589727,0.08933922559578805,0.10054860323215413
2100,0.4357664662356898,0.06886585715728571,0.17830523793004105,0.10660682515268276,0.09378388660141034,0.10926064361938782,0.08461589457220754,0.08898000552927161,0.1005206047119171
