milliseconds,N,T,I,u
0,1.0,0.25,0.15,0.0
100,0.9764164840925686,0.2513670325855841,0.17572958265169766,0.0
200,0.9553755411075466,0.2529312159319595,0.2003100357308675,0.0
300,0.936502200717381,0.25464440252005455,0.22378059784934048,0.0
400,0.919485214894692,0.25646658893594354,0.24617988289008116,0.0
500,0.9040718542740249,0.25836535529188465,0.2675451437770171,0.0
600,0.8900528998900968,0.26031406435550514,0.2879127498212982,0.0
700,0.8772534691134938,0.2622907653516051,0.30731833856911545,0.0
800,0.865526701902966,0.26427743085389616,0.32579688691900166,0.0
900,0.8547469357725894,0.26625910282572035,0.3433828103658234,0.0
1000,0.8448082164984921,0.26822369952932135,0.36010990116429353,0.0
1100,0.8356195941581431,0.2701614336820677,0.37601136368139976,0.0
1200,0.8271030597490886,0.2720645019842546,0.391119795971625,0.0
1300,0.8191916609297909,0.2739268011951057,0.4054671621225601,0.0
1400,0.8118266783601126,0.27574353612679475,0.41908476568840897,0.0
1500,0.8049564184178934,0.2775110850284487,0.4320032337646421,0.0
1600,0.7985355888690923,0.2792268356959492,0.4442524516763346,0.0
1700,0.7925244104715936,0.28088903875692395,0.4558615378311025,0.0
1800,0.7868877680096703,0.28249666894149333,0.4668588159895792,0.0
1900,0.7815942659000088,0.2840492695241886,0.4772717870951661,0.0
2000,0.7766164707161443,0.28554699111672144,0.4871271357528386,0.0
2100,0.7719290776264104,0.28699025220134167,0.4964506635404774,0.0
2200,0.7675108278131791,0.288380077586237,0.5052673532778577,0.0
2300,0.7633413743368596,0.28971749820529524,0.5136012568478019,0.0
2400,0.7594034668765695,0.29100395998685585,0.5214755695531545,0.0
2500,0.7556803696732273,0.2922409647966594,0.5289126561806897,0.0
2600,0.7521568965965288,0.29343013558045034,0.5359339819350989,0.0
2700,0.7488196003760934,0.2945732450688799,0.5425601546261866,0.0
2800,0.7456553681528005,0.2956720252670449,0.5488109131142453,0.0
2900,0.7426532128737897,0.2967283580386382,0.5547051801617942,0.0
3000,0.7398026226636226,0.2977440660966197,0.5602610192242674,0.0
3100,0.7370941817806779,0.29872103428070235,0.5654957424193235,0.0
3200,0.7345193897246207,0.2996611082442201,0.570425844812321,0.0
3300,0.7320700189208662,0.30056612395830257,0.5750671032489961,0.0
3400,0.7297385630814546,0.3014378699781742,0.5794345468149326,0.0
3500,0.7275179730527623,0.30227810036430985,0.5835425008761834,0.0
3600,0.7254014394474475,0.30308849797107984,0.5874046062681634,0.0
3700,0.7233829892870999,0.30387070787109943,0.5910338357586898,0.0
3800,0.7214567682626573,0.3046262906809483,0.5944425227453294,0.0
3900,0.7196175819511461,0.3053567670047463,0.5976423914931996,0.0
4000,0.7178605490962222,0.30606357472154827,0.6006445696935722,0.0
4100,0.716181018876348,0.3067481063074261,0.6034596321387183,0.0
4200,0.7145747334110509,0.30741168031794114,0.6060976092039269,0.0
4300,0.7130375500141602,0.3080555620623056,0.6085680201257145,0.0
4400,0.7115655759436718,0.30868095161347736,0.6108798949982123,0.0
4500,0.7101551968997926,0.30928898970583796,0.6130417894549082,0.0
4600,0.7088029139186233,0.30988075699006734,0.615061818370669,0.0
4700,0.7075055682428036,0.3104572760205801,0.6169476626509592,0.0
4800,0.7062601263234154,0.31101951165424474,0.6187066028784506,0.0
4900,0.7050637615623901,0.31156837817814803,0.6203455280111713,0.0
5000,0.7039138072270266,0.31210473718124393,0.6218709611437259,0.0
