milliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,72051.62837608479,999781.8502713668,100941.2657543471,1000000024.9711852
100,71268.5843495737,999806.3767396675,155224.17984586168,999999425.1842607
200,73209.45800893827,1004859.4513530724,157360.28675396487,999999188.3592539
300,75041.85932466025,1007912.5395605327,157789.24584979986,999998288.0417528
400,76221.97413977628,1007688.1177326646,157175.17581693322,999998396.9379954
500,74753.17409115584,1011448.611394109,159086.79739024118,999998449.4562364
600,81623.99156566823,1010009.9119665273,158900.54842491527,999997478.9304581
700,78306.98991657722,1014191.4806924685,159851.19521136646,999996817.9660989
800,77314.23697798605,1018222.2620497148,160054.14851819526,999996746.7816402
900,83618.27623135167,1015613.5260443492,159718.30766238764,999995866.2909864
1000,85099.9415720356,1020589.4907942483,161049.53388058316,999996043.553221
1100,85315.80955686394,1019775.2614653676,161098.48986846404,999995856.8813295
1200,92363.08042122125,1022628.5494029623,161141.94234451794,999995654.7156067
1300,94911.15903973446,1027671.2269408042,161077.37408216446,999994879.0278772
1400,97596.30571710948,1028490.5739724722,161273.77987852122,999994412.1405208
1500,93751.05674173545,1030945.1099741325,161577.8429498934,999994773.3961974
1600,99889.1431193199,1034016.508939965,162711.1658986635,999993572.4089749
1700,99980.83347782152,1036898.5140413931,161632.98385570126,999992855.4390911
1800,102579.58841967341,1036527.1440710787,163615.71741971007,999992901.6018077
1900,105593.75030939272,1040064.1451741279,164135.56925573703,999993119.7431276
2000,111109.98400194549,1042851.8884623386,164703.09227979073,999992522.950529
2100,110862.62437970667,1040611.9969156941,164937.2100397233,999991366.0755742
2200,112656.09426892869,1045107.9608640914,164385.05746294986,999991304.6885929
2300,120551.44588180364,1046759.2376180097,164373.42216609916,999991200.5556862
2400,122246.74190696538,1047525.4897288642,166062.26118579798,999990957.8446051
2500,119362.88066673653,1053304.8293297556,166126.1127978968,999990276.3327696
2600,123027.65685545685,1055536.748083267,166415.97210690516,999989527.4392259
2700,127647.81684819117,1057309.454522117,165803.41364592768,999988922.739187
2800,136700.156085339,1054858.010889551,166741.90317911704,999989161.5736156
2900,131808.5786527514,1057164.4019435744,166645.35479572424,999987835.0713484
3000,141569.06010558014,1061508.2812921437,166246.7513705465,999988323.2013887
3100,141097.77864818205,1059670.8623533102,166627.9324091192,999987661.7237592
3200,141744.21484627272,1065734.0992298303,168000.3738175123,999986284.4338809
3300,145797.46270935162,1066594.0931412529,168252.02219447691,999986297.9943888
3400,158748.6156844885,1064905.6163718277,168485.89168262194,999986189.5428754
3500,156582.00528218853,1066356.28137776,168870.57770519005,999984844.4297894
3600,159340.63990457653,1071568.7177631673,168540.22953304788,999985461.7802253
3700,167816.11126559007,1073064.2683768477,168659.08170677608,999983751.2847365
3800,175211.5342889817,1072846.5298638667,169202.65294209748,999983326.0768099
3900,176403.46151442238,1076204.18232822,169760.75188352668,999983519.9333671
4000,183030.26249538807,1074691.010323753,170467.44137853823,999982506.9379927
4100,187343.19848646468,1078788.4839651894,169553.2165381037,999982224.5960186
4200,189828.18058507185,1076494.282397679,169768.29537831672,999981454.4467301
4300,201453.95177586802,1078772.4020957474,169825.39573789493,999981050.1506923
4400,202686.21275810158,1082111.90110936,170916.962384484,999979800.2098643
4500,208640.18166291688,1080625.1548053883,170884.5531550892,999979188.2121538
4600,213674.08712390467,1081520.231736355,171153.1375413959,999978882.0603352
4700,227569.29704695477,1085197.3358289283,171549.41607566908,999978489.9639522
4800,225842.1600525439,1086032.7921733942,172119.7513544052,999977621.3761575
4900,240826.5109868172,1083990.3360489954,171718.56963076245,999976742.0212773
5000,244049.76559401702,1089573.5559337891,171204.97728173403,999976212.0502188
