milliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,67904.45182012595,1002510.8222351591,100210.68105576503,1000000364.2993925
100,70949.4623926867,1000782.1744050833,154933.32559862762,1000000027.6230936
200,67429.63289477707,1000429.9530531726,156585.82380962337,999999014.9711053
300,77470.51384360818,1005762.1307601627,157287.21928308887,999998842.4780865
400,74871.52107972356,1005550.8287807468,156756.68971615678,999998627.9485719
500,77085.65759226988,1008161.5001062314,157491.2382464894,999998118.6751773
600,74682.38637917946,1012483.3031601813,159000.29527713126,999997039.7654748
700,75495.66819398422,1015817.1909943765,159587.544206269,999997380.0921967
800,80816.32960943558,1014479.6166238579,158692.19413364804,999996519.6752818
900,86694.19048662344,1016860.7496315495,159143.31250992816,999996699.8085376
1000,85961.77786432568,1017856.3707742367,159716.41868141637,999996017.7986488
1100,84108.80079845585,1024806.4663416531,160548.52250318349,999996330.7065954
1200,85967.92849319511,1027130.2778179212,160151.7592297591,999995702.7372066
1300,89274.06721143774,1026339.9245350731,161826.90206210362,999995384.6282828
1400,97938.56407348208,1028709.5171906792,160981.20095797838,999995174.2938249
1500,96519.19933801972,1033588.9719098433,160973.4031031091,999994208.7222025
1600,93558.91878275499,1032431.3154080255,162739.80874607328,999993220.9024774
1700,100042.00119055447,1037608.3671558248,162602.28261643767,999992767.443121
1800,105472.21410560365,1035228.3715914816,163125.84731134202,999992775.2718782
1900,107797.74784421461,1037829.844454846,162714.5583889666,999991952.054248
2000,110272.87422703365,1040983.3958111526,163964.02823310636,999992465.9578995
2100,113494.02991874212,1042435.9945877681,165072.14088891677,999991852.6998878
2200,110627.92669532324,1046562.7463562094,164552.40991033422,999991084.8363626
2300,116405.93681510552,1046984.3865248406,164871.92590249766,999991430.9889244
2400,113900.30362083804,1046636.8883707005,165886.699929806,999989899.6005592
2500,126506.90951883976,1053029.5014186136,166222.46990758463,999990097.088952
2600,125189.69162577373,1052227.9860633772,164775.13264533374,999989346.5043501
2700,124247.38053698442,1052197.6046148697,166903.1054329031,999988807.4988407
2800,131069.52160508589,1054706.3742669602,165529.85154244973,999988539.2476033
2900,139086.67117211098,1057452.56122597,166704.53739519342,999988304.004893
3000,135992.6896050649,1060975.91862529,167105.62211485062,999988571.2800374
3100,145391.13948017405,1062720.2521982065,167618.78575140116,999987323.9935621
3200,146804.5353604697,1065595.3499326394,168109.82347015533,999986365.772662
3300,146207.76180275856,1065209.247983312,167382.52836447157,999986383.0055003
3400,159110.08586280243,1068504.9776919873,168793.92069902728,999985311.0174843
3500,158808.3523278276,1069704.987357978,168378.91002702314,999985524.4789807
3600,159543.0327153754,1069247.997767784,169522.5184708878,999985137.969534
3700,163913.6440958406,1069106.3077557418,168919.15906069928,999984889.4509081
3800,168359.9374970691,1072113.3338897182,170269.7722464961,999984369.8979559
3900,174158.19632467834,1076490.7304350154,169388.8672863462,999983063.9535314
4000,178414.2082465517,1078427.577272918,170605.42624908773,999983044.5675277
4100,186236.4904220666,1076154.1035847608,169612.300594668,999982495.5912133
4200,191273.36481696228,1076542.5731253468,170114.45968228116,999981326.3379158
4300,196427.9911691692,1082282.8621917628,171615.48798225375,999981262.21773
4400,209645.29941550267,1083657.074469833,170853.04456953038,999980577.2912287
4500,212148.3069098803,1081064.2121084847,170062.8496008538,999979175.7862786
4600,221430.62055120917,1086146.0515921833,172028.89049165588,999979314.5671191
4700,229098.08939970698,1083769.070839837,172011.58942770926,999978937.134942
4800,229005.84029738582,1083951.842674451,171716.87178090797,999977099.0905154
4900,239892.564987351,1084567.4369898785,171798.37765325813,999976511.5663747
5000,240676.76369203778,1086033.4206572098,172369.14181685037,999976286.0348424
