milliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,66552.19388026126,1000571.6307397704,99922.18621211292,999999940.436339
100,64944.499900894545,1001590.2807866033,154394.64550187628,999999268.5690573
200,66211.40835170484,1002891.2569651211,156503.28197640978,999999042.5908391
300,76981.24536744287,1007755.2431872849,157803.95810373293,999998186.1484538
400,78414.61928853173,1008437.3622499568,157448.6634533841,999997788.5621476
500,72987.70187195344,1009846.0597569187,157790.83720311965,999998204.9957795
600,74850.7687197045,1013663.4186755213,159054.67810219218,999997006.4339726
700,76192.94221933013,1012802.7579292147,158701.30028904096,999996862.0678638
800,80859.37759371568,1013375.1335535812,159490.756380401,999996841.4331881
900,86992.87271928947,1019631.974798282,159831.58611211795,999996494.5774314
1000,84827.91606847147,1020256.604009134,160877.6635030788,999995666.9536943
1100,89162.20975302528,1023938.2726749553,160172.03378524294,999995941.6099267
1200,88411.77967988195,1025051.4423059548,160636.37306893978,999995384.4431181
1300,88669.36144516477,1026764.8050544688,161305.32805486236,999995353.4572471
1400,88313.64239244224,1031108.5846698079,161962.93351260223,999994948.1945066
1500,98435.64419803895,1029142.588477006,162385.96790387586,999994512.4284374
1600,95901.01658698262,1030892.6211831253,162948.03723219075,999993413.7305238
1700,104761.32948335787,1036833.1702252263,163369.63288870887,999993288.8204095
1800,100145.15267057403,1035906.5583533243,163367.14348919192,999993548.1040487
1900,104091.70826138691,1038518.5790562653,163165.66328955497,999992528.9734708
2000,107306.69597242428,1043201.65472439,162763.03442132362,999992271.9198954
2100,107986.92790562905,1041014.3617433666,163561.97272691914,999992395.9205805
2200,112262.85388668382,1045584.6271878787,163675.36809254726,999991110.8522024
2300,119874.90084230396,1045187.6333499664,164259.5226207636,999990524.7793484
2400,114876.86514543096,1049714.3940460314,165783.24809712754,999990698.9017087
2500,122611.15335544993,1052999.106608782,166197.0884549012,999989727.6665559
2600,124461.53920806116,1052830.5020884522,165620.61705036092,999989312.6960924
2700,128117.94639321014,1055297.5279840922,166515.08135206232,999989711.8967949
2800,128890.30172207767,1054253.4959836707,166907.95930251724,999988661.8808346
2900,134040.630387715,1057787.098915772,166300.5378893644,999988956.6455088
3000,143497.85511668795,1059475.1806966169,167379.4513179912,999987602.6107799
3100,137778.88882126944,1061760.5623777008,166853.08027957793,999986768.7581236
3200,143644.7446465187,1063735.9228609374,167488.99579082453,999987168.414352
3300,151203.30383216732,1064204.4497784148,168027.63603577943,999986520.945171
3400,155111.4680005439,1068360.5028343925,168171.30571892296,999985343.993558
3500,161961.02166489075,1069001.698433053,169289.90005404616,999985745.8316338
3600,161788.2214182773,1070635.9239937977,169258.97773776652,999984639.5033605
3700,167674.4096965024,1072153.6059213134,168268.42641758488,999983904.2988507
3800,175589.1802771352,1075629.882549505,169617.29451691636,999984261.2830031
3900,177348.2167129693,1073368.7765811905,169632.6367206368,999982769.6780053
4000,187433.30453473123,1077780.7783407797,170516.5088491756,999983420.6491272
4100,188431.66309238554,1075936.5841661785,170089.6892281869,999982266.199907
4200,188476.36881505483,1076632.067370992,171184.79252509284,999981481.275594
4300,194178.7668008134,1080557.8695704592,170153.17820713698,999981551.9621259
4400,207710.72972528494,1079257.5478297984,169982.89996778674,999979825.1075947
4500,208467.34686413422,1083630.630487016,170589.4042202539,999979336.7195035
4600,221002.99662813504,1082384.1164749365,171437.14534110483,999978546.167169
4700,221761.2891406491,1084808.4679856496,170509.24226584035,999978650.6783979
4800,233903.65628259015,1084208.9833184087,171312.30437152844,999977666.3842887
4900,241556.99722267804,1086881.0565006547,170753.66682701977,999976306.9539124
5000,246607.17502718896,1086757.5417799947,172057.48613496017,999975801.8309306
