milliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,66763.25667523299,1002229.5069413976,99994.51722599249,999999449.95574
100,74334.1575635266,999417.0986045892,154526.5062861895,999999097.0610347
200,69180.64332449895,1002180.1394797721,157321.44633981652,999998719.4768888
300,74586.10350535125,1007306.8102583587,158090.95943146938,999998950.7766185
400,74761.70221060574,1007577.6730548762,156922.0491596215,999998683.5602688
500,76541.82057629005,1008636.3369320465,157832.5421136524,999998344.3985918
600,78334.45244771989,1009211.2414584658,159263.04047757905,999998343.3751191
700,74383.5108400823,1011289.3484681628,158426.07998254008,999997332.6534758
800,83289.82244778304,1016541.0931075717,159230.83585849367,999996332.082692
900,82973.40079482674,1016079.678632654,159680.82245012815,999996578.047633
1000,79797.3604418066,1019013.6219636606,161067.5576298171,999996676.7280893
1100,87261.86695370564,1024337.3298410113,159609.2096106283,999996090.9643657
1200,91253.20639619185,1023706.2846399258,160548.33319297835,999995459.1678609
1300,93623.88089091702,1028468.0260174627,160178.6737920623,999994755.3333708
1400,98025.51791138336,1028801.1924596052,162311.8997302752,999994385.61271
1500,93213.83560832434,1032106.7476802225,161769.5652693024,999994724.1112744
1600,100847.8494275484,1030425.9629790671,162203.91755848101,999993303.0136966
1700,101492.37770983865,1033549.8192972535,162216.54190967686,999993563.6700171
1800,102730.56761721567,1038410.5507231927,162455.22285132782,999992444.1373631
1900,103826.09585825338,1040697.4713202404,163808.4734754244,999992136.0637423
2000,102890.32411327233,1040446.7436063851,164513.8163823907,999992322.2905118
2100,107521.96201546505,1042983.2877927311,163462.59303666366,999992138.448423
2200,116809.65303621456,1044023.334323391,164916.337391995,999991721.1475614
2300,112840.84233844749,1047012.1265485387,165183.61622795634,999991589.0467819
2400,120177.67143481385,1048910.4750658176,164899.39889873294,999989915.8622178
2500,126550.13882795602,1048331.939726947,165622.36910862444,999989949.6423583
2600,128954.22188548221,1050947.6515511435,166348.60101521784,999990319.7872488
2700,132602.1991638407,1053294.8468173142,166618.08052536455,999989035.3945279
2800,133360.14635364566,1057394.6736687336,165534.1689657033,999988912.1120608
2900,139470.6142276083,1058512.154420283,166510.40245760584,999987727.5742365
3000,137665.34106326452,1062049.4960365577,166081.0251150835,999988385.7205942
3100,142866.35325496783,1063537.1879138073,167533.2498716325,999988038.2147915
3200,148600.49823612426,1066252.1450243038,167239.50600096394,999986888.8561109
3300,154626.81767714335,1064014.3852499404,167526.8702124535,999986110.751549
3400,152878.90393792102,1069509.53400872,168250.53650165646,999985670.3801919
3500,162539.47038819376,1067102.0271583132,169244.73922610923,999985848.967508
3600,161414.09971567555,1068590.2284717548,168449.00773931548,999984593.2634217
3700,164169.01634353978,1070358.4354076353,169678.743231993,999984890.2324053
3800,168769.9534887299,1071760.8666944576,168502.47305218835,999984549.1681997
3900,182497.79420833816,1072935.9973230732,169450.4089632909,999983909.6319383
4000,187722.83728687747,1076108.243420905,169093.7939484786,999982783.4306878
4100,192154.638202898,1077544.9351959804,170670.78021423938,999982105.4246919
4200,188939.13300732386,1077570.640620308,171233.61885035527,999981711.2136573
4300,199981.58765387605,1079768.7382289134,169634.6357316736,999981420.7076849
4400,209661.72926367717,1079602.3880288838,171408.2531486994,999980881.2433866
4500,211135.53374729236,1082623.5171563765,170143.84309139094,999979285.4187626
4600,217320.9370201034,1081423.9411847345,171126.88242024122,999979443.2138255
4700,227466.10812870172,1086606.970506603,171739.54934015468,999978963.6045371
4800,232059.05781479087,1083261.1553426636,171623.7690323858,999977643.960757
4900,238442.37256644433,1084293.3636792004,171343.7291357918,999977550.3585675
5000,243751.47382651508,1085133.6698343733,172646.63305180194,999976325.1626269
