milliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2752466.738177883,200616.16347261812,7204797.949553412
100,2752013.3799994914,198317.5395252403,7203841.135857208
200,2753583.018309588,197844.35453271092,7216182.701417617
300,2757308.899836612,197169.33025326426,7212245.898391623
400,2761011.902315791,196839.7320822505,7221565.883335476
500,2759290.141296091,196351.45630419685,7224201.102767335
600,2761693.882679946,195973.0374839188,7229039.390883126
700,2769471.298284466,194469.79724266843,7232991.791390962
800,2770687.2809372176,192347.59834168057,7241599.979993776
900,2772379.2886955976,192952.6405487864,7243139.886130605
1000,2777501.1751302443,192787.48389067786,7248072.501702114
1100,2776168.4972050753,191559.4011857312,7253624.807427258
1200,2783330.098229666,190402.38624678442,7261450.58676442
1300,2781419.744040973,188440.09484669426,7257614.317631114
1400,2784642.3387358645,188906.0410025444,7272382.199706979
1500,2789289.15678124,186937.35037334939,7272853.641018156
1600,2786834.119691367,187381.77492438356,7284492.440956322
1700,2793453.174540218,185554.26249425474,7276879.472597109
1800,2797012.552137554,186425.42736895397,7295061.167907342
1900,2793745.949211622,184770.07061112227,7290845.593615321
2000,2797426.112240638,182949.2411435458,7297664.550356545
2100,2805135.1023383522,182357.70448527287,7298238.6330282
2200,2806625.9907209966,181480.62158118805,7302993.850200309
2300,2807584.6767592877,181746.43172299056,7309640.913221835
2400,2810327.283750833,181642.03318699365,7321251.389016195
2500,2814887.1300972993,180023.20390413102,7316883.321254306
2600,2816480.194906353,180064.05805645592,7319955.489941124
2700,2820788.1359312166,178129.89307671925,7330006.140183305
2800,2819304.772928373,176811.5034827058,7339361.566300078
2900,2824959.534174384,176408.4353274461,7339689.61102654
3000,2821867.151846702,175446.23658303116,7340500.080121044
3100,2827026.519369573,175926.99932535546,7356399.431050781
3200,2832502.3495148383,175519.37064930712,7352917.454130813
3300,2828918.4036305826,173571.7375158921,7364833.6209072815
3400,2833428.760867652,173716.41529827652,7365257.0842944365
3500,2836168.0865565096,172917.96502881005,7364330.4142641425
3600,2841715.7811227194,171270.14669247108,7376894.482892242
3700,2842167.6053973185,170834.6434408383,7374712.233241199
3800,2848257.49708022,170695.99003359643,7383130.333035292
3900,2845901.636811379,170444.99799326807,7392181.16516752
4000,2849159.869352657,169647.9053050356,7390541.873553242
4100,2854480.809845159,168434.78289475263,7391483.3260062495
4200,2851481.169300555,167697.86486005492,7398227.477240281
4300,2858111.667150888,166713.24249441942,7410405.036503869
4400,2863024.0415316755,166646.27598567292,7406880.333463575
4500,2862652.6839426504,165265.56224335422,7422158.444434572
4600,2863728.4190685255,163745.77531611235,7421054.085433093
4700,2869870.978183095,164236.6611304109,7423573.519747075
4800,2873020.4716950106,164009.50469346615,7435332.636819581
4900,2868970.8037997824,162223.17144315143,7431029.99567644
5000,2875317.8571314146,162873.57682180934,7441380.029490427
