milliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2748297.3444318487,200356.60778443853,7199553.750343383
100,2750632.812931172,199024.93799499035,7199617.516693648
200,2752306.195511049,199151.46393193223,7203682.637951625
300,2756920.526008823,198271.09957347947,7215478.631078961
400,2760842.232705587,197325.47900295697,7218947.6619973425
500,2760498.6325492975,196205.92442464392,7221635.030956222
600,2765694.2198142735,194221.7786256087,7235224.446675735
700,2768811.431728387,193815.10282293396,7239500.141333345
800,2768329.478970511,193912.12696976122,7236458.931017704
900,2773738.7038536556,192379.86260075617,7240517.528826771
1000,2773623.7397239646,191844.83448890818,7254906.196597454
1100,2775833.3622913333,189957.39303983413,7256196.947840862
1200,2780434.0252211317,190179.89844098396,7258335.534709333
1300,2780135.2688146313,190265.87205433584,7267089.07414239
1400,2781608.8199114664,188372.79630331285,7265751.167734893
1500,2790290.9092723196,188238.63365916102,7267727.533014219
1600,2786236.771892117,186860.71868347406,7280916.989830647
1700,2793858.6669674385,186858.47479791575,7287002.340969787
1800,2795490.2174549755,184361.32427407408,7284546.415157567
1900,2797139.424460189,185399.7410301158,7292092.379924842
2000,2800800.5815768605,183502.10580786402,7299989.567248093
2100,2804337.127937453,183174.815022085,7306449.304053712
2200,2808257.0354341352,181345.26240057513,7309729.9165848065
2300,2810778.1890709805,182471.75471745158,7306655.958346352
2400,2806269.925392332,181876.8727124494,7313441.037049186
2500,2809927.821111068,179781.3151401305,7323531.371389062
2600,2815664.3599327537,179428.5772631644,7324494.943857811
2700,2813785.0304327426,177882.78591279074,7329209.647783265
2800,2819872.52158434,176815.95312770997,7342061.157402525
2900,2822754.405953322,177379.17617956016,7344464.824586174
3000,2827661.687593008,177200.70114429126,7352814.703115353
3100,2824368.94446111,175349.88023843893,7345507.080307716
3200,2829186.840611515,175577.47737590474,7348615.016559755
3300,2834977.491590245,174385.2325268935,7356483.280854436
3400,2834799.591429341,173039.45651458664,7370433.248377379
3500,2840651.327847775,172833.55399751503,7369417.130369346
3600,2836634.6275670417,171712.71810659525,7374450.926688457
3700,2842421.780466742,171768.73812066138,7374158.144410855
3800,2843543.058373789,170441.702369644,7381746.067215303
3900,2849264.6708124196,170450.23906335884,7387457.831516767
4000,2847839.6951166354,168014.1502590726,7395567.75067472
4100,2855586.170291642,169030.45318746343,7396629.032428926
4200,2856599.2947141295,167285.08800285574,7398777.736808995
4300,2856341.9591240934,167427.90983407313,7408999.308447587
4400,2857821.974992582,166468.78384710455,7407823.80524307
4500,2861262.5112463078,165384.3556787066,7423861.264924238
4600,2866744.795329869,165120.70571079623,7419716.184605392
4700,2868638.7126162588,163616.78084632326,7419563.709498927
4800,2869210.623396649,163439.32484328796,7435103.357516782
4900,2873514.0182012785,162063.46779272164,7437543.484363101
5000,2875271.808514464,161261.83830485,7441595.89167342
