milliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2753020.8026517886,199368.74019154688,7201276.990424438
100,2752287.887531281,198468.2032287823,7198938.126136131
200,2757955.4190587318,199045.51258940104,7206193.549947214
300,2756399.9998819656,197864.4750600929,7219436.305657793
400,2761468.8202233226,196063.82557094627,7226118.9811453
500,2765256.9571482274,196660.70480968195,7224950.509595608
600,2766227.5953510874,194194.25254368808,7231951.4868799895
700,2763958.3293148666,194898.43189169097,7240318.808655912
800,2768873.749821021,192651.75018126832,7238161.016241932
900,2773601.985020906,192872.03063689874,7248276.101979237
1000,2773387.263612028,192440.5279058845,7248323.758701771
1100,2774698.4652444795,190938.82233207353,7258855.211447848
1200,2780929.7163288104,189431.42975768796,7263267.931024986
1300,2778806.6480333745,189527.1227125134,7270353.665385501
1400,2784436.7070058794,187804.95567439054,7266711.634542362
1500,2786850.330180572,187268.23350510636,7279146.496499529
1600,2793350.222290456,186801.51329515918,7281272.138381301
1700,2791363.4779427135,186935.04500317512,7281537.515460402
1800,2798275.9144235686,184879.99586997594,7292429.375564464
1900,2800050.7050135043,183615.06650438064,7300013.929965069
2000,2796332.978827584,182956.1013055124,7301283.226130627
2100,2802534.077130191,182561.73532485793,7298718.343881691
2200,2803962.1122170505,182658.4236083716,7311342.293513937
2300,2811041.286067031,180628.56825618653,7310627.166318307
2400,2812657.8664896823,181006.5276781827,7316960.764707659
2500,2811411.0573002733,179244.37271355066,7317937.051251095
2600,2812814.140537638,179370.59089252923,7330248.037797536
2700,2818259.5222149733,178839.5268205858,7331852.8691464625
2800,2823145.9048393695,178269.8977683367,7332143.435474674
2900,2820515.3221951043,177224.3235142313,7346069.679965369
3000,2826892.284148101,175718.8973156335,7352613.298756328
3100,2830767.8834305564,175373.70819579888,7356498.115486653
3200,2831563.3105102396,174522.9238869574,7361856.325660415
3300,2832465.80909066,173092.05576208324,7353821.509522023
3400,2836887.4005482956,172925.73511525634,7370104.430026494
3500,2840169.433055537,173082.67675289584,7368638.211701908
3600,2839999.616474854,172555.99322917682,7375940.226458883
3700,2840755.39139381,170440.3391961101,7378785.793279668
3800,2846710.573104473,169337.5291745695,7384450.164594772
3900,2846263.557614969,169681.38305473275,7387921.881912662
4000,2853539.2299837554,168393.44726022144,7386466.465758761
4100,2852072.909932723,168649.65731657456,7392625.081432459
4200,2858406.975593712,168552.89834689113,7401220.696049432
4300,2857199.1583237355,165773.55652909537,7406765.285048824
4400,2862674.8756402824,165431.3744639534,7418310.269887527
4500,2864889.227048152,164567.57739265615,7415589.038268453
4600,2866275.826197742,164581.97172346013,7421987.926765385
4700,2868825.566841349,164790.9212070057,7429426.46489041
4800,2871136.070675196,163464.8829508399,7431884.859910251
4900,2874478.725535828,163327.9868646054,7441870.065007277
5000,2873506.309542674,162392.80115796742,7442219.236102445
