milliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2751609.224752092,199114.06202020674,7201459.569142351
100,2754548.317839831,200049.80107828806,7200189.318513177
200,2756926.4234795356,197469.97035681095,7207376.846256894
300,2755015.849350313,196552.8425022332,7208574.455327729
400,2758457.3262615073,196465.64977752636,7212699.067550891
500,2760738.349036036,195479.87214668663,7225405.815528398
600,2768099.66187545,194026.23070891554,7225547.433706214
700,2764560.681036036,195268.24965480057,7230428.560266265
800,2770251.60951976,193832.19898070284,7244891.9130245885
900,2774000.7863055407,191992.64854211346,7239504.111596377
1000,2774668.5732185966,191108.6975013511,7244114.705585343
1100,2778399.097393877,190370.08770168727,7250908.375148586
1200,2782405.8614674313,190956.01994782916,7260281.827696624
1300,2781740.0466356385,189927.65156838752,7264083.280015923
1400,2788238.4493638235,187748.30563631238,7268763.353231922
1500,2789152.830374262,188315.16784874196,7275969.21551196
1600,2786460.3014073386,188065.49561479743,7277005.186568425
1700,2792650.7748853387,185433.91466774713,7286635.818410133
1800,2797215.5948080625,184847.0651279672,7287738.14152172
1900,2797724.6300448356,184793.5996415544,7293350.416440796
2000,2802929.1108419457,183787.4048253382,7294952.223728044
2100,2805474.888802051,181982.7559038838,7306991.892283418
2200,2804420.896212368,182431.78621960714,7311248.9618399115
2300,2809922.384251806,181134.8199643885,7308958.38690769
2400,2809965.138720864,180518.8178069673,7323529.394659589
2500,2813619.7206940125,180809.21438661023,7326020.202710449
2600,2816897.816240817,179117.96836570647,7327003.980809355
2700,2819610.03907107,179516.15160735493,7330560.031329956
2800,2820321.8066176097,178597.96012473432,7332324.379466219
2900,2820477.5071883,177639.22985645419,7342893.702000152
3000,2826387.2171200593,176834.06646612528,7345582.766166761
3100,2830806.746384323,176070.97325757716,7350096.380223923
3200,2829574.5400003013,174355.3068635345,7348556.47284582
3300,2829258.6177699133,174635.12647767938,7361946.410130247
3400,2837696.9521250576,174163.03848513812,7359736.038589206
3500,2834590.934032967,172317.49833424727,7364935.400778992
3600,2840055.8667960623,171240.59837297333,7368026.798413093
3700,2842189.380745751,171279.29763380784,7375792.859818405
3800,2842390.13992791,170471.9036095284,7381112.573734098
3900,2848449.8079058575,170033.36499787023,7386633.440953079
4000,2851915.8665571148,169418.92082577382,7392028.781051356
4100,2854047.137875835,169200.1314967847,7396164.536437112
4200,2856102.7052354445,167892.77018261206,7399068.311320594
4300,2856735.9386202344,165910.86086956027,7405840.1456193775
4400,2857164.3472867236,165535.75711601492,7405972.025179457
4500,2864389.680741533,165927.91103760118,7421384.038192457
4600,2865726.2841966758,164750.1821161718,7422833.566317587
4700,2870286.597752093,163425.84393140173,7427745.335804623
4800,2869320.9756177994,163296.07324505458,7428861.77532424
4900,2874695.927435651,162118.92752097742,7430403.109102941
5000,2877716.226381671,161898.8307908417,7440889.286311086
