milliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2748298.2333383705,200068.03571080745,7195422.3638185
100,2752745.764807309,198418.46389181286,7211687.411156147
200,2758598.7217401327,198111.36341300316,7212075.593397284
300,2754146.2527407133,198444.16179085858,7216319.975247855
400,2761652.895795482,195844.87378215083,7218775.7832031315
500,2759877.3276577527,196136.2214136592,7225393.847759454
600,2768251.5462050545,194741.47142158131,7232787.353396479
700,2769820.8771597506,193103.89929973,7233645.957080688
800,2768959.1616554125,194000.6102358141,7235207.561122668
900,2773912.842733065,192467.6563476967,7245662.656080127
1000,2773040.6795493434,192428.55367217952,7242858.528813768
1100,2775496.562801032,190081.44653630664,7253240.901896745
1200,2783202.1212414387,189386.04460346545,7262264.931772242
1300,2780624.426434629,189901.9542782649,7257965.725903799
1400,2784528.5766566102,187689.8586713582,7268056.509925124
1500,2785073.3588230014,187101.26876342512,7271389.674766337
1600,2793259.6421952113,187823.76097830458,7277348.39696238
1700,2792320.5834616,186165.95733472216,7286124.998163423
1800,2796149.1576312063,185018.44439923172,7281719.278882753
1900,2798251.298075324,185561.06183336538,7288947.618094671
2000,2802975.2426296286,183321.03329975554,7298175.412290264
2100,2804831.502286347,182048.3449320574,7295666.982321028
2200,2803897.496689407,183039.53498170534,7309913.073266765
2300,2809035.675841588,180714.16944003408,7307571.411078511
2400,2809560.6535182907,180150.7797986077,7320722.310603245
2500,2812703.1491609756,180400.49284634017,7323833.32600754
2600,2815449.481535353,179199.21186535375,7320098.193520796
2700,2815256.5075934674,177896.07113621305,7332893.598725352
2800,2822623.8512157695,177415.12653698033,7335285.580027529
2900,2820375.0476565966,177478.41487202345,7344903.655690947
3000,2823222.0942019746,175792.92563574619,7344999.1947757965
3100,2828062.6595041887,175444.3968468046,7345529.104525539
3200,2832661.5361130713,174562.84901706598,7353075.187886556
3300,2835376.335367805,173141.21613115532,7359634.384619738
3400,2834519.958697284,172842.17092290925,7367868.319265509
3500,2834583.9962922847,172735.69834915563,7367555.650928931
3600,2836724.6377245,172512.0601696321,7374306.8090373175
3700,2843245.6980722356,170569.54442290976,7379537.7323358925
3800,2844120.877371435,170586.23673096852,7378209.109461127
3900,2845878.1452819365,169458.9211909767,7395189.901366777
4000,2849556.8622640767,168165.02767050464,7396614.109395647
4100,2852506.723070654,169065.73822465108,7398467.21057963
4200,2857828.991736166,167222.1094881085,7400861.904467621
4300,2859451.865644393,167321.7587929066,7402959.181897786
4400,2860949.63125762,166765.8167863591,7412175.957728245
4500,2863284.7115587075,164515.454159466,7411259.395416502
4600,2863466.657616579,164658.9834323398,7425649.00287912
4700,2869438.536249362,164018.77749575608,7422571.376327226
4800,2870851.049917474,162897.59920633788,7424061.151247563
4900,2874456.4217252713,161763.03100328112,7435948.482818094
5000,2873461.22839226,160974.26898900513,7433990.735657257
