miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,5.000018672032014e-08,1.2997759862270225e-07,-2.822491546608541e-13,2.1898579449870523e-07,-1.1620218349440526e-11,1.2699934801881742e-07,2.6339087436269883e-12,6.5832288704706055e-12,9.03019337790211e-08,-2.3483599484043463e-12,-5.862129548269023e-10
100,4.994580508864376e-08,1.2990196002286942e-07,5.357720074647135e-11,2.1017004401446963e-07,6.763001047270111e-11,1.2698076390261975e-07,3.5112368146455745e-12,3.124832088418326e-11,8.074707653806606e-08,2.022022066357469e-11,8.224469795851716e-09
200,4.9939001423520337e-08,1.2976087034912175e-07,6.089206993458006e-11,2.019035159473376e-07,1.7133572138982427e-10,1.268596347965702e-07,2.3095047017489057e-11,5.87120456633159e-11,7.391528977240342e-08,2.5203544145508157e-11,1.7006305383332527e-08
300,4.993569567046563e-08,1.2955211961283453e-07,6.35536195782734e-11,1.9495090740139215e-07,2.800653880105766e-10,1.268024069065652e-07,3.827525845009316e-11,7.867760482619205e-11,6.646837056279045e-08,1.1648831250392745e-12,2.406313040461047e-08
400,4.993347657834111e-08,1.2945918185832667e-07,6.704045964549778e-11,1.8941997435423757e-07,3.778600905730465e-10,1.267657046835241e-07,5.755759868174277e-11,1.0593072953455304e-10,5.999685828007451e-08,1.0257598831423656e-10,3.031473212129007e-08
500,4.993221614255558e-08,1.2932223840843708e-07,6.806422454232168e-11,1.8375942711491787e-07,4.533452203215192e-10,1.2668135041634443e-07,8.208829738052544e-11,1.167223535974248e-10,5.5499310765502266e-08,5.524873032958945e-11,3.385741639094047e-08
600,4.9930632787389864e-08,1.2924047552452326e-07,6.972281139806165e-11,1.7935263443112905e-07,5.155070670673476e-10,1.267448423871964e-07,8.064433590558188e-11,1.4911536063737377e-10,4.974567516373499e-08,1.572828305395798e-10,3.8487815200941405e-08
700,4.992902266804052e-08,1.290599366933003e-07,7.197503274216407e-11,1.7546014294512325e-07,5.601120530868368e-10,1.265397669763811e-07,1.2100160469687807e-10,1.6094807308385938e-10,4.5732945386386555e-08,1.4577885957011866e-10,4.412770884381922e-08
800,4.992703239089422e-08,1.2894948802526418e-07,7.336006390516846e-11,1.7188258674566604e-07,6.154671367765659e-10,1.265647445029956e-07,1.1152149411049518e-10,1.775325331652884e-10,4.27207956702668e-08,1.7979476889311546e-10,4.765023837658115e-08
900,4.992571210104526e-08,1.2885367996920233e-07,7.521690485808269e-11,1.6871674998940283e-07,6.560949113849394e-10,1.263629682810442e-07,1.628952370149987e-10,1.9360406658508327e-10,3.9854610137781764e-08,3.3017470765962284e-10,4.999213775577921e-08
1000,4.992443608511793e-08,1.2869545845357087e-07,7.648461183685763e-11,1.6500984968022315e-07,7.197775738525321e-10,1.262647217214363e-07,1.8657535753125136e-10,2.1909165805377367e-10,3.690009259775213e-08,2.9672991199012023e-10,5.356528833645497e-08
1100,4.992229868465331e-08,1.2852359411885485e-07,7.704780671634072e-11,1.6229856608836902e-07,7.546910016720153e-10,1.2625219290944426e-07,1.9749440181440595e-10,2.366025644035426e-10,3.488831524117735e-08,4.603821994579137e-10,5.45681635676243e-08
