miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,4.9999900342961e-08,1.299679477773137e-07,-3.6106310245427557e-13,2.1991274386166156e-07,-6.567522311738726e-12,1.26930381567355e-07,-1.6082538517060848e-11,3.953178635396372e-12,9.070302808194886e-08,-2.246157678671926e-11,-3.967055651211604e-10
100,4.994556179600916e-08,1.2993120212841686e-07,5.442137498860427e-11,2.1088156944468652e-07,8.43308035930448e-11,1.2697434317572292e-07,3.974448205850754e-12,3.272281272610093e-11,8.155479665596654e-08,5.593725507520395e-11,9.505679628205414e-09
200,4.993872020098351e-08,1.2973504306742378e-07,6.186378215084297e-11,2.0266135098735424e-07,1.8052685267731427e-10,1.2691059309673685e-07,1.4947631892490984e-11,5.6123285907589113e-11,7.400107797708471e-08,4.156587189898539e-11,1.657184300815094e-08
300,4.9935459845877397e-08,1.2965923823717727e-07,6.344564973435716e-11,1.9655716592064765e-07,2.859199708013787e-10,1.2695743372237312e-07,2.4173838864612902e-11,6.977185066944685e-11,6.671327151835027e-08,-2.8850665788851766e-11,2.4395351896855707e-08
400,4.9933934511526315e-08,1.2942590609543638e-07,6.664124859299552e-11,1.9000909145811386e-07,3.7935642435073045e-10,1.2672608131413678e-07,6.185475160301222e-11,1.0551152618577991e-10,5.9571460618149635e-08,-8.194093601195551e-12,2.9459839681426163e-08
500,4.993155818086615e-08,1.2933601558998832e-07,6.864901279007683e-11,1.8448606818798267e-07,4.4509870588305595e-10,1.266748227033193e-07,7.250554008422526e-11,1.2358783099780154e-10,5.483755854095598e-08,9.663641168181323e-11,3.4767322149194246e-08
600,4.9929634736037214e-08,1.292996753627425e-07,6.995711748049225e-11,1.7977481087983557e-07,5.133046860511647e-10,1.2672160845938561e-07,8.249364910539051e-11,1.3663063700435296e-10,5.128188913296638e-08,1.388935947338579e-10,3.8843902357226274e-08
700,4.9928353759182084e-08,1.2903253201869345e-07,7.172542613254383e-11,1.7638538996089258e-07,5.697625656884882e-10,1.2660129722463412e-07,1.20790417855017e-10,1.6353572215456938e-10,4.6854544000145046e-08,1.2786065320290068e-10,4.3500916668400415e-08
800,4.992660386108409e-08,1.2895711134244863e-07,7.332041506567422e-11,1.7285696196846016e-07,6.256516323570353e-10,1.2651192815146775e-07,1.2135398774624043e-10,1.7106089282307232e-10,4.284462771427411e-08,1.7721714495982672e-10,4.652616987671175e-08
900,4.9924871192193715e-08,1.2880283521984854e-07,7.43706957965116e-11,1.6787125781963904e-07,6.675895964943396e-10,1.2629819157046784e-07,1.7128120875155847e-10,1.9970255272598496e-10,3.8869369951258397e-08,2.6876165328823393e-10,4.9486782421522527e-08
1000,4.992412099002241e-08,1.286497855709057e-07,7.620009168159164e-11,1.6606228642613055e-07,7.212183784869113e-10,1.2626136015050826e-07,1.8546259930265914e-10,2.0619554056970248e-10,3.646156813454598e-08,3.8272055729327304e-10,5.252617019347814e-08
1100,4.992279073618644e-08,1.2848383574194253e-07,7.727454680366191e-11,1.6402050918342028e-07,7.322675680127603e-10,1.261402639753153e-07,1.8969062821356575e-10,2.3656235883770694e-10,3.340959698623267e-08,4.3504492201628513e-10,5.555523147796516e-08
1200,4.9921770335213886e-08,1.2839649633487178e-07,7.77662694159256e-11,1.6083467265049674e-07,7.632621339207592e-10,1.261228014917784e-07,2.2434930342318586e-10,2.396533515049715e-10,3.253109439827225e-08,4.54116095143242e-10,5.742362303497694e-08
1300,4.9921544449972054e-08,1.2826192407639719e-07,7.974053335651592e-11,1.5773246452601346e-07,7.935796804683672e-10,1.2588976146882588e-07,2.474918866714678e-10,2.573185579061886e-10,2.9808819515349355e-08,5.903445875677221e-10,6.038742103833016e-08
1400,4.9920199047243064e-08,1.282286494968468e-07,8.042203008362072e-11,1.5587079512111079e-07,8.381429390099885e-10,1.2579411568660235e-07,2.646360546474597e-10,2.735002735090089e-10,2.8471673518819982e-08,6.833494589518107e-10,6.145291783023405e-08
1500,4.991913237952029e-08,1.281249565950723e-07,8.073815017195093e-11,1.5435639983168675e-07,8.374753786956568e-10,1.2575534680668645e-07,2.967722374036456e-10,2.92624834636432e-10,2.739640639760308e-08,7.445957423876572e-10,6.213003061308884e-08
1600,4.991858386501459e-08,1.2796362008869136e-07,8.213853653262838e-11,1.5252853837478e-07,8.639954716822582e-10,1.2551065263767107e-07,3.4182121396943496e-10,3.0942175073506034e-10,2.463522264712292e-08,7.511249250173341e-10,6.515944064985947e-08
1700,4.9917963292978534e-08,1.2771434953757054e-07,8.2357396017141e-11,1.52100044515657e-07,8.932090059661915e-10,1.2546946354200572e-07,3.408839109000741e-10,3.192235307212227e-10,2.288373970751341e-08,8.261560694039641e-10,6.504080513236915e-08
1800,4.9916922844171165e-08,1.2765552413220046e-07,8.318101225683095e-11,1.504055869832084e-07,9.019611217574886e-10,1.2527884922084492e-07,3.819005852735516e-10,3.362170518843686e-10,2.265875481289619e-08,8.998765693989324e-10,6.743518432574186e-08
1900,4.99163415858178e-08,1.2761303662779434e-07,8.35766239456601e-11,1.5026629452886036e-07,9.145398560759101e-10,1.2522465140810856e-07,4.0229469111235937e-10,3.4724365760727435e-10,2.101893490406699e-08,1.0495838927397516e-09,6.827502426441686e-08
2000,4.9915062596184895e-08,1.2734945301025766e-07,8.396810392374876e-11,1.4868820176690287e-07,9.384754610780429e-10,1.2509877338191778e-07,4.353106744086462e-10,3.4652076852134215e-10,2.0359830036177992e-08,1.0623294260142122e-09,6.845945044101023e-08
2100,4.991510097033058e-08,1.2737706185073755e-07,8.470254674343946e-11,1.4764013480976593e-07,9.335923481601433e-10,1.2504471478600262e-07,4.805185090242421e-10,3.6949940949020644e-10,1.8506627024550117e-08,1.2108362000068842e-09,7.04236121116344e-08
2200,4.991419814682115e-08,1.27201780472513e-07,8.565377453606067e-11,1.4709057341151213e-07,9.341018401143679e-10,1.247534630791703e-07,5.024415421349394e-10,3.768752081931235e-10,1.8160546008703625e-08,1.2473810669097656e-09,7.059105520456895e-08
2300,4.991440484161893e-08,1.2706033608231085e-07,8.558521709958496e-11,1.452054864677639e-07,9.656332612025282e-10,1.2478958771396304e-07,5.394276912573844e-10,3.8484005973295223e-10,1.7597430793272703e-08,1.3308233284139179e-09,7.056988628155472e-08
2400,4.991381575003811e-08,1.2693440385894974e-07,8.553754103534214e-11,1.4484679645857432e-07,9.634689161379447e-10,1.244954939620379e-07,5.485534105713602e-10,3.992958397392488e-10,1.5514888467204154e-08,1.5372497071268382e-09,7.164391525258487e-08
2500,4.9913623887863636e-08,1.2680256110736412e-07,8.656746392173791e-11,1.4402706775235613e-07,9.721459343119714e-10,1.244800938064402e-07,5.852711295133697e-10,4.040466437054268e-10,1.6130336140920538e-08,1.55270873287986e-09,7.229027067230803e-08
2600,4.991359949321512e-08,1.266792872649419e-07,8.662434878788961e-11,1.4381921958726396e-07,9.78258212818987e-10,1.2435457631759352e-07,6.09379530836994e-10,4.197719377675237e-10,1.4238235247655072e-08,1.6561565033431717e-09,7.367640812532329e-08
2700,4.9912882575852114e-08,1.264526491012878e-07,8.709617453664109e-11,1.4309229073223228e-07,9.665829945447903e-10,1.2419751730640467e-07,6.292642582333223e-10,4.246966420577956e-10,1.5267340691058652e-08,1.703855798976236e-09,7.36914094891464e-08
2800,4.9912154043144814e-08,1.2633379632916635e-07,8.696517191664964e-11,1.410259038910699e-07,9.909187653607036e-10,1.2412242041070004e-07,6.745703596581337e-10,4.37618611988789e-10,1.3171134534249967e-08,1.8965155795662308e-09,7.333251886457711e-08
2900,4.99124712982292e-08,1.2635217788692682e-07,8.764518754545349e-11,1.4193616942087787e-07,9.897436751380925e-10,1.2392505268436275e-07,7.011177686717091e-10,4.3806010464419533e-10,1.3108861482461945e-08,1.8997036618481665e-09,7.482849308635709e-08
3000,4.991259218874837e-08,1.2615930321521942e-07,8.734667147935828e-11,1.413664015583894e-07,9.964645615355871e-10,1.2376128460167277e-07,7.29036743320131e-10,4.436042451446256e-10,1.3469748849485414e-08,2.0345712077833087e-09,7.516012072867252e-08
3100,4.991222826606523e-08,1.2600967814258624e-07,8.810628423290316e-11,1.405225568226828e-07,9.86794929090726e-10,1.2365693492062376e-07,7.292410571609389e-10,4.654054098471455e-10,1.2291485682381639e-08,2.169481674144389e-09,7.600886994694389e-08
3200,4.9912097701828046e-08,1.259981078525455e-07,8.851754669978049e-11,1.4089627849169852e-07,9.91904158102132e-10,1.236262778084703e-07,7.843412168322634e-10,4.703917490337564e-10,1.2318928318747984e-08,2.261377144208048e-09,7.46560695844902e-08
3300,4.991096856110599e-08,1.2585676141759234e-07,8.822468735700868e-11,1.406213149597912e-07,9.892824686965895e-10,1.2342861070798092e-07,8.041527930096099e-10,4.70722850824074e-10,1.1510594768943396e-08,2.3113219503528604e-09,7.525685212879335e-08
3400,4.991164072988387e-08,1.2574361106839408e-07,8.833031116590248e-11,1.3875607561026226e-07,9.945563868477755e-10,1.2332339187454464e-07,8.013001885731033e-10,4.834044460538204e-10,1.1878078569150976e-08,2.424566720716668e-09,7.670046193236951e-08
3500,4.991143319058863e-08,1.254597840452516e-07,8.833767986175385e-11,1.3874487884321073e-07,1.0071868439517814e-09,1.231622833265485e-07,8.359454435898085e-10,4.959600868809937e-10,1.2163290795213067e-08,2.5255119906111048e-09,7.697430496841736e-08
3600,4.991079006940391e-08,1.2533625881489772e-07,8.909856046069893e-11,1.3917242931036393e-07,9.983919449763912e-10,1.229476710368398e-07,8.526190485823876e-10,4.978671750331568e-10,1.0666575314780221e-08,2.5568573350902876e-09,7.699451346232693e-08
3700,4.991121534951845e-08,1.2535601848751951e-07,8.824910245560407e-11,1.3847854882620592e-07,1.0003046052812949e-09,1.2282867804449214e-07,8.781282666589576e-10,5.12135320414553e-10,1.1203089801740686e-08,2.6880155187421014e-09,7.649791518336786e-08
