miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,5.000017011245927e-08,1.299490116123907e-07,-2.4698331738298157e-13,2.2014611169994377e-07,-9.689705750589927e-12,1.2703834134706534e-07,6.068756116540096e-12,7.386321136451832e-12,8.967078886403033e-08,1.1750872931296302e-11,-2.649423538682607e-10
100,4.9945634518860625e-08,1.2978229210991742e-07,5.369036846138986e-11,2.1036235909594964e-07,6.607914997257012e-11,1.2704870004391346e-07,-3.647360109093344e-12,3.33370015166436e-11,8.021610563742483e-08,-3.1376850046119755e-11,8.186511660555485e-09
200,4.993887048089582e-08,1.2975505395671285e-07,6.20671349927813e-11,2.0334944292943307e-07,1.879633949447255e-10,1.2685986513438508e-07,2.241040931210658e-11,5.433467559765456e-11,7.285807936775718e-08,5.344721306096095e-12,1.602920160039164e-08
300,4.993516038938342e-08,1.296132847119423e-07,6.434136829816826e-11,1.9660685184950583e-07,2.735782852073225e-10,1.269023721159e-07,1.5744821920841914e-11,7.113279241373036e-11,6.560060301244145e-08,4.2725460742483826e-13,2.278928123070941e-08
400,4.993342197943736e-08,1.2947501619040704e-07,6.589604900299861e-11,1.9079760824535063e-07,3.736927346786467e-10,1.2677709546906874e-07,3.51499942033222e-11,1.0178257737071763e-10,6.042279330920815e-08,8.063273999226292e-11,3.042436738499945e-08
500,4.993139791618681e-08,1.2934903282750366e-07,6.874986790395275e-11,1.8358739837874253e-07,4.397917352533929e-10,1.266574982461483e-07,6.185305387374438e-11,1.1793212153181634e-10,5.491380006138725e-08,8.72493357705643e-11,3.450864192478578e-08
600,4.992964837491131e-08,1.2927849978939192e-07,7.060006416221861e-11,1.8049166191990733e-07,5.020739553651948e-10,1.2674635087032465e-07,9.923046599859802e-11,1.4007813979620646e-10,5.013325239543159e-08,8.956516976492752e-11,3.8770139024274936e-08
700,4.992772778848322e-08,1.2902034312308596e-07,7.12446279512357e-11,1.763255831599928e-07,5.747509741868664e-10,1.2665328796298366e-07,1.0332818871464952e-10,1.6538081158753903e-10,4.602678096472113e-08,1.1476124082761361e-10,4.256080577206554e-08
800,4.9926842806288615e-08,1.2901832424003445e-07,7.272188058860185e-11,1.715216392415722e-07,6.334924750603317e-10,1.264207451291309e-07,1.1849146739522604e-10,1.714372247667713e-10,4.313948754408397e-08,2.1118986252453516e-10,4.646550053481275e-08
900,4.99252037312837e-08,1.2874535093376185e-07,7.418266164642847e-11,1.6861737615389063e-07,6.628470930696907e-10,1.2639298420651368e-07,1.4633735416223058e-10,2.0103900009550387e-10,3.916687515311526e-08,2.3189289084217573e-10,5.087937497123618e-08
1000,4.9924203723785285e-08,1.2876051765533943e-07,7.645094016599574e-11,1.6675129196481818e-07,7.076522793865341e-10,1.2631890322195493e-07,1.8513761778057763e-10,2.137274198960796e-10,3.737411216590604e-08,3.302886379314802e-10,5.283704296771469e-08
1100,4.992343253823303e-08,1.285868576413709e-07,7.749647193185644e-11,1.6388666553552985e-07,7.401362441181795e-10,1.2619368179802196e-07,1.991092727507476e-10,2.3473762142717494e-10,3.420173042678073e-08,4.607535158650008e-10,5.581045238385474e-08
1200,4.992203456937741e-08,1.2837973506543844e-07,7.752026538145027e-11,1.6005769414880163e-07,7.844608339271022e-10,1.2609040006462256e-07,2.1074159540553254e-10,2.4090790754874475e-10,3.269554023106393e-08,4.181014284718421e-10,5.751286767124221e-08
1300,4.992028704664345e-08,1.2824776075114869e-07,7.891378575614319e-11,1.5763147029479065e-07,7.948210431911558e-10,1.2593715038424383e-07,2.6853641166675815e-10,2.6338701166101323e-10,3.0411081763491004e-08,4.908765862895678e-10,5.857836531380114e-08
1400,4.992001922352247e-08,1.2822882566264177e-07,8.070027239608555e-11,1.5618388158594566e-07,8.219327284927237e-10,1.2585820124266798e-07,2.8157045475972564e-10,2.7448162318961113e-10,2.901268265782201e-08,6.198402831860165e-10,6.215459440114062e-08
