milliseconds,cLm,cLc,cLn,cTm,cTc,cTn,cXm,cXc,cXn,cYm,cYc,cYn,cPn
0,0.5183080408171219,0.015399226349572479,0.08968622587820416,0.4479600176234441,8.721249944189998,0.3999574968420224,0.07953372388980169,1.33624750225993,0.401889924210007,0.03971682250409647,0.004283024761421658,0.012404677477818916,0.8242659218890712
100,0.7172522407495007,0.01991210189818428,0.0870159819070215,0.4684055698977757,8.534107115039264,0.38544575666322034,0.07648517402374645,1.3426012630041104,0.4000264203286244,0.1087395755775318,0.00520595634145041,0.012846600687422776,0.7293181713470318
200,0.8948852444906066,0.023815923379997158,0.09874818979809057,0.45625354675458807,8.166311731631163,0.37637429155176294,0.07553512896076658,1.3392813514034043,0.39881526803950407,0.15530875435837904,0.006967041329785378,0.013309316379660726,0.6163732491534677
300,1.020725658249623,0.027779769312854634,0.10813212623778387,0.4528373207531292,8.023746261974921,0.3632331659018898,0.072990070468944,1.3133155339761382,0.39394623892428415,0.17181893660357736,0.009854495426168187,0.014933230944481861,0.5260281440459519
400,1.0928421462173297,0.030927564381421725,0.12928655252734386,0.46710306223222114,7.8315808194062795,0.34843729561461395,0.06974173206264982,1.308050877843809,0.3917288702386743,0.18373361931907897,0.011963487681532745,0.016620898984426955,0.44258823278971643
500,1.144230145291241,0.03229015601021075,0.14392872302014148,0.46013555884455615,7.653297687242222,0.32752382935798674,0.06849599558063789,1.3232268535182088,0.3945669177200384,0.1788477581954939,0.013896266645462256,0.017953422851131676,0.34444888049427685
600,1.2182108618322294,0.035150231148608005,0.1592374731413171,0.47470284979247973,7.340184813760681,0.3134520002067177,0.06626295022318576,1.3169300360564964,0.38878463802049446,0.17307714026781248,0.015595127400483081,0.021194811571686713,0.30669546221095306
700,1.2505984084009623,0.03526137959051334,0.16655295495333483,0.48630596371144913,7.289179159215628,0.30233080612424806,0.06487009508249046,1.2976146546336451,0.3889361247971658,0.15908764137282908,0.016250829728115906,0.023544405453682804,0.2690463758176972
800,1.27809902908398,0.036914822080032834,0.18144090179317518,0.5055377324487896,6.96397112198853,0.2950759279621148,0.06088171962255572,1.2910876055562852,0.39202208800285243,0.14695317737418415,0.016655030332037694,0.02472701791223721,0.19855849216793728
900,1.2742925710220412,0.03803895714790996,0.19480675782168463,0.5176620590875146,6.910451507220638,0.28861370669409175,0.06013258473663115,1.2777430526013491,0.38427788867743945,0.1349887218538436,0.017000555403084233,0.028373369347205402,0.1680201498462204
1000,1.310112052941028,0.038383756349346564,0.20900586681480302,0.514822189517363,6.798547216587464,0.27693202887118434,0.05550635603169978,1.2721629964906234,0.3851598011346751,0.1145051416439768,0.016475172229516475,0.029238260339094463,0.1317257485887521
1100,1.3310485235561922,0.0382110493594232,0.21095549534248273,0.539881247945851,6.587692623777616,0.2669567044829832,0.056169477549741706,1.2623253288285134,0.3861249710791559,0.09973697737210817,0.016200577266814228,0.03261927336671214,0.10878196240201832
1200,1.3093934681722295,0.03806641677572262,0.22064966881069512,0.5426449428042306,6.457656339511919,0.2590753369618036,0.053819852383162656,1.2667087402792672,0.3787758829078863,0.09465296942533187,0.015833390117597674,0.03340149108840185,0.09557022001784365
1300,1.2747554933680565,0.038244696538167366,0.22651142243966674,0.5475075470655313,6.359804349915647,0.2496710239810636,0.05187797662163967,1.269386464275389,0.38177927922779314,0.0849953324365187,0.014761508736849048,0.03515050071706874,0.08585706805928428
1400,1.2561688121523897,0.03744257348746892,0.22698135037083164,0.5788973225626252,6.1655059922075335,0.23659856686866973,0.048583501372940624,1.2488347856968878,0.3729271789495905,0.06965106089477997,0.014536500820602974,0.03606383830367166,0.06716220625431675
1500,1.235921036862389,0.03742327532859856,0.23147969164051238,0.5702161289562038,6.120287107532833,0.2373754583383635,0.04651540037482007,1.2512551804902474,0.3777909408940865,0.06387608860011981,0.013757465152356829,0.03738530410304226,0.060918862585997935
1600,1.2193758283252576,0.03532071712232256,0.22726726922869694,0.582564898612817,5.9805461652891205,0.22913404700131595,0.0473496084645675,1.2266697830669828,0.37038200094175255,0.060232960275533355,0.012937422095215442,0.038121770365707436,0.046946294141109186
1700,1.2178451958858367,0.03585964824697165,0.23321027574299213,0.6034183549211924,5.798309226764191,0.2215140764795311,0.04395888745454428,1.2194230589994053,0.37023186315324536,0.055342582179849005,0.012278880162292838,0.039973805388241045,0.04172873117440526
1800,1.1620152506345098,0.03478389933547687,0.23088532808632778,0.6199148201863055,5.793955000656546,0.21965620880022274,0.04235101933770012,1.2164639415547183,0.36336046831150426,0.04622112639682362,0.011249320246669985,0.03968034212509384,0.013691543451510264
1900,1.1425532851715647,0.03428937604820094,0.22952045709907318,0.618353220682917,5.715247828995002,0.21277034406868495,0.040631629855302075,1.1968667932747024,0.3658123545394308,0.04156447380300167,0.010683419320392308,0.04065401154317755,0.011155455974503766
2000,1.1568309139907806,0.032737956636468404,0.22009175285255497,0.6285219987418338,5.51975286986032,0.20527525998041987,0.04181831665440839,1.1858088985053978,0.36206357684782503,0.04024751261873291,0.01055008382044226,0.03982527409762753,0.0177103168500027
2100,1.0947294684717075,0.03212754895108091,0.2242958087347507,0.6396636064755037,5.538272135878526,0.19999045331466456,0.04024142071508711,1.192485158361694,0.3563964011140013,0.03854282635735315,0.010038191736574548,0.040829281954756574,0.004858379043108655
