milliseconds,species_17,species_67,s118,s119,s120,s122,s126,s135,species_3,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_18,species_19,species_20,species_21,species_22,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_74,species_75,species_76,species_78,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_90,species_91,species_98,species_99,species_100,species_101,species_104,species_105,species_106,species_107,species_108,s138,s139,s140,species_68,species_92,species_94,species_95,species_96,species_97,species_102,species_103,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,85.0,0.0,0.0,34.0,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,100.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,2.887171763374009e-17,3.993873684728704e-39,9.227241797576118e-42,3.728778483618991e-46,1.773446108460513e-49,3.727504725272042e-45,0.0,10.717379168045952,0.09537869524638179,0.0,0.0,0.0,0.0,1000.0,9.352960501737005e-20,0.0,1.2160724038866877e-42,0.0,0.0,2.259762049266979e-25,3.9758796828098115e-62,50.0,5.649215811934677e-23,4.908382514938092e-46,5.1482213127436374e-58,83.73356116055092,0.0,0.0,32.73356116055088,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,1.266438839449132,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,1.282487719505922,0.00013311245697907484,1.4526172153146935e-11,1.0850351669665364e-15,1.258337451248655e-16,1000.0,7.071923388036533e-19,3.031390320262072e-38,7.001437824228748e-41,1.6340600780890143e-18,4.288783277525389e-22,1.715570980523975e-24,4.3873905314527404e-57,3.388973740890905e-61,1.862643169868253e-80,2.8307627702989664e-44,1.1110848568697065e-81,8.21639083608637e-85,3.0097435355275184e-90,10.717379168045952,100.0,0.0,0.0,11.904621304753611,6.253650356753238e-18,2.822770031915274e-45,1.0646942575790427e-50,2.271547799200314e-47,3.9571851308682286e-54,5.607474551814532e-52,1.3436492138866132e-48,5.248497125485442e-53,4.910058503884281e-47,60.0,2.3334729668332087e-50,3.737835288149455e-49,1.7503988719024175e-52,3.473233280190413e-54,9.101616796357075e-55,6.581304604803845e-53
200,0.0,0.0,2.6406399803785584e-15,9.287028363555689e-35,9.701102140146675e-37,7.484456864844974e-41,6.881173905582937e-44,7.479504195859774e-40,0.0,9.688240752021581,0.18952549213205377,0.0,0.0,0.0,0.0,1000.0,1.998801776572859e-17,0.0,1.3460706148656516e-37,0.0,0.0,9.434266368381434e-23,5.7692075898692515e-56,50.0,2.358413892112448e-20,1.0366173577812172e-40,3.772550466449779e-52,82.53197921445013,0.0,0.0,31.53197921445007,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,2.468020785549934,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,2.3112637760957857,0.0004954718403851386,4.0943499321922947e-10,5.4690316241139776e-14,1.2367538328750478e-14,1000.0,1.4413619092142327e-16,6.71297738556023e-34,6.99246114798304e-36,1.6623780132460097e-16,1.714487036081082e-19,6.858394976403508e-22,3.162785016272686e-51,4.836903189652435e-55,1.0630966210914022e-71,5.397590970499523e-39,1.3021464748153408e-72,2.0216564120490565e-75,1.5780275634064122e-80,9.688240752021581,100.0,0.0,0.0,11.810474507867937,1.1476958457763812e-15,5.368216173385863e-40,7.66550272546974e-45,8.365446509812661e-42,3.333435187586034e-48,2.0644842655329272e-46,4.9393255194492555e-43,3.7720297943970194e-47,1.0373032766298294e-41,60.0,9.530082349083538e-45,1.4678109755369332e-43,1.344357269655836e-46,2.64493794788873e-48,7.272251113476977e-49,2.462811074302186e-47
300,0.0,0.0,3.3694564368571004e-14,2.567909607774092e-32,5.651758713450139e-34,6.020430843878765e-38,7.491074140662882e-41,6.015031655752865e-37,0.0,8.845112682423345,0.28245630170623015,0.0,0.0,0.0,0.0,1000.0,4.468551344690965e-16,0.0,8.128424062921281e-35,0.0,0.0,3.163462619081509e-21,1.0682225857856992e-52,50.0,7.907893920737234e-19,8.621528130197236e-38,5.3489955172101175e-49,81.39069830746352,0.0,0.0,30.39069830746345,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,3.6093016925365524,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,3.1538441858809385,0.0010431293280879139,2.765962061173268e-09,5.032666980116679e-13,1.6815863910551085e-13,999.9999999999999,3.0862142082733532e-15,1.7876049058127283e-31,3.92992452793773e-33,2.336141888854373e-15,5.526022560289011e-18,2.2106241922943535e-20,4.4399168195147963e-48,8.873834581947714e-52,7.69862878637103e-68,4.196931769265239e-36,1.135431996272701e-68,2.0848691050068605e-71,1.8952082343810943e-76,8.845112682423345,100.0,0.0,0.0,11.71754369829376,2.229613268365364e-14,4.166010232212584e-37,1.0752245525100843e-41,8.817946718546523e-39,5.092101532582952e-45,2.175786576550457e-43,5.200238443528019e-40,5.285187121586826e-44,8.629243872613456e-39,60.0,1.0705321665757338e-41,1.6101311809585187e-40,1.956827314887802e-43,3.831272513397323e-45,1.0821896663633831e-45,2.6236886521971127e-44
400,0.0,0.0,1.9278742542094798e-13,1.3356355184866306e-30,5.341283582367265e-32,6.82947952204992e-36,1.013181207149353e-38,6.822169308599002e-35,0.0,8.142564354218916,0.37418682948567905,0.0,0.0,0.0,0.0,999.9999999999995,3.881360900512688e-15,0.0,7.971756608297269e-33,0.0,0.0,3.637239429133111e-20,1.9911644346392061e-50,50.0,9.091947265438867e-18,1.0120025054077984e-35,8.422178732596464e-47,80.30557776745846,0.0,0.0,29.305577767458377,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,4.694422232541621,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,3.8556922796143125,0.0017433527924275093,1.0443211914148704e-08,2.3208437975800454e-12,1.0157379424145267e-12,999.9999999999989,2.5816756573139997e-14,8.965705185807888e-30,3.5791834351427765e-31,1.4549193751592e-14,6.140164913946299e-17,2.456380826127662e-19,6.91704966562701e-46,1.6378592911338275e-49,9.651234301889597e-65,4.599829984325736e-34,1.4710261901572768e-65,2.8176160363494144e-68,2.6903273809804513e-73,8.142564354218916,100.0,0.0,0.0,11.62581317051431,1.7099684000968243e-13,4.55938496595669e-35,1.6742460955451312e-39,1.154720994872737e-36,8.482536207119048e-43,2.8484927921664477e-41,6.802680041003496e-38,8.221707143885306e-42,1.0130810606675949e-36,60.0,1.4949039236924874e-39,2.194656244238922e-38,3.162937303873582e-41,6.1590759980684085e-43,1.7891659341906351e-43,3.47442521988224e-42
500,0.0,0.0,7.193941850021759e-13,2.8233444216375904e-29,1.826262363067558e-30,2.9092091697378427e-34,5.336547446571847e-37,2.9053528673067496e-33,0.0,7.548781083471266,0.4647325781540533,0.0,0.0,0.0,0.0,999.9999999999983,2.046942343070547e-14,0.0,2.823292224553955e-31,0.0,0.0,2.4025815909266995e-19,1.5472346875186283e-48,50.0,6.005505928327538e-17,4.4613161882215035e-34,5.340527310281416e-45,79.27284526362968,0.0,0.0,28.272845263629588,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,5.727154736370414,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,4.448647807139141,0.0025710578926363466,2.8740293998761243e-08,7.377399994951707e-12,3.975065057701638e-12,999.9999999999951,1.31484424127284e-13,1.83147090152628e-28,1.1815649332042675e-29,5.863732318693946e-14,3.927830100655773e-16,1.5713837505152598e-18,4.330294064390456e-44,1.256666617140778e-47,3.040383011813502e-62,1.8926726730460897e-32,6.083120982794549e-63,1.5389956754475642e-65,1.9488660424045215e-70,7.548781083471266,99.99999999999996,0.0,0.0,11.535267421845933,8.02068168754936e-13,1.872129509559796e-33,1.0472235133668246e-37,5.874114346376895e-35,5.776599584445532e-41,1.4487315031560565e-39,3.4558795851024685e-36,5.1360228934163065e-40,4.467203289906565e-35,60.0,8.147203449891761e-38,1.1660407339818917e-36,2.065387205583304e-39,3.997892255660931e-41,1.198329205349355e-41,1.7902471365349928e-40
600,0.0,0.0,2.0557035978887655e-12,3.3252195872052177e-28,3.162169564134655e-29,6.181245457922749e-33,1.3839650965684362e-35,6.171227044238451e-32,0.0,7.040906661916509,0.5541088501580171,0.0,0.0,0.0,0.0,999.999999999995,7.854077870073392e-14,0.0,5.041147080163e-30,0.0,0.0,1.1136880331503883e-18,5.779673723621782e-47,50.0,2.7836900733409713e-16,9.765589680013739e-33,1.6520309405007017e-43,78.28905714638766,0.0,0.0,27.289057146387577,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,6.710942853612421,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,4.955586589313153,0.0035066316911481718,6.484722601554059e-08,1.8584269764234957e-11,1.1837261043098121e-11,999.9999999999849,4.884889283339388e-13,2.091001911651597e-27,1.9838946942647732e-28,1.795910437042612e-13,1.766476874748433e-15,7.067275257244248e-18,1.3240328485493221e-42,4.641654348877418e-46,3.970281889961956e-60,3.9010363967381317e-31,8.954239310675182e-61,2.562591448701634e-63,3.6671039232937377e-68,7.040906661916509,99.99999999999984,0.0,0.0,11.44589114984197,2.756528338321754e-12,3.8494480738413744e-32,3.198478835454549e-36,1.477521104231615e-33,1.9172002888401448e-39,3.6435723072699616e-38,8.680210419376265e-35,1.5665937562686064e-38,9.781341058295969e-34,60.0,2.1760499398846057e-36,3.047955988607548e-35,6.549446816012364e-38,1.2617616271271365e-39,3.881430231702497e-40,4.55690379127158e-39
700,0.0,0.0,4.902677294780193e-12,2.550959229871158e-27,3.3334511975244054e-28,7.51223817204425e-32,1.9400169455182747e-34,7.498173199119602e-31,0.0,6.602036698720079,0.6423307502999597,0.0,0.0,0.0,0.0,999.999999999987,2.415814214673362e-13,0.0,5.461166599499052e-29,0.0,0.0,4.0202945552718325e-18,1.0604767949728917e-45,49.99999999999999,1.004849573442688e-15,1.2175405812174368e-31,2.632940343664217e-42,77.35106319571416,0.0,0.0,26.35106319571409,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,7.648936804285913,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,5.393428628502622,0.004534422589419161,1.277086506504824e-07,3.9963745799540644e-11,2.925126563638829e-11,999.9999999999616,1.4590733284488703e-12,1.5608700344746373e-26,2.0350985182409136e-27,4.557869815489287e-13,6.20317573912347e-15,2.4818337158517373e-17,2.0895210939748642e-41,8.437690390729812e-45,1.4122885542524165e-58,4.619222976379095e-30,3.6620830420051372e-59,1.2010518623565819e-61,1.9553409714627224e-66,6.602036698720079,99.99999999999956,0.0,0.0,11.357669249700027,7.654972056778312e-12,4.548821170843748e-31,5.042683665494772e-35,2.019201504603368e-32,3.232309136300256e-38,4.9788739807949625e-37,1.1847832724228004e-33,2.4670477184435335e-37,1.2198066550212944e-32,60.0,3.1258934801384474e-35,4.301340166245093e-34,1.064627098562455e-36,2.0432997447934127e-38,6.417312695109827e-39,6.29232565001287e-38
800,0.0,0.0,1.0268111592145897e-11,1.4607365079262367e-26,2.5239568871738085e-27,6.4103266785362414e-31,1.8604045998798304e-33,6.396819997689372e-30,0.0,6.219425240966839,0.7294131882912138,0.0,0.0,0.0,0.0,999.9999999999708,6.324674027703128e-13,0.0,4.242755550715512e-28,0.0,0.0,1.2093629976483683e-17,1.2646057717023157e-44,49.99999999999998,3.0226346879353064e-15,1.0643194406751405e-30,2.7986526838193587e-41,76.45597599874775,0.0,0.0,25.45597599874768,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,8.544024001252325,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,5.77493255226306,0.005641746301867862,2.278495000050254e-07,7.666311967008599e-11,6.316267149467597e-11,999.9999999999148,3.719003035976421e-12,8.711625761928694e-26,1.5017876691914946e-26,1.0094388403197548e-12,1.8193684127011322e-14,7.279371072051753e-17,2.199921161218745e-40,9.97210398777831e-44,3.800771934975908e-57,3.8460608241964954e-29,1.0563690074580532e-57,3.705807885419919e-60,6.461655972935917e-65,6.219425240966839,99.999999999999,0.0,0.0,11.270586811708773,1.8221763279286815e-11,3.780226987638571e-30,5.304299404890681e-34,1.8906918896278743e-31,3.6062535898601673e-37,4.661506952148038e-36,1.1080898139980663e-32,2.5922522285086686e-36,1.0665462412504206e-31,60.0,3.0674988196844003e-34,4.151342191241563e-33,1.152386805129284e-35,2.203748305216644e-37,7.056974935696366e-38,5.951735004448317e-37
900,0.0,0.0,1.9507758401861054e-11,6.808794852476574e-26,1.5320186668175314e-26,4.462925589676272e-30,1.4823745033750448e-32,4.4521433917295385e-29,0.0,5.883313513644233,0.8153708812703494,0.0,0.0,0.0,0.0,999.9999999999403,1.4654406646310788e-12,0.0,2.6424590408369747e-27,0.0,0.0,3.171154654589984e-17,1.30542865046734e-43,49.99999999999994,7.925595606079677e-15,7.604167787306591e-30,2.5166991361154725e-40,75.60114428273204,0.0,0.0,24.601144282731966,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,9.398855717268038,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,6.109867541142944,0.006818192751814358,3.771869855847772e-07,1.3493807396229022e-10,1.2318818513183227e-10,999.9999999998297,8.407649577207517e-12,3.9605068291158647e-25,8.884778976629089e-26,2.016785908805016e-12,4.65958243961373e-14,1.8643829304853718e-16,1.9542149181117996e-39,1.0169108199736973e-42,9.4173371290677e-56,2.607995347665511e-28,3.18269254190309e-56,1.3632444072500485e-58,2.906624610700353e-63,5.883313513644233,99.99999999999798,0.0,0.0,11.184629118729637,3.8614593426415876e-11,2.557049302108992e-29,4.705929405306667e-33,1.4656093988224015e-30,3.443192649822436e-36,3.613145562420589e-35,8.576878783174952e-32,2.2965593836597887e-35,7.622421881400778e-31,60.0,2.509918876468847e-33,3.3331667766404675e-32,1.0592041795906457e-34,2.0168628549562385e-36,6.612181604373571e-37,4.6703006162345705e-36
