milliseconds,T,T_i,V_I,V_NI
0,180000.0,1675.0,134000.0,0.0
100,179380.46783121885,1672.758914891616,130508.59775458407,3470.996995777745
200,178764.93876684076,1668.531529132229,127859.82815529403,6035.471711402486
300,178152.9520631097,1662.852488573183,125803.74977233783,7924.876536437577
400,177544.1819443708,1656.100013797149,124163.6522732256,9311.539723611477
500,176938.39740455506,1648.5424132657895,122814.44630650408,10323.84371355388
600,176335.4342790675,1640.3703999614957,121667.60372613097,11057.392418679303
700,175735.17574658262,1631.7196568660497,120660.60188824152,11583.369994948302
800,175137.53828170436,1622.6870936591433,119749.30242892132,11954.673165953478
900,174542.46160337602,1613.3424802413306,118902.48026205742,12210.663245736325
1000,173949.90191138355,1603.7362761445147,118098.12457576444,12380.644605314257
1100,173359.82693925395,1593.905356578388,117320.73062604661,12486.40720978146
1200,172772.21249077297,1583.8770222316161,116559.39462580011,12544.155999304823
1300,172187.0400268153,1573.6717933885695,115806.48174764005,12565.950523415544
1400,171604.2949345627,1563.3054140246104,115056.6686429142,12560.760491233921
1500,171023.96531697537,1552.7902540484388,114306.27009518567,12535.258464367616
1600,170446.0411395976,1542.136297881435,113552.76283632923,12494.412489141954
1700,169870.51362661624,1531.351844530629,112794.44714736314,12441.918751624478
1800,169297.37483979063,1520.4439961829996,112030.2091527692,12380.528041132467
1900,168726.6173638616,1509.4190235736353,111259.34244574531,12312.298771983229
2000,168158.23409877103,1498.2826076984836,110481.42948561847,12238.77416261224
2100,167592.2181312745,1487.0399899304352,109696.26655531168,12161.104051218565
2200,167028.5626302713,1475.6960946395375,108903.8025979717,12080.144691679232
2300,166467.26076131134,1464.2556296981663,108104.08889700942,11996.540901953162
2400,165908.30563354306,1452.723149570422,107297.24675562572,11910.783257779594
2500,165351.690271868,1441.1030893597504,106483.44919698357,11823.245206917585
2600,164797.4075969776,1429.3997898034086,105662.9072865691,11734.211333416115
2700,164245.45040867542,1417.6175185392847,104835.85846386715,11643.900380253046
2800,163695.81137568527,1405.7604840101237,104002.5584757358,11552.481433018955
2900,163148.4830252508,1393.8328496032127,103163.27313482948,11460.09108849963
3000,162603.45774253554,1381.8387366483387,102318.27547124121,11366.841225201986
3100,162060.72777544436,1369.7822211849993,101467.84665366953,11272.818784556845
3200,161520.2852202647,1357.6673527680794,100612.26512815963,11178.10716376114
3300,160982.12204701293,1345.498128332908,99751.81807641052,11082.765885991286
3400,160446.2300835361,1333.278512700484,98886.79091134465,10986.850226310251
3500,159912.60102523942,1321.0124301299525,98017.47003551226,10890.407128502593
3600,159381.22643290865,1308.7037696067082,97144.13985075282,10793.480085981675
3700,158852.0977405686,1296.3563788313697,96267.08424857495,10696.107484976634
3800,158325.20625321887,1283.974069194238,95386.58353822952,10598.32833116027
3900,157800.5431498633,1271.5606150355584,94502.91385538911,10500.183710789575
4000,157278.09950650088,1259.1197324904122,93616.35648684621,10401.698341993118
4100,156757.86626327568,1246.6551156853604,92727.17941575764,10302.917617352283
4200,156239.83426054113,1234.170402703414,91835.65369019227,10203.874062736986
4300,155723.99423772944,1221.6691792785819,90942.050836449,10104.592525373071
4400,155210.3368162263,1209.1549980065115,90046.63150375294,10005.114479052558
4500,154698.85253589656,1196.631347029942,89149.66126989243,9905.462041062647
4600,154189.53183294582,1184.1016712873356,88251.39870991108,9805.666270531034
4700,153682.365054079,1171.569363309769,87352.09994245924,9705.755503555803
4800,153177.34245637426,1159.0377678130105,86452.0174269727,9605.75690794807
4900,152674.45421667883,1146.510170963108,85551.40092661045,9505.696269460563
5000,152173.69042776438,1133.9898108197324,84650.49562237218,9405.600840937394
