miliseconds,cdc13T,preMPF,ste9,slp1T,slp1,IEP,rum1T,SK,M,MPF
0,0.19939241253889567,-0.00023095660174485218,0.999982416020337,0.00020950510261294532,2.191579518503611,-2.3739216249292362e-05,-0.0017426091375940427,0.00010678504485358587,0.9970538291481638,0.20167544018896452
100,0.1775271368242634,0.021522219320804028,0.9969913757947,0.003479255891087507,2.1459389078977207,0.0014324944612914437,0.005606235595798413,0.009063011429770564,1.0020275845605353,0.1495237050555648
200,0.16076203005093903,0.035385662724991,0.9978545156963224,0.005049764953125356,2.1331640766075712,0.0021253323690921112,0.024665303749511536,0.01862676419862139,0.9962031859688272,0.11014489680239878
300,0.14480440488110813,0.0439223854622596,0.9984681305420388,0.00579870414487345,2.0477819069459087,0.0023399013234541473,0.03270435194417296,0.021504496500129727,0.5028478456544928,0.07839131474794436
400,0.13102564232766287,0.04982884822356524,0.9989584427706214,0.006185461395626515,2.0253950459486543,0.002229705771854115,0.03379059089522004,0.021762596719770138,0.5016946793373995,0.05687975939167752
500,0.11379672358439427,0.052755360037835354,0.9992982644610523,0.007103680534411057,1.9504883168608256,0.0020188053767219035,0.04727969400893293,0.021752352469084885,0.5021390971074626,0.03919359359262871
600,0.10546322858781584,0.052586123577703564,0.999540944379201,0.0074954923715108,1.908479875467745,0.0016768522108666331,0.05091117821533593,0.02182688903191532,0.5059449109482985,0.022948196554168535
700,0.09290562460516105,0.05219110611666667,0.999750684255584,0.00789583982880293,1.8926486927705193,0.001354184416550894,0.06473737013438632,0.021614012509687246,0.5026789929557031,0.01371990110351242
800,0.0816861577517519,0.05033608567040162,0.9998748513889675,0.008142076588325503,1.8377650139662494,0.0009747388317280159,0.08039511709958175,0.02169985173398688,0.5041296240232777,0.005495132246742113
900,0.07404975049207756,0.04843852092778674,0.9999169794990638,0.008342418926293328,1.7737758762842524,0.0006907113762897499,0.07863226402373556,0.02186829575482055,0.5068555138328992,0.0019540284433593345
1000,0.06719813618850191,0.04607218612902255,0.9999468397842988,0.008957122906129815,1.7515309649803636,0.0004823959489333739,0.10070409089101842,0.02205748401911386,0.5054008140138306,0.001464831066797174
1100,0.06015145726408988,0.043152805775584245,0.9999676983588092,0.009249002870801909,1.7315095455831473,0.00037465476745718437,0.11035250802189335,0.02201290969239054,0.5027923372935714,0.00011853948982906584
