miliseconds,cdc13T,preMPF,ste9,slp1T,slp1,IEP,rum1T,SK,M,MPF
0,0.20227227270703668,0.00044775146755073985,1.0000115333538282,9.404885473504632e-05,2.178581356158649,3.318866362968253e-05,-0.0028590306392811213,3.380052264304645e-05,1.0054887961437342,0.20129155797547502
100,0.1797968657712727,0.020467356166746303,0.9969712070674923,0.003449263458819145,2.140549020837584,0.00144644572099144,0.014377433897875533,0.00927303324986558,0.999452686761856,0.1501040997270902
200,0.16364171730287905,0.03569394298445399,0.9978654082442122,0.005149143148175486,2.130059556397146,0.0021227654077948742,0.020989315425640805,0.018389561510876385,0.9987946770739603,0.11142577729488103
300,0.14626752247142258,0.044990973534169594,0.9985118119575231,0.0060886022394822875,2.0692611967485646,0.002308266888200464,0.025222621928436183,0.02147057792428983,0.5045735679091944,0.07904392022466589
400,0.12887519467148126,0.04924203058795679,0.9989506493788657,0.006502939922386311,2.0438347833090695,0.0022493862514278125,0.04216976845926796,0.02161497371309743,0.5049769914838765,0.05437761291468085
500,0.11391651959540432,0.052829724374960016,0.9993166269295081,0.006961959439879241,1.9873347871040488,0.00200645402768422,0.051907482744125884,0.02148636776629998,0.49899669557145615,0.03928882806013615
600,0.1058601841341859,0.05376045519537976,0.9995810535245058,0.007218979524353857,1.9077756395341194,0.0016629204154824135,0.053344428818443694,0.021519283263420303,0.5009812584641606,0.024860032715899868
700,0.0936493832897306,0.05287032069620603,0.9997318624994894,0.007852738777007503,1.8770806443524235,0.0013155775924327882,0.06908635206040693,0.021641307202612006,0.49768885584412353,0.011504938571071866
800,0.08531116547670499,0.05005024792469895,0.999863732412573,0.007883605526961691,1.8379165754492155,0.0009886881698574445,0.0705276664168455,0.02157452282353592,0.5062886540183201,0.007199793430840865
900,0.07722001696595066,0.0477988349495802,0.999919675584461,0.00865322404989327,1.778758500031228,0.0006880993289998179,0.08300656192471195,0.021840448278285806,0.5036441625203444,0.0025628863513366866
1000,0.070564596419016,0.045072520782664244,0.9999605181688433,0.009210655953607086,1.730031952400578,0.000495135195916114,0.09315989313881157,0.02172322162349562,0.5022554150420425,0.0020000601922426204
1100,0.06396217965901488,0.0422661007678373,0.9999646837432419,0.009371501098923707,1.724503707571848,0.0003514819354799097,0.10161707709720044,0.02203469077964893,0.4987961814320508,-0.00023102686081018068
