milliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,1.0359939369626272e-09,-7.775681169728754e-09,5.197762066151069e-10,-2.0757032009648752e-13,2.0071646802744293e-09,1.668310783039758e-05,-1.2285848222795658e-07,7.209117573090144e-13,-1.3227677364804775e-06,2.678992008874534e-10,-1.0947597567142326e-12,6.406422317893519e-08
100,8.782226212679852e-08,2.231941004349912e-08,4.51653780704954e-08,1.394877059882172e-10,1.0527559713851418e-06,2.9454423592950388e-06,2.1371748577161522e-07,1.6620955186235231e-12,3.279885675516843e-06,-2.793005568548614e-09,3.060873223841987e-11,3.468848565476245e-06
200,5.408391652316641e-08,7.204488564788223e-09,2.7568236065611207e-08,8.445309004968872e-11,6.197314960990775e-07,1.8621778096484114e-06,4.857032895249357e-07,3.2701218748694647e-12,1.3953728842777003e-06,-7.890231037998389e-10,8.145429851226086e-12,2.0815496434980927e-06
300,2.099016684507282e-08,4.572928949186741e-09,1.0213531267724813e-08,3.348544886568794e-11,2.5290104990176757e-07,5.614073101889673e-07,-2.180564840039609e-07,1.4161772043976101e-13,1.6718902035380374e-06,1.7453140081027086e-09,2.0920337042823177e-11,7.441415363979888e-07
400,-6.297085082058855e-09,-3.414021365983617e-11,-1.9544450816130514e-09,-6.030996094856944e-12,-7.92797407703388e-08,-9.985016803746579e-08,1.4483094306594926e-07,1.925684674383788e-13,2.2369405249976606e-06,1.1180236896604981e-09,3.9510359749704e-12,-2.7241920372051245e-07
500,-4.827206409725345e-10,2.6981942769596535e-08,-1.6661949880259172e-09,-1.4056528408409564e-13,-2.786284502342417e-08,-7.036938746473794e-08,4.557053347530055e-07,4.663410942404296e-12,4.416911870129398e-06,4.7157348160357396e-09,4.313032874903411e-11,-4.330155835166927e-08
600,8.199141557355603e-10,4.5103102324228486e-08,1.8616846231261083e-09,8.588084109667985e-13,3.6852452169050184e-08,1.4369870319704962e-07,6.672127191003571e-07,1.0066741091658578e-11,8.911765340939807e-06,7.195719440961147e-09,5.5286170558450605e-11,1.0973620390895327e-07
700,7.4227411360632895e-09,5.8956467680938186e-08,4.11924056509495e-09,8.565698574297977e-12,5.157463313044612e-08,1.7677296635843666e-07,2.17241928886653e-06,1.3948287758441165e-11,1.0530226327301136e-05,9.90217679546461e-09,6.649220606567142e-11,3.3037072231867374e-07
800,9.68222475144946e-09,6.670805495262454e-08,4.5886314655389805e-09,1.5749490297725658e-11,1.241078530558879e-07,3.258236504578983e-07,1.8333935667274927e-06,1.2729715796037275e-11,1.2087375502470209e-05,1.0972977801238784e-08,9.465463531109364e-11,5.381599157971344e-07
900,1.6900307447212824e-08,8.306653363941372e-08,8.012098810061522e-09,2.0912140798516723e-11,1.5498257810637824e-07,3.478862960748317e-07,2.7852118251531876e-06,2.1563063823845264e-11,1.6278217264592296e-05,1.2550297653039387e-08,1.1425024419414302e-10,6.647710338035799e-07
