milliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,-1.8775304696187502e-10,5.7602953794627935e-09,-3.605814376283691e-10,-1.2141077882461087e-12,-2.1177862748846538e-08,1.6517117368053178e-05,1.4932925057768693e-07,2.7383022332832944e-12,-1.2653578748628266e-06,-1.700698272050439e-09,1.070214355103337e-11,-7.394635541563703e-08
100,8.580763517683743e-08,1.164456414951097e-08,4.593909528831925e-08,1.4301141842756628e-10,1.03968508727939e-06,2.8520138384925585e-06,-1.7930509032159185e-07,-1.8121678983288186e-12,1.4448083549935338e-06,-1.4859453626299428e-09,2.428648054678132e-11,3.5701299440431404e-06
200,5.357597281745067e-08,1.1744641914751436e-08,2.8163397412064293e-08,8.37876697026489e-11,6.609674931123181e-07,1.7582276554469494e-06,-4.6880097244173673e-07,2.9766902197701615e-12,3.133594783173044e-06,1.3951551892272709e-09,4.772905877193484e-12,2.108018665903609e-06
300,1.8936580296713538e-08,1.1364737992863015e-08,1.133123063731688e-08,3.497407972884833e-11,2.4729973634106083e-07,5.703201285408534e-07,-6.034080291109502e-08,-3.651600843909359e-12,1.028281029567472e-06,-6.711175503850354e-10,1.3312475054575669e-11,7.119568725247008e-07
400,-5.434762788726416e-09,1.6424168873599596e-08,-2.8197456043398946e-09,-6.770395815727483e-12,-5.711743477980581e-08,-2.2384704228460164e-07,3.255915132363013e-07,-1.756637443266502e-12,5.684827653321549e-07,-1.7426060213600831e-09,4.8045399942858614e-12,-1.3065219391840679e-07
500,-2.2383021123636633e-10,2.9613371536460546e-08,-1.5191146079033002e-09,-3.903092368663424e-12,-3.049495713425357e-08,-1.6139936271259322e-07,7.680029205843608e-07,2.8350045484576803e-12,5.6903482785619585e-06,3.74104508872743e-09,4.328413910910945e-11,-6.20900322670044e-08
600,2.2230563853868594e-09,3.675366535742105e-08,1.0230804753520686e-09,2.0143520905737145e-12,3.044502285883746e-08,4.3067963264776183e-08,1.6222480361324036e-06,5.829165017002523e-12,7.68252122791493e-06,5.877457724238662e-09,4.9054519821372796e-11,1.6291602297223834e-07
700,8.323668010841195e-09,4.758988648938247e-08,4.432691470760876e-09,6.812898339899684e-12,5.564586436801468e-08,2.1060288848110422e-07,1.5134561653848847e-06,9.376313477423749e-12,9.573836933883179e-06,7.822395035659325e-09,7.596915015727483e-11,3.1782028371243014e-07
800,9.622615090637582e-09,7.324712572431516e-08,4.543367862075188e-09,1.6558942308051817e-11,1.1695631335809002e-07,3.491975485196723e-07,1.9699712501793875e-06,1.2417061905632497e-11,1.187790440390607e-05,9.971638522791162e-09,9.777417808558482e-11,5.378798193717956e-07
900,1.5400324065034958e-08,8.904282318996776e-08,7.387703226384448e-09,1.9275150736268244e-11,1.5968615882945893e-07,3.7976907449094373e-07,3.0016495572169902e-06,1.9903512860683717e-11,1.58644910098817e-05,1.2341349980248519e-08,1.0771205233408638e-10,5.867946770234183e-07
1000,2.0137769813837598e-08,9.504739690547929e-08,8.995813469833191e-09,2.4530898464280994e-11,1.8749995953524784e-07,4.948209691043818e-07,2.6717223867892165e-06,2.3417578419599524e-11,2.0269322308013617e-05,1.6620380027202845e-08,1.3869239663904262e-10,7.818825707918275e-07
1100,2.403764641269212e-08,1.1247304733842275e-07,1.1521561583166079e-08,3.2973956942582854e-11,2.435173936980203e-07,6.221990037453343e-07,3.794089940940625e-06,2.440629575567193e-11,2.188469991670377e-05,1.9628336821782005e-08,1.5721851723053562e-10,1.020777382605058e-06
1200,2.7061177197543274e-08,1.3190316311480046e-07,1.458310753648384e-08,3.730413432361055e-11,3.0107381829853143e-07,7.816147960637131e-07,4.279996841349226e-06,2.653659836090849e-11,2.4255518533471956e-05,2.0113984529468045e-08,1.8658787419467546e-10,1.1809593087136881e-06
1300,3.0866979725144434e-08,1.5447621641561424e-07,1.692293036666761e-08,4.7634278649269956e-11,3.396965969423349e-07,8.014522153630719e-07,4.781640859548467e-06,3.442115475516863e-11,2.7776517400022863e-05,2.4896088332114215e-08,2.004527829936919e-10,1.3686763504262148e-06
1400,3.4509425618857427e-08,1.6218152238362136e-07,1.814440206868353e-08,5.360156641566652e-11,3.8155881688046394e-07,9.980818643744704e-07,4.709749443905036e-06,3.894345547613888e-11,2.9680333446369766e-05,2.8949050138005436e-08,2.1312620153504848e-10,1.5168748321564538e-06
1500,4.001127455367725e-08,1.8373805611487486e-07,2.0718979105404772e-08,6.016082467781274e-11,4.1318247479410697e-07,1.0883541832490878e-06,5.896586662073427e-06,3.991291606664637e-11,3.467455967917987e-05,3.1193819606236264e-08,2.5066766804101456e-10,1.676472387656834e-06
