miliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,-1.4300118109804414e-09,-8.331959167776064e-09,9.865230213532169e-10,1.3454141081926003e-13,1.1675500854552877e-08,1.666645682708857e-05,6.300180719024996e-08,-1.2478404623781663e-12,-1.5679949345965256e-06,6.361624356682296e-10,-7.0736764306636715e-12,1.85394771385131e-08
100,8.71025992457063e-08,1.4188147348544467e-08,4.627034493128103e-08,1.3979391547690037e-10,1.0458720594155535e-06,2.832127249442999e-06,2.5794044980153176e-09,1.3046972984467387e-12,1.54689703028091e-06,9.088553110312721e-10,3.0430581226379285e-11,3.5338838087281047e-06
200,5.4034403888557175e-08,8.503050920960204e-09,2.7928873243590808e-08,8.903194913602085e-11,6.176513137927757e-07,1.7211316249650901e-06,-4.568983105228993e-07,1.8001936485369424e-12,1.5886476311555328e-06,1.1879573704058603e-09,7.583072652566318e-12,2.1801743332839715e-06
300,2.1674449662712705e-08,1.2160035174331817e-08,1.1062596160676775e-08,3.010920022793333e-11,2.563740537358339e-07,5.713608057311662e-07,-2.4776951489155897e-07,1.6337288176777494e-12,7.986483247666685e-07,1.2270892533448666e-10,-9.722005618710674e-13,7.844368437539247e-07
400,-3.814096497420113e-09,5.7200923655676315e-09,-2.1349647669126375e-09,-6.544135596342969e-12,-8.467729511663609e-08,-2.1126614621695942e-07,4.615297882631407e-07,-2.874128969777188e-12,2.7476434788879045e-07,-9.436801821884901e-10,7.851456390671572e-12,-1.5007412371902061e-07
500,3.2894447245919986e-10,3.041677495000617e-08,-4.934506818103345e-11,2.3102059712252693e-13,-4.457033832335182e-08,-1.0994681247156074e-07,1.0279183647902557e-06,1.5293150172812531e-12,4.7909438253236574e-06,1.6235657270633688e-09,3.5340422966158364e-11,7.88227860764881e-09
600,4.3877614215020325e-09,4.018797488844205e-08,2.0746147546012484e-09,6.1749128967647864e-12,1.8555759934397156e-08,1.6330600309205282e-07,1.0040011084630537e-06,6.798763159526267e-12,9.02994917038946e-06,6.007353416837922e-09,5.5929116837016257e-11,5.989001509202788e-08
700,7.744808890061994e-09,5.399420914937714e-08,3.832096567398329e-09,7.18779004031329e-12,5.3693559669015705e-08,8.074326431653792e-08,1.5051274816232696e-06,1.2153999158170313e-11,1.0267094585666443e-05,7.346388600827166e-09,7.644182785465909e-11,3.644968103366083e-07
800,1.1554329478699985e-08,7.194198309117538e-08,6.310723234601928e-09,1.3297540012390946e-11,1.2731752863994775e-07,4.0339540435320965e-07,2.2298637531344103e-06,1.8660345787762806e-11,1.3255594669317975e-05,9.264377319434091e-09,1.0411341728633688e-10,5.49508017802214e-07
900,1.5389826026601938e-08,7.803549185397116e-08,8.436771049347242e-09,2.0205967060454054e-11,1.5742135310859127e-07,4.235939014886997e-07,3.1905270723705127e-06,1.6875601035051906e-11,1.5404931740636573e-05,1.520731249868889e-08,1.2659664014142747e-10,6.77232502898372e-07
1000,1.899587193600485e-08,1.0694160089801612e-07,8.789335137199213e-09,2.6341920799261263e-11,1.8871140737711293e-07,4.859297549864484e-07,2.8839110145128263e-06,1.9410506498385743e-11,1.7640560465775973e-05,1.6991443845293686e-08,1.4332337279997362e-10,8.688236038175672e-07
1100,2.414499189846747e-08,1.1765791145578078e-07,1.1078510977616449e-08,3.405506503733288e-11,2.700253951897717e-07,5.926689880797254e-07,3.426511987141838e-06,2.6080772000316414e-11,2.0847022753241486e-05,1.6743900572403623e-08,1.4778288105391618e-10,9.815139408089783e-07
1200,2.972904541987261e-08,1.3677069204394743e-07,1.2898178069117961e-08,3.819047942627174e-11,2.8349523626093093e-07,8.365589272620593e-07,4.584482802979846e-06,2.863303637457302e-11,2.3943512525177956e-05,2.3251694946523482e-08,1.8758330433717002e-10,1.2813512599027523e-06
1300,3.3685808229408656e-08,1.4329531625055975e-07,1.5400920261321818e-08,4.390909344452991e-11,3.2579475951288354e-07,1.0128025290473619e-06,5.018154493565348e-06,3.324350290275508e-11,2.8976919157628223e-05,2.7701354555501758e-08,2.0681708051401265e-10,1.3994821821365367e-06
