miliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,-2.028418008577599e-09,1.6441956413182556e-09,6.814489498058338e-10,1.909597698067962e-12,4.521192095750075e-09,1.6507655601997942e-05,2.0814922466814995e-07,-1.7817571405185002e-12,-5.256795243545797e-07,-1.4274320575140393e-09,-4.9926777855353455e-12,7.445209304482467e-08
100,8.861166783218705e-08,1.5189911676239666e-08,4.67787192255573e-08,1.4310521935242035e-10,1.0456484635445017e-06,2.857678424450507e-06,-1.4403270376818367e-07,-1.0717151351412176e-12,1.600019298367452e-06,-1.725073614831977e-09,2.7956030443745307e-11,3.5105340249072725e-06
200,5.5420040252410765e-08,1.5293264781479272e-08,2.699510688306812e-08,8.429581659608175e-11,6.603191063887765e-07,1.8000180468920485e-06,-3.613693067377035e-07,-3.5409230710159815e-12,2.1806771828180582e-06,2.416191366806126e-09,2.342573058845238e-11,2.067258637481077e-06
300,1.8699758757013625e-08,-1.4293584314744084e-10,1.026492998204031e-08,3.2876503526883094e-11,2.267047353283774e-07,7.056849157626318e-07,3.464368493538487e-07,4.5153851216579436e-14,-1.7207573415868323e-07,-2.2005644678901914e-09,1.640896071597769e-11,8.843654291903862e-07
400,-4.8983544183620025e-09,6.198505769600258e-11,-2.1071637722862607e-09,-8.408664888161903e-12,-6.805391536694665e-08,-9.534680231444347e-08,-1.5187882683901396e-07,1.8394538779534892e-13,8.622817174016842e-07,1.317828257004653e-09,2.07658485012659e-11,-2.7871090351042653e-07
500,-1.9277948893858756e-09,1.654035385508776e-08,-1.9547415859831953e-09,-1.8142820471580974e-12,-2.2489590812192867e-08,-1.6114722431597203e-07,3.2543068636980275e-07,2.910171943932534e-12,5.0791222127732546e-06,3.577066293019433e-09,3.01250714187137e-11,-5.314932614560404e-09
600,4.874254801080691e-09,4.4283691197176094e-08,1.0557399180436084e-09,5.167515816716639e-12,-2.6065307279060918e-09,1.721726738490215e-07,8.599298444801754e-07,7.936963393857034e-12,6.232981961199329e-06,6.456585510690601e-09,4.2775034868949494e-11,1.8134509778810772e-07
700,8.827942300695486e-09,5.569425669564473e-08,4.306858251030767e-09,6.397105065959168e-12,5.523609256175582e-08,7.919099073482966e-08,2.078337202422111e-06,1.2800395178169956e-11,1.0381743686697344e-05,1.1033685736794612e-08,8.31051990589764e-11,2.7549926086872484e-07
800,1.324799588028116e-08,6.480752617529062e-08,4.944558164808121e-09,1.67585836173198e-11,9.061147262142524e-08,2.828808593824493e-07,2.385208719897973e-06,1.708358973083673e-11,1.2683978054525024e-05,9.939434889300708e-09,8.927509382133913e-11,5.782620686082021e-07
900,1.5891693438940476e-08,9.138257444641058e-08,8.194508241543347e-09,1.9975252734869267e-11,1.6823694091016278e-07,4.7499045326796305e-07,2.822858686673922e-06,1.8334120612927282e-11,1.556972087071216e-05,1.1418347259746083e-08,1.2217633190880294e-10,6.291629186504369e-07
1000,1.874445943042183e-08,1.0019621220959881e-07,9.269310986509462e-09,2.997887096275452e-11,1.918790305528172e-07,6.575406251332855e-07,2.9683542449775233e-06,2.4232300432449546e-11,1.9090803726515018e-05,1.7214969602022016e-08,1.4199963629025323e-10,9.12686651392787e-07
