miliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,8.04079730737327e-10,-6.945040323378409e-09,9.875828575190626e-10,-2.354973211934693e-12,-9.602539331408804e-09,1.661417334171177e-05,4.4629476165527567e-07,-3.4610148682723995e-12,3.3331504267418617e-07,-8.574042884346084e-10,7.446881753324312e-12,-9.03979129929484e-08
100,8.819274311417146e-08,1.2824484396726294e-08,4.5418975758835086e-08,1.375759059716609e-10,1.0422330384593218e-06,2.88692677287371e-06,-2.1909863790327745e-07,6.18096544972975e-13,4.1807579830610884e-06,1.1819890621102828e-09,2.9593290054480193e-11,3.48186720633242e-06
200,5.4295718097697754e-08,1.776476250479463e-08,2.7569017985616182e-08,8.88515122221015e-11,6.520879879815101e-07,1.755576039524976e-06,9.172323713480065e-08,2.351344733275865e-12,1.7078071680966388e-06,9.909815364019888e-11,2.0008445132885668e-11,2.228218815978332e-06
300,1.8072797680824467e-08,7.756530059943878e-09,1.088912894721226e-08,3.062768900788373e-11,2.389504308691214e-07,5.45558736180876e-07,9.250202513204378e-08,2.0201824613474573e-12,1.7344057614128e-06,5.912195752724036e-10,4.677822348035283e-12,7.091684237862191e-07
400,-6.940526352267429e-09,1.307106754561792e-08,-2.619969741578686e-09,-9.699550759555759e-12,-8.290273283205075e-08,-2.7383565210577295e-07,-3.844371678539433e-07,-2.005070016464464e-12,1.4290583351126755e-06,-1.2929498737618261e-09,1.6029277928449845e-11,-1.5134800281219906e-07
500,-7.152130222048353e-10,2.2363446146703704e-08,-1.2270183740499128e-09,-3.6324707735213115e-12,-4.120345048589303e-08,-1.0630266081081713e-07,1.0751424157873524e-06,3.4957545870160595e-12,4.82881077421215e-06,2.2439302424849858e-09,2.0821731523362705e-11,2.1823285291738394e-08
600,2.7232972276403136e-09,3.1911995024966994e-08,1.9926245017700113e-09,2.6490649928095133e-12,8.088966941780835e-09,3.9711500485825645e-08,8.428225524641028e-07,4.326746564160915e-12,8.013366853961555e-06,3.7967119692561335e-09,6.425592641890128e-11,7.704205035221846e-08
700,8.507276729356931e-09,4.7941701227830813e-08,2.9197335902466966e-09,6.124355547700555e-12,7.439116513058558e-08,1.6974663419648548e-07,2.069422760005419e-06,1.0815864566023414e-11,1.1911457931606905e-05,7.890670702186474e-09,6.241790208600665e-11,3.239613418060318e-07
800,1.1628504377969155e-08,7.86102347522864e-08,4.690798225117827e-09,1.2877563873675332e-11,1.226205782930431e-07,4.084975256541064e-07,1.9613926897290786e-06,1.795831197668465e-11,1.3381217537216936e-05,1.1569634214875849e-08,1.0031457694354827e-10,5.295511407123438e-07
900,1.614622141895888e-08,8.149854077826462e-08,6.742266193690807e-09,1.9370126573064216e-11,1.7851713596255048e-07,4.856381061686049e-07,3.0972808676542903e-06,2.1296723291956937e-11,1.5742012682320573e-05,1.1606753722211282e-08,1.2387635081805993e-10,5.979230415204741e-07
1000,2.1583295373584388e-08,9.722017719797917e-08,8.773666665702687e-09,2.639864684419892e-11,1.817921436433435e-07,5.222295988340766e-07,3.1237599912163677e-06,1.9388498803568305e-11,2.0621234858152967e-05,1.7716574347862272e-08,1.4506011500778815e-10,7.511882089063483e-07
1100,2.5499850345476974e-08,1.1423327911652483e-07,1.133122603076727e-08,3.09332555272016e-11,2.597474466163789e-07,7.666508772876607e-07,3.980135891535127e-06,2.8456932921080796e-11,2.279455092629644e-05,1.746247205351316e-08,1.5338229741966542e-10,1.044047197475492e-06
1200,2.8055080779661963e-08,1.354230881142147e-07,1.4103153338391571e-08,3.7399103002501776e-11,2.8007691746325634e-07,7.641549247265876e-07,3.753518194562285e-06,3.1011709813000994e-11,2.5493743402206585e-05,2.2066667569444843e-08,1.8556725693256087e-10,1.2562876727315992e-06
1300,3.2577476797007864e-08,1.556503721602269e-07,1.6045940790644522e-08,4.5413683852282276e-11,3.357769782218078e-07,9.514775694608154e-07,4.619968930266302e-06,3.161783665934033e-11,2.8177969865523052e-05,2.2702289693890026e-08,2.0141760190227025e-10,1.2844726585104245e-06
1400,3.419186487610961e-08,1.651747557551513e-07,1.806175452428367e-08,5.11368543251615e-11,3.974946931371641e-07,1.049727508814178e-06,5.600874673751563e-06,3.362461406955853e-11,3.11313680577291e-05,2.4846785970354104e-08,2.1645875490999443e-10,1.4656549545542178e-06
1500,4.115358900491023e-08,1.8315040143765864e-07,1.9673577545042943e-08,5.804710604288413e-11,4.4829879423342616e-07,1.1249409038976718e-06,5.7953415075682025e-06,4.006559678733663e-11,3.387757623139345e-05,3.1907151090822096e-08,2.4050207350352014e-10,1.7951795936370359e-06
