miliseconds,S1__Cell_1_,S1__Cell_2_,S2__Cell_1_,S2__Cell_2_,S3__Cell_1_,S3__Cell_2_,S4__Cell_1_,S4__Cell_2_,N2__Cell_1_,N2__Cell_2_,A3__Cell_1_,A3__Cell_2_,S4_ex
0,5.8548246111979445,2.9067110823852738,0.8783102375849396,0.4301951308645414,0.21367213491644085,0.099418228710286,0.20471451109540384,0.09593452327214785,0.09977363843738733,0.05191694548819745,3.2012183045977167,0.2504385345418559,0.09986329058016374
100,5.9227748345153834,2.605595069249596,0.6613379385086348,0.9601098993253796,0.26461800295220295,0.08066385247964393,0.17623693890391748,0.21764926215181105,0.1360950510662595,0.14345120866632882,3.183533871709965,-0.03851271209472251,0.09706783267512459
200,6.2126490577954785,2.3624113084304508,0.5071662161623041,1.327717488068724,0.2219192575934429,0.10075452308942982,0.18322835432663792,0.2427268686266106,0.11952628678616567,0.15914769248674906,3.1568920805159673,-0.015696458031910596,0.0962697379767882
300,6.229917138743105,1.9770399930697593,0.5373898803477203,1.703013435809047,0.1918567945976019,0.1273233831509203,0.17291900278207611,0.2980359211468453,0.11570607505754102,0.1676267281355007,3.0872818372196598,0.040796677421777436,0.09938268281467742
400,6.484148879683507,1.3824670930973944,0.4657229471961647,2.127449073133276,0.15699113336447634,0.1664027405249217,0.18109096013274797,0.3563215433164694,0.11117105950336566,0.17189944616473024,2.8954194135670486,0.06909147685147757,0.10328885419645849
500,6.530586976963526,0.6367820373558679,0.5028807989718008,2.616520818167101,0.13254175592252862,0.201703491588818,0.1740592877098394,0.43299011048419717,0.11837474222195203,0.17324807848456017,2.719530031912723,0.23087417592270348,0.11079417611056472
600,6.556786270438812,0.24279195580760443,0.722095240033862,2.0732460408880646,0.14394796762718876,0.24553162363048908,0.18402797466661236,0.44942309002962816,0.12485847306202504,0.15842588255876777,2.5005123885466833,1.3011008563008306,0.12062008047560085
700,6.5522218555870495,0.5108769973974701,0.7804448287233177,1.0887235300568567,0.15410742502205874,0.2572003809514228,0.21559146599048154,0.32740079780235354,0.1351604021934688,0.1303438168783352,2.307863271252085,2.5715198157225,0.12462780871606628
800,6.40751819527763,0.7863699081375772,0.9866290581253557,0.5874130078712345,0.18677014134175302,0.23655494103272856,0.23557064838983513,0.24376935295404473,0.14337154885198394,0.10788206018066103,2.112292579696712,3.1050388217225158,0.12322998547652973
900,6.133135583648901,1.0619390327472262,1.3269874434640652,0.34659492192703145,0.1936357415124689,0.19377977769964413,0.2739166613538884,0.20086003458042015,0.15737515916701098,0.0875855178688383,1.9323451482440321,3.1614054058265277,0.11873052804897978
