milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.0004761012666780275,-3.5378926501774986e-10,2.4418481710886013e-06,2.7667404546909983e-07,2.580874233416691e-11,1.0168897888975664e-05
100,0.0006487283742550214,4.574597711467248e-09,2.24210946449366e-06,3.600741616059763e-07,1.2615615141185528e-10,8.319104502771177e-06
200,0.0004637052862991204,8.002573737399961e-09,1.9611080618846523e-06,1.0237639794552698e-06,3.3120551798074644e-10,6.522960137680219e-06
300,0.0007053194654197111,1.1221623827882538e-08,1.7807919470481154e-06,1.118782684243764e-06,5.812870512942537e-10,5.563873428758287e-06
400,0.0006118475515502412,1.385560907565813e-08,1.568654268185323e-06,9.51508878749427e-07,7.91106769530412e-10,4.4709802128061075e-06
500,0.0007964850861064777,1.6490796867887517e-08,1.4055448724863314e-06,1.3502158706528616e-06,9.805662896160133e-10,3.7108413415857703e-06
600,0.0009589635536183527,1.807138267817006e-08,1.3095053413449003e-06,1.8293693298481506e-06,1.1343412058732752e-09,3.092830477591382e-06
700,0.000908716482194415,1.9453307168771613e-08,1.1687917953025076e-06,1.4270499136290289e-06,1.2451670620135037e-09,2.3127219081924363e-06
800,0.0007630996542245123,1.992942121865682e-08,1.0436494905831754e-06,1.7546155674461248e-06,1.382075875902924e-09,1.9273713316925666e-06
900,0.000833660172458965,2.0917582459158063e-08,9.05114217116337e-07,2.0364093885935218e-06,1.5222979140792044e-09,1.937756612070518e-06
1000,0.000905769278196259,2.1469280334070147e-08,8.547156968311382e-07,2.148809596289408e-06,1.5453153300473367e-09,1.2578462264378206e-06
1100,0.0008639409835445695,2.201926985947557e-08,7.50457405607148e-07,2.2203124492767433e-06,1.6437771628136262e-09,1.0094997585021137e-06
1200,0.0009124051451808278,2.206023987373554e-08,6.57457596725039e-07,2.5275524483429264e-06,1.674508938896531e-09,1.1213178130233018e-06
1300,0.0010206614164534377,2.237843718347651e-08,6.346493197619747e-07,3.0138606917815e-06,1.7106105226488536e-09,6.56881667584937e-07
1400,0.0011771444182444115,2.180616720767581e-08,5.048814400056965e-07,2.739948264817468e-06,1.699458231537579e-09,5.237133099815141e-07
1500,0.0013617067638555403,2.213638480720795e-08,3.927121046341692e-07,2.6296836418692047e-06,1.7229153172910473e-09,5.996072474073556e-07
1600,0.0011867315243624722,2.2079202568479843e-08,4.195409268870344e-07,2.8249528544021953e-06,1.7133456891903001e-09,6.509610391483169e-07
1700,0.001651732332842418,2.1199684944013326e-08,3.5894893199172265e-07,3.393357423894712e-06,1.6803551289551979e-09,6.10039000946684e-07
1800,0.0017136818419909254,2.166733552371926e-08,3.222595766290942e-07,3.676512500901552e-06,1.6768049690058857e-09,2.0046276194262535e-07
1900,0.0014462742519237958,2.116334934238849e-08,3.247106715357585e-07,3.376219950040763e-06,1.638175731028461e-09,2.871288304881861e-07
2000,0.0014201330761124478,2.074892084417095e-08,2.2838467321409115e-07,3.7457431409613127e-06,1.6226540948834624e-09,3.6237177811529185e-07
2100,0.0016067336740749959,2.0172398606398508e-08,1.8860077118664522e-07,3.8848458910810875e-06,1.6059306905375204e-09,4.65869126728878e-07
2200,0.0018501157244946139,1.9946289636596742e-08,1.812317676604936e-07,4.512889650964022e-06,1.5464646978210172e-09,1.798313918235443e-07
2300,0.002306779472632858,1.984876831233052e-08,1.9318565197598447e-07,4.356898638813718e-06,1.5392245108305454e-09,9.670490143265153e-08
2400,0.002340136065456564,1.9318572488974205e-08,1.2100880967117468e-07,4.4901625568436185e-06,1.481425885651809e-09,1.8344107278952188e-07
